dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.6163556814193725,2.577585119254928,2.6551262435838168,0.06255269520652629,3.2979830265045167,3.2410411777776558,3.3549248752313776,0.09187037559063256,0.8163531720638275,0.8103663710423201,0.8223399730853349,0.009659146492952105
_12_18M,3.0344645977020264,2.8276869760252237,3.241242219378829,0.3336164559445419,3.752219009399414,3.4946647464097564,4.009773272389071,0.4155398429251662,0.7941190659999847,0.7661255042925551,0.8221126277074143,0.045165007559157984
_12_21M,4.032938385009766,3.4867934883415206,4.579083281678011,0.8811539826270206,7.467999649047852,5.473076194866277,9.462923103229427,3.2186234045430275,-0.9429375022649765,-2.5475888326737754,0.6617138281438223,2.5889556400567417
_12_24M,3.33256573677063,2.9010852761643644,3.7640461973768957,0.6961535823338555,5.737669134140015,4.06311889209581,7.41221937618422,2.7017310312479297,0.3913331273943186,-0.08209089052313973,0.8647571453117768,0.7638256100242518
_12_27M,3.2020225048065187,2.8481632756603847,3.5558817339526527,0.5709189465169504,4.116488122940064,3.750987796763029,4.4819884491170985,0.589700773598925,0.8200851738452911,0.7870581997935624,0.8531121478970198,0.05328595011568482
_15_18M,2.6111193656921388,2.490274487819577,2.7319642435647005,0.19497196818478485,3.489302635192871,3.3914103472097645,3.5871949231759777,0.15794009968966688,0.7616946518421173,0.7498778596459795,0.773511444038255,0.019065294886070658
_15_21M,2.8297807693481447,2.4617432685408875,3.197818270155402,0.5937942688300977,3.6526126146316527,3.3108127031578163,3.994412526105489,0.5514623593373689,0.8268333554267884,0.791565612677716,0.8621010981758608,0.056901221948957734
_15_24M,3.004065680503845,2.8987864494434104,3.1093449115642797,0.16985824513373368,4.361941862106323,4.256199147922525,4.467684576290121,0.17060603203520078,0.7683474659919739,0.7585538113615982,0.7781411206223496,0.015801150637266316
_15_27M,3.25320885181427,2.868641842571039,3.6377758610575013,0.6204630929426722,4.469722247123718,3.914466176158279,5.024978318089157,0.8958540147382023,0.8105787575244904,0.7514965014491543,0.8696610135998265,0.09532372372417491
_15_30M,3.0079207897186278,2.7236839333896756,3.29215764604758,0.4585897249824156,4.1680055379867555,3.7734442686223155,4.562566807351196,0.6365879018769628,0.8241470038890839,0.7929570157447783,0.8553369920333895,0.05032214424982362
_18_21M,2.8237205266952516,2.667218278030314,2.9802227753601893,0.252501818734311,4.5981776237487795,3.799649794773671,5.3967054527238885,1.2883503645871135,0.5571375846862793,0.2866578469987512,0.8276173223738074,0.4363938938864659
_18_24M,3.112690567970276,3.054374650569055,3.1710064853714965,0.09408730756637985,4.653658199310303,4.598029564328905,4.7092868342917,0.0897516273812939,0.6839510023593902,0.6763164469073881,0.6915855578113923,0.012317644975093306
_18_27M,2.9629843711853026,2.8553272457653716,3.0706414966052336,0.1736947564660166,4.169767117500305,3.9839724411873956,4.355561793813214,0.299762425654351,0.6478189408779145,0.603150177132498,0.692487704623331,0.07206889474462755
_18_30M,3.74387788772583,3.4550427582483576,4.032713017203303,0.4660086109277821,4.540973043441772,4.243505657643737,4.8384404292398075,0.4799359534376618,0.6995790421962738,0.6610224733473413,0.7381356110452062,0.062207436899858644
_21_24M,2.40675048828125,2.2887547869216593,2.5247461896408403,0.1903750869414965,3.17706458568573,3.041075337708348,3.3130538336631115,0.21940600046019007,0.8201586067676544,0.805904308370809,0.8344129051644998,0.022997984378427646
_21_27M,2.1019415736198424,2.0142221326748357,2.189661014564849,0.14152715737900712,2.74936261177063,2.659784192711305,2.8389410308299547,0.14452644562474737,0.8641977906227112,0.8548581576655221,0.8735374235799003,0.015068628905454875
_21_30M,2.5231343507766724,2.2528349774289484,2.7934337241243963,0.4361028928035816,3.2184123516082765,2.9408986470066663,3.495926056209887,0.44774254512869344,0.7947452366352081,0.7588027251735178,0.8306877480968985,0.05798989849267821
_24_27M,2.5540881395339965,2.273480558129019,2.834695720938974,0.45273422752593867,3.762917399406433,3.099485219941885,4.4263495788709815,1.0703861021212038,0.4529964983463287,0.20552697198884412,0.7004660247038133,0.39926905855751205
_24_30M,2.579425096511841,2.475914679892995,2.6829355131306865,0.16700442758596787,3.328003978729248,3.1972374490783446,3.4587705083801517,0.21097963031265196,0.8501989126205445,0.8387237978721871,0.8616740273689019,0.01851403011050982
