dataset,fold,mae,rmse,r2
_0_9M,9,6.556706428527832,14.502703666687012,-10.784989356994629
_0_9M,7,2.640042304992676,3.7468245029449463,0.7794947028160095
_0_9M,6,4.881525039672852,11.786821365356445,-5.54657506942749
_0_9M,1,2.7417709827423096,4.131071090698242,0.6999062895774841
_0_9M,10,4.097659111022949,7.1105546951293945,-0.286172479391098
_0_9M,8,3.278585195541382,5.91133451461792,-0.35532328486442566
_0_9M,4,2.7717998027801514,4.251908302307129,0.48012521862983704
_0_9M,3,3.212444305419922,4.867311477661133,0.5425509810447693
_0_9M,2,2.7936244010925293,3.6760497093200684,0.770490825176239
_0_9M,5,5.352678298950195,7.469578266143799,-0.16645632684230804
_0_3M,9,2.504408597946167,3.5131568908691406,0.6247571110725403
_0_3M,7,2.9339513778686523,4.759989261627197,-0.3517600893974304
_0_3M,6,2.648921012878418,3.8734524250030518,0.4860994517803192
_0_3M,1,2.5526576042175293,3.568784713745117,0.6215240955352783
_0_3M,10,2.5497868061065674,3.6335408687591553,0.5857794284820557
_0_3M,8,2.6469242572784424,3.995309829711914,0.299148827791214
_0_3M,4,2.58382511138916,3.9719247817993164,0.2369937151670456
_0_3M,3,2.7954049110412598,4.480862140655518,-0.2771153450012207
_0_3M,2,2.667586326599121,4.159369945526123,0.09006506949663162
_0_3M,5,2.812819242477417,4.332674503326416,0.16146130859851837
_9_12M,9,2.14058780670166,2.735191583633423,0.9111034870147705
_9_12M,7,2.3404462337493896,3.123976469039917,0.8837664723396301
_9_12M,6,2.440676212310791,3.2039549350738525,0.8775690793991089
_9_12M,1,2.1739935874938965,2.890134811401367,0.9005022644996643
_9_12M,10,2.1357674598693848,2.8595926761627197,0.9018912315368652
_9_12M,8,2.337038516998291,3.104917287826538,0.8853608965873718
_9_12M,4,2.129690170288086,2.821070432662964,0.9050686955451965
_9_12M,3,2.124563455581665,2.7616655826568604,0.9095046520233154
_9_12M,2,2.3476431369781494,3.1202423572540283,0.8840461373329163
_9_12M,5,2.2480545043945312,2.8215014934539795,0.9059948921203613
_3_6M,9,3.0030770301818848,4.097999095916748,0.7601354718208313
_3_6M,7,2.759528636932373,3.8017146587371826,0.7945098280906677
_3_6M,6,2.88763689994812,4.007376670837402,0.7710804343223572
_3_6M,1,2.7064528465270996,3.6544904708862305,0.8094662427902222
_3_6M,10,2.815764904022217,3.6952037811279297,0.8063234686851501
_3_6M,8,2.8376522064208984,3.708707094192505,0.8038256168365479
_3_6M,4,2.7877626419067383,3.8249917030334473,0.7901549339294434
_3_6M,3,2.790496349334717,3.643702745437622,0.8102311491966248
_3_6M,2,2.800046443939209,3.809396266937256,0.7900737524032593
_3_6M,5,2.7533490657806396,3.67273211479187,0.8079095482826233
_0_6M,9,3.578267812728882,7.244349002838135,-4.51034688949585
_0_6M,7,6.584007263183594,16.610515594482422,-53.81999588012695
_0_6M,6,3.4280526638031006,6.283048629760742,-2.1911609172821045
_0_6M,1,3.525231122970581,6.171282768249512,-1.4499049186706543
_0_6M,10,6.186601161956787,15.236543655395508,-41.268184661865234
_0_6M,8,4.285184860229492,9.754351615905762,-14.431455612182617
_0_6M,4,4.746420383453369,9.884284973144531,-12.208309173583984
_0_6M,3,3.217055320739746,5.15517520904541,0.36956971883773804
_0_6M,2,5.998895168304443,16.474809646606445,-56.69880294799805
_0_6M,5,4.596391677856445,10.488567352294922,-13.597898483276367
_3_9M,9,2.5513274669647217,3.731201171875,0.717142641544342
_3_9M,7,2.889570474624634,4.746981143951416,0.2955532670021057
_3_9M,6,2.8989827632904053,4.317768573760986,0.5336534380912781
_3_9M,1,2.363865375518799,3.0609219074249268,0.8531335592269897
_3_9M,10,2.7074718475341797,3.91763973236084,0.7130890488624573
_3_9M,8,2.532768964767456,3.561009407043457,0.7675081491470337
_3_9M,4,2.487950325012207,3.426546573638916,0.8060738444328308
_3_9M,3,2.669116973876953,3.7165660858154297,0.7499300241470337
_3_9M,2,2.494887113571167,3.34079647064209,0.8111591935157776
_3_9M,5,3.056641101837158,5.693089962005615,-0.338765025138855
_6_12M,9,2.2046830654144287,2.937870979309082,0.903674304485321
_6_12M,7,2.2970809936523438,3.051914930343628,0.8957434892654419
_6_12M,6,2.2640035152435303,3.117260217666626,0.8917854428291321
_6_12M,1,2.3739500045776367,3.00901198387146,0.8972771167755127
_6_12M,10,2.4704902172088623,3.34162974357605,0.875817596912384
_6_12M,8,2.331050395965576,3.0556368827819824,0.8946256637573242
_6_12M,4,2.317290782928467,2.9945640563964844,0.8978702425956726
_6_12M,3,2.248868465423584,3.077723503112793,0.8951557874679565
_6_12M,2,2.252574920654297,2.9961628913879395,0.899493932723999
_6_12M,5,2.3754723072052,3.1921885013580322,0.8863053917884827
_6_9M,9,2.2265360355377197,3.0475049018859863,0.8679810166358948
_6_9M,7,2.235680103302002,3.078545570373535,0.8649852275848389
_6_9M,6,3.0336294174194336,3.961282730102539,0.7773047685623169
