dataset,fold,mae,rmse,r2
Combined_12M,9,2.678300619125366,3.848507881164551,0.7188491821289062
Combined_12M,7,2.607455015182495,3.500978946685791,0.803381085395813
Combined_12M,6,2.499969244003296,3.4404850006103516,0.8107960820198059
Combined_12M,1,2.6134748458862305,3.681088924407959,0.7645766735076904
Combined_12M,10,2.49814510345459,3.5305428504943848,0.790044903755188
Combined_12M,8,2.541928768157959,3.509474277496338,0.7979733943939209
Combined_12M,4,2.7817203998565674,3.5103464126586914,0.8142775893211365
Combined_12M,3,2.4731996059417725,3.2610161304473877,0.8367381691932678
Combined_12M,2,2.4542770385742188,3.3270459175109863,0.8275943398475647
Combined_12M,5,2.70485258102417,3.8358540534973145,0.7306310534477234
Combined_3M,9,2.4147257804870605,4.202996730804443,0.6595324277877808
Combined_3M,7,2.428323268890381,3.404752492904663,0.851046621799469
Combined_3M,6,2.844482183456421,5.897904872894287,0.13503581285476685
Combined_3M,1,2.8254730701446533,6.75767707824707,-0.7787206768989563
Combined_3M,10,2.5062127113342285,4.382689476013184,0.5902042388916016
Combined_3M,8,2.6525492668151855,4.362959861755371,0.6793527007102966
Combined_3M,4,2.3275043964385986,3.2274723052978516,0.86882483959198
Combined_3M,3,2.735995054244995,6.122280597686768,-0.08355072885751724
Combined_3M,2,2.918405532836914,5.232395648956299,0.42155390977859497
Combined_3M,5,2.3884358406066895,3.2581183910369873,0.868148148059845
Combined_9M,9,2.5811972618103027,3.4705429077148438,0.8541505336761475
Combined_9M,7,2.276777744293213,3.313359022140503,0.8676639795303345
Combined_9M,6,2.461440324783325,3.5294930934906006,0.8532310128211975
Combined_9M,1,2.2668704986572266,3.1682121753692627,0.8859137296676636
Combined_9M,10,2.2705307006835938,3.1398231983184814,0.8879535794258118
Combined_9M,8,2.2537660598754883,3.203598976135254,0.8793174028396606
Combined_9M,4,2.3852736949920654,3.442362070083618,0.8416783213615417
Combined_9M,3,2.3819429874420166,3.2932698726654053,0.8712384700775146
Combined_9M,2,2.2474961280822754,3.0338900089263916,0.895359992980957
Combined_9M,5,2.239150047302246,3.033159017562866,0.8954938650131226
Combined_6M,9,2.653895139694214,4.375079154968262,0.7442978024482727
Combined_6M,7,2.3664331436157227,3.4530131816864014,0.8630614280700684
Combined_6M,6,2.4534029960632324,3.4111409187316895,0.8661500811576843
Combined_6M,1,2.5141255855560303,3.7208147048950195,0.842461347579956
Combined_6M,10,2.419560432434082,3.5198843479156494,0.8577033281326294
Combined_6M,8,2.41994047164917,3.4554710388183594,0.8630775809288025
Combined_6M,4,2.4678521156311035,3.550236940383911,0.8552470803260803
Combined_6M,3,2.4940428733825684,4.059848308563232,0.7941557765007019
Combined_6M,2,2.415026903152466,3.5762758255004883,0.8532387018203735
Combined_6M,5,2.4999136924743652,3.8729095458984375,0.8238035440444946
