dataset,fold,mae,rmse,r2
_12_27M,9,2.843893051147461,3.7723569869995117,0.8468332886695862
_12_27M,7,4.31125020980835,5.420033931732178,0.6789990663528442
_12_27M,6,3.2121469974517822,4.0143914222717285,0.826919674873352
_12_27M,1,2.8290305137634277,3.614886522293091,0.8578454256057739
_12_27M,10,2.6607253551483154,3.588306188583374,0.8617000579833984
_12_27M,8,3.4687435626983643,4.521766185760498,0.7790281176567078
_12_27M,4,2.6801505088806152,3.5252525806427,0.8663185238838196
_12_27M,3,3.056645631790161,3.795400619506836,0.8461864590644836
_12_27M,2,2.6353299617767334,3.5621113777160645,0.8636152148246765
_12_27M,5,3.4104814529418945,4.2454304695129395,0.8062049150466919
_12_24M,9,3.3553528785705566,3.8946549892425537,0.803518533706665
_12_24M,7,2.4094398021698,2.990849256515503,0.8803924322128296
_12_24M,6,2.3273637294769287,2.86263370513916,0.895796000957489
_12_24M,1,2.1551568508148193,2.7192161083221436,0.9014611840248108
_12_24M,10,2.1272149085998535,2.6901490688323975,0.9029254913330078
_12_24M,8,2.257286787033081,2.8065717220306396,0.895249605178833
_12_24M,4,2.078171730041504,2.5898520946502686,0.9125688672065735
_12_24M,3,2.963643789291382,3.5359253883361816,0.8399814963340759
_12_24M,2,2.177485704421997,2.7566964626312256,0.8982847332954407
_12_24M,5,2.7574923038482666,3.4281928539276123,0.8422534465789795
_15_27M,9,3.3679656982421875,4.380667686462402,0.7913002967834473
_15_27M,7,2.584817886352539,3.323885917663574,0.8766942620277405
_15_27M,6,2.6786961555480957,3.4307963848114014,0.8718684911727905
_15_27M,1,2.8249971866607666,3.4363086223602295,0.8740988969802856
_15_27M,10,2.95857572555542,3.5315632820129395,0.86735600233078
_15_27M,8,2.9157328605651855,3.892845630645752,0.8333725929260254
_15_27M,4,2.6547329425811768,3.338216781616211,0.8805562853813171
_15_27M,3,2.8365747928619385,3.4789512157440186,0.868388831615448
_15_27M,2,3.2936477661132812,3.8943371772766113,0.8439948558807373
_15_27M,5,2.8435444831848145,3.5042412281036377,0.8696004152297974
_15_24M,9,2.9356141090393066,3.6555347442626953,0.8260640501976013
_15_24M,7,2.991178512573242,3.880114793777466,0.8000648021697998
_15_24M,6,2.7743005752563477,3.5830445289611816,0.8291411995887756
_15_24M,1,2.81976580619812,3.6153945922851562,0.8284668922424316
_15_24M,10,2.8720734119415283,3.6388626098632812,0.8257231116294861
_15_24M,8,2.7394094467163086,3.5220742225646973,0.8359180688858032
_15_24M,4,2.83747935295105,3.577727794647217,0.8315606117248535
_15_24M,3,3.0521161556243896,3.910562515258789,0.7984449863433838
_15_24M,2,2.7587990760803223,3.5654518604278564,0.8320889472961426
_15_24M,5,2.8618531227111816,3.6602344512939453,0.8238649368286133
_9_18M,9,2.854624032974243,3.5597410202026367,0.8136868476867676
_9_18M,7,2.587052822113037,3.4052138328552246,0.8273913264274597
_9_18M,6,2.7295405864715576,3.5550684928894043,0.7997428178787231
_9_18M,1,2.700099229812622,3.4797260761260986,0.819448709487915
_9_18M,10,2.6910743713378906,3.531787157058716,0.8146607279777527
_9_18M,8,2.6701388359069824,3.407210111618042,0.8282734155654907
_9_18M,4,2.687852382659912,3.5499186515808105,0.8086000084877014
_9_18M,3,2.6099326610565186,3.433901309967041,0.8214625716209412
_9_18M,2,2.6606478691101074,3.562647581100464,0.8017382621765137
_9_18M,5,3.5141985416412354,4.199429988861084,0.7468025088310242
_18_21M,9,2.56069278717041,3.7122819423675537,0.819383978843689
_18_21M,7,2.61259388923645,3.531268835067749,0.8397017121315002
_18_21M,6,2.6104328632354736,3.507152557373047,0.8417507410049438
_18_21M,1,2.5954036712646484,3.768604278564453,0.8158252835273743
_18_21M,10,2.549734115600586,3.5402135848999023,0.8375720381736755
_18_21M,8,2.5233891010284424,3.5258312225341797,0.8389450907707214
_18_21M,4,2.543224334716797,3.5456974506378174,0.8375581502914429
_18_21M,3,2.6262130737304688,3.7934980392456055,0.8104656934738159
_18_21M,2,2.545412302017212,3.6378097534179688,0.8284106850624084
_18_21M,5,2.558251142501831,3.615562677383423,0.8306634426116943
_21_30M,9,2.2320449352264404,2.846879005432129,0.9054583311080933
_21_30M,7,2.1853861808776855,2.881510019302368,0.902247428894043
_21_30M,6,2.191171407699585,2.7025132179260254,0.9152827262878418
_21_30M,1,2.332463502883911,2.8467857837677,0.9065262079238892
_21_30M,10,4.015069961547852,4.572196960449219,0.7560297846794128
_21_30M,8,2.119260549545288,2.727376699447632,0.9145433306694031
_21_30M,4,2.0610337257385254,2.694505214691162,0.9156450033187866
_21_30M,3,2.541806697845459,3.035313129425049,0.8916774988174438
_21_30M,2,2.092007637023926,2.8270955085754395,0.908783495426178
_21_30M,5,1.9461793899536133,2.5696303844451904,0.9222496151924133
_9_15M,9,2.6443052291870117,3.5118215084075928,0.7473042607307434
_9_15M,7,2.5733792781829834,3.4564218521118164,0.7528954148292542
_9_15M,6,2.708211898803711,3.1456334590911865,0.8244495987892151
_9_15M,1,2.7253637313842773,3.19468355178833,0.8147532343864441
_9_15M,10,2.638181686401367,3.5342507362365723,0.7494580149650574
_9_15M,8,2.6415014266967773,3.465622901916504,0.7593165636062622
_9_15M,4,2.4235968589782715,3.128636598587036,0.8030747175216675
_9_15M,3,2.5277836322784424,3.357787609100342,0.7704604268074036
_9_15M,2,2.6294002532958984,3.1469831466674805,0.8166376352310181
_9_15M,5,2.8519392013549805,3.7755305767059326,0.7053686380386353
_27_30M,9,2.0304460525512695,2.569063663482666,0.9120150208473206
_27_30M,7,2.3613991737365723,2.966984987258911,0.8829718828201294
_27_30M,6,2.071104049682617,2.589301824569702,0.9109912514686584
_27_30M,1,2.068718433380127,2.669053554534912,0.905158519744873
_27_30M,10,2.056529998779297,2.673022508621216,0.9043371677398682
_27_30M,8,2.391969919204712,2.9012839794158936,0.8864483833312988
_27_30M,4,2.0069117546081543,2.6103427410125732,0.9094029664993286
_27_30M,3,2.3312220573425293,2.83634877204895,0.8902455568313599
_27_30M,2,2.206843376159668,2.7171571254730225,0.9012690782546997
_27_30M,5,2.0931670665740967,2.6087448596954346,0.9098559617996216
_9_21M,9,2.8494176864624023,4.025023937225342,0.8313366174697876
_9_21M,7,3.214256763458252,4.290698051452637,0.811767041683197
_9_21M,6,3.046525001525879,4.179471015930176,0.8201850652694702
_9_21M,1,3.5767295360565186,4.880943298339844,0.7574594020843506
_9_21M,10,3.0286951065063477,4.135645866394043,0.8240416049957275
_9_21M,8,3.049743890762329,4.18922758102417,0.8170024752616882
_9_21M,4,3.107621192932129,4.289464950561523,0.8106771111488342
_9_21M,3,2.8747217655181885,3.988661289215088,0.8354918360710144
_9_21M,2,2.9572741985321045,4.228729724884033,0.8119972348213196
_9_21M,5,3.015916347503662,4.177978515625,0.8172512650489807
_18_30M,9,2.7983264923095703,3.3253066539764404,0.8828729391098022
_18_30M,7,2.9142725467681885,3.5488996505737305,0.8674796223640442
_18_30M,6,2.5695223808288574,3.40277099609375,0.8814341425895691
_18_30M,1,2.7458243370056152,3.3359124660491943,0.884451687335968
_18_30M,10,2.9367823600769043,3.481215000152588,0.8745288848876953
_18_30M,8,2.7486164569854736,3.408109188079834,0.8797786831855774
_18_30M,4,2.6208720207214355,3.2232370376586914,0.8916914463043213
_18_30M,3,2.632500410079956,3.4191389083862305,0.880092442035675
_18_30M,2,2.5983853340148926,3.4681813716888428,0.8764505982398987
_18_30M,5,2.5840256214141846,3.37040114402771,0.8831737041473389
_24_30M,9,2.130510091781616,2.873919725418091,0.8979759216308594
_24_30M,7,2.1775176525115967,2.882460832595825,0.8955984115600586
_24_30M,6,2.2449100017547607,3.033698558807373,0.8835764527320862
_24_30M,1,2.3334176540374756,3.1233489513397217,0.8759645223617554
_24_30M,10,2.1972148418426514,2.8520491123199463,0.8999423384666443
_24_30M,8,2.2524056434631348,2.8835225105285645,0.8976997137069702
_24_30M,4,2.177351713180542,2.9795916080474854,0.889683187007904
_24_30M,3,2.1825129985809326,2.9707562923431396,0.88958740234375
_24_30M,2,2.4269442558288574,3.006803035736084,0.8931312561035156
_24_30M,5,2.439286947250366,3.021693229675293,0.8921625018119812
_15_30M,9,2.569121837615967,3.2581944465637207,0.9108594655990601
_15_30M,7,4.739912033081055,5.569698333740234,0.7394939661026001
_15_30M,6,2.3099868297576904,3.09889554977417,0.9193299412727356
_15_30M,1,3.0478508472442627,3.9631435871124268,0.868102490901947
_15_30M,10,2.9838974475860596,3.8353464603424072,0.8764855265617371
_15_30M,8,2.5185680389404297,3.1460459232330322,0.9168738126754761
_15_30M,4,4.2353949546813965,4.98886251449585,0.7907657027244568
_15_30M,3,3.269075393676758,3.887478828430176,0.8730823993682861
