dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.4916637659072878,2.4426653178090145,2.540662214005561,0.07905443765514775,3.376494836807251,3.3158282684341165,3.437161405180386,0.09787986422726627,0.7757823646068573,0.7661778485514958,0.7853868806622188,0.01549599314214197
_12_18M,2.383231830596924,2.310274272522261,2.456189388671587,0.11771023267344057,3.1346046924591064,3.0613246080709007,3.207884776847312,0.11823059887554942,0.8737954497337341,0.8685127926273671,0.8790781068401011,0.008523075792752044
_12_21M,2.774320149421692,2.7081070736321404,2.840533225211243,0.10682863794914986,3.4483672857284544,3.353127218289009,3.5436073531679,0.15366098857994287,0.8280946850776673,0.8183462207837673,0.8378431493715672,0.01572824023344334
_12_24M,2.460860848426819,2.1967386259146284,2.7249830709390093,0.4261366345940413,3.0274741649627686,2.7563560053578993,3.298592324567638,0.4374239282573688,0.8772431790828705,0.854930972170701,0.89955538599504,0.035998670136432695
_12_27M,3.1108397245407104,2.7883187313602193,3.4333607177212015,0.5203576181989721,4.0059936285018924,3.637717660341911,4.3742695966618745,0.5941790137189753,0.8233650743961334,0.7873964029152608,0.859333745877006,0.058032105249948396
_15_18M,2.623087167739868,2.5134799486190462,2.73269438686069,0.17684105123416077,3.478600549697876,3.34117036109954,3.6160307382962116,0.2217308241006351,0.8119064450263977,0.7959560625177169,0.8278568275350786,0.025734458305276594
_15_21M,2.559097409248352,2.443414436971046,2.674780381525658,0.1866437137216338,3.3385284423828123,3.2381954075519856,3.438861477213639,0.16187801766449977,0.8762656450271606,0.8688254760674151,0.8837058139869062,0.012004020453715042
_15_24M,2.86425895690918,2.8008971431797796,2.92762077063858,0.10222839186950623,3.6609002113342286,3.5797357646565215,3.7420646580119357,0.13095128394328587,0.8231337606906891,0.8150347572598355,0.8312327641215427,0.013066988581130257
_15_27M,2.8959285497665403,2.736059362247418,3.055797737285663,0.2579340613474443,3.6211813926696776,3.413955350304678,3.8284074350346775,0.3343399410081352,0.8577230930328369,0.8405731987048035,0.8748729873608703,0.027669759034585892
_15_30M,3.1538511991500853,2.6691484147956164,3.638553983504554,0.7820228504007904,3.9032451629638674,3.3982064200206086,4.408283905907126,0.8148330277188714,0.8669679582118988,0.8305388282324754,0.9033970881913221,0.05877501220066361
_18_21M,2.5725347280502318,2.5505536812076355,2.594515774892828,0.03546437417217182,3.61779203414917,3.551695121088767,3.6838889472095726,0.10664122019234898,0.8300276815891265,0.823098499532783,0.8369568636454701,0.011179590622456404
_18_24M,2.4011865854263306,2.321121830663572,2.481251340189089,0.12917703334343447,3.0591875553131103,3.014048351735349,3.1043267588908714,0.07282790564885004,0.8912896931171417,0.888180944075773,0.8943984421585104,0.005015677369688896
