dataset,fold,mae,rmse,r2
_0_9M,9,2.1980528831481934,3.0574841499328613,0.8611935377120972
_0_9M,7,2.1884710788726807,3.029805898666382,0.8633964657783508
_0_9M,6,2.2063047885894775,3.001065492630005,0.86794114112854
_0_9M,1,2.191779613494873,3.0277321338653564,0.8643069863319397
_0_9M,10,2.1844377517700195,3.029798746109009,0.8638401031494141
_0_9M,8,2.231879711151123,3.073690414428711,0.8617334365844727
_0_9M,4,2.204925298690796,3.0547232627868652,0.8616746664047241
_0_9M,3,2.1897776126861572,3.045612096786499,0.8626466989517212
_0_9M,2,2.259625196456909,3.020725965499878,0.8670313358306885
_0_9M,5,2.4067986011505127,3.144129991531372,0.8580030798912048
_0_3M,9,2.4349100589752197,3.38421893119812,0.786213219165802
_0_3M,7,2.382009983062744,3.3939881324768066,0.7845567464828491
_0_3M,6,2.3671481609344482,3.3726694583892822,0.7872905135154724
_0_3M,1,2.402782678604126,3.4585537910461426,0.7761372327804565
_0_3M,10,2.3529677391052246,3.3213698863983154,0.7935311198234558
_0_3M,8,2.519071340560913,3.377622365951538,0.7866291403770447
_0_3M,4,2.3704869747161865,3.3847646713256836,0.7855890393257141
_0_3M,3,2.3948895931243896,3.3923916816711426,0.7849553227424622
_0_3M,2,2.367502450942993,3.3762288093566895,0.7868306636810303
_0_3M,5,2.3556101322174072,3.4035744667053223,0.7828563451766968
_9_12M,9,2.585089921951294,3.4016809463500977,0.8542978167533875
_9_12M,7,2.7002415657043457,3.6782329082489014,0.8320289850234985
_9_12M,6,2.5392138957977295,3.4310004711151123,0.8530519008636475
_9_12M,1,2.693777322769165,3.666882038116455,0.8330169916152954
_9_12M,10,2.5400969982147217,3.4161009788513184,0.854083240032196
_9_12M,8,2.5970757007598877,3.3718981742858887,0.8567121624946594
_9_12M,4,2.5795347690582275,3.5105514526367188,0.8463830947875977
_9_12M,3,2.522974967956543,3.3805785179138184,0.8563913702964783
_9_12M,2,2.6616156101226807,3.4246625900268555,0.8507488369941711
_9_12M,5,2.6238107681274414,3.5918965339660645,0.8397032022476196
_3_6M,9,2.4614553451538086,3.313767433166504,0.812426745891571
_3_6M,7,2.4103708267211914,3.297314167022705,0.8151531219482422
_3_6M,6,2.458423376083374,3.328763484954834,0.8111931085586548
_3_6M,1,2.422081708908081,3.385776996612549,0.8056600093841553
_3_6M,10,2.3935799598693848,3.2910869121551514,0.8155010342597961
_3_6M,8,2.4034669399261475,3.3108787536621094,0.8138424754142761
_3_6M,4,2.4527485370635986,3.2962260246276855,0.8149319291114807
_3_6M,3,2.3980109691619873,3.367523193359375,0.807148814201355
_3_6M,2,2.447317361831665,3.2986197471618652,0.8138382434844971
_3_6M,5,2.4478533267974854,3.3279027938842773,0.8108364343643188
_0_6M,9,2.3896543979644775,3.2464354038238525,0.8187347054481506
_0_6M,7,2.383366823196411,3.3271560668945312,0.8111464381217957
