dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.459146738052368,2.435567854566388,2.482725621538348,0.03804233494868737,3.1231197118759155,3.097482842075577,3.148756581676254,0.0413627044113548,0.8672944366931915,0.8647830772755507,0.8698057961108323,0.004051844787274993
_0_3M,2.3947379112243654,2.363633379207864,2.425842443240867,0.05018426873764028,3.3865382194519045,3.3656726351266784,3.4074038037771306,0.03366467917246042,0.7854589343070983,0.7827883515719716,0.7881295170422251,0.004308736797409603
_0_6M,2.4055047988891602,2.369531391009391,2.4414782067689296,0.058039746988938906,3.3152103424072266,3.2758394659546197,3.3545812188598334,0.0635212464629221,0.8116484701633453,0.8075859567589014,0.8157109835677891,0.006554487440309971
_0_9M,2.226205253601074,2.1843281871475826,2.2680823200545657,0.06756475087717484,3.048476815223694,3.023979541181191,3.0729740892661965,0.03952407267328005,0.8631767451763153,0.8613917773196254,0.8649617130330052,0.0028798795802699546
_3_12M,2.459313082695007,2.4310053827828755,2.487620782607139,0.04567184032800257,3.1651319742202757,3.1443680132674308,3.1858959351731206,0.033500719315199094,0.8630274057388305,0.8605780388795461,0.865476772598115,0.003951825561567376
_3_6M,2.4295308351516725,2.4129601345748815,2.4461015357284634,0.026735283799655514,3.3217859506607055,3.3019829478429266,3.3415889534784844,0.03195030276271112,0.8120531916618348,0.809951754933214,0.8141546283904555,0.0033904726638646766
_3_9M,2.2138639450073243,2.185893953792582,2.2418339362220667,0.04512697876198232,3.0087801456451415,2.997584129710419,3.019976161579864,0.018063730139419386,0.8679429709911346,0.8670938242322387,0.8687921177500305,0.0013700192989086746
_6_12M,3.0306536674499513,2.718149450978976,3.343157883920927,0.5041964808441778,3.901315760612488,3.622168769461606,4.18046275176337,0.45037770103043595,0.8272196471691131,0.8007360059479637,0.8537032883902625,0.04272889132324252
_6_9M,2.285713458061218,2.2614156470826847,2.3100112690397516,0.03920225757571981,3.0465648412704467,3.0242538936763617,3.0688757888645317,0.03599663834385846,0.8684600532054901,0.8657579094235412,0.871162196987439,0.004359657610316175
_9_12M,2.6043431520462037,2.5646651975591843,2.644021106533223,0.06401668830381617,3.487348461151123,3.414483138345149,3.560213783957097,0.1175614196481067,0.8476417601108551,0.8417770435825355,0.8535064766391748,0.009462174520778265
