dataset,fold,mae,rmse,r2
Combined_12M,9,2.3623878955841064,3.177321195602417,0.8816456198692322
Combined_12M,7,2.2789804935455322,2.9857125282287598,0.894283652305603
Combined_12M,6,2.315476894378662,2.947402238845825,0.8990469574928284
Combined_12M,1,2.214668035507202,2.9569015502929688,0.8978475332260132
Combined_12M,10,2.4806740283966064,3.310276746749878,0.8696720004081726
Combined_12M,8,2.3928592205047607,3.1959378719329834,0.8775594830513
Combined_12M,4,2.269486665725708,2.9567809104919434,0.8976359963417053
Combined_12M,3,2.246222734451294,3.0007717609405518,0.8943625092506409
Combined_12M,2,2.293133497238159,3.07812237739563,0.8879378437995911
Combined_12M,5,2.242877960205078,2.963430881500244,0.8971923589706421
Combined_3M,9,2.3618390560150146,3.137174367904663,0.846038818359375
Combined_3M,7,2.333834171295166,3.1399075984954834,0.8440530300140381
Combined_3M,6,2.3398401737213135,3.2264580726623535,0.8347034454345703
Combined_3M,1,2.32665753364563,3.1522562503814697,0.8433939218521118
Combined_3M,10,2.3547894954681396,3.2392449378967285,0.8339016437530518
Combined_3M,8,2.323481559753418,3.136500120162964,0.8445987105369568
Combined_3M,4,2.316762924194336,3.171440839767456,0.8402736186981201
Combined_3M,3,2.3104970455169678,3.1579678058624268,0.8419110774993896
Combined_3M,2,2.34203839302063,3.133234739303589,0.8452976942062378
Combined_3M,5,2.329662799835205,3.203249216079712,0.837752103805542
Combined_9M,9,2.277512788772583,2.9710371494293213,0.8877983689308167
Combined_9M,7,2.284336805343628,2.9703915119171143,0.8879950046539307
Combined_9M,6,2.3622376918792725,3.1777267456054688,0.8696237206459045
Combined_9M,1,2.272897720336914,2.967546224594116,0.8875882625579834
Combined_9M,10,2.2893238067626953,2.996155023574829,0.8856410980224609
Combined_9M,8,2.304610252380371,2.991142511367798,0.8864352107048035
Combined_9M,4,2.2824766635894775,3.031912326812744,0.8822817206382751
Combined_9M,3,2.2818567752838135,3.0281500816345215,0.882706344127655
Combined_9M,2,2.2800276279449463,3.021026849746704,0.8832647204399109
Combined_9M,5,2.330371379852295,3.120504140853882,0.8750337362289429
Combined_6M,9,2.217194080352783,2.9699349403381348,0.8809865713119507
Combined_6M,7,2.194786548614502,3.00337553024292,0.8775280117988586
Combined_6M,6,2.1868715286254883,2.998633861541748,0.8778260350227356
Combined_6M,1,2.3158962726593018,2.9915130138397217,0.8798195123672485
Combined_6M,10,2.2664687633514404,2.9740049839019775,0.8809864521026611
Combined_6M,8,2.2064156532287598,2.9984724521636963,0.8786547780036926
Combined_6M,4,2.2206625938415527,2.9719629287719727,0.881066620349884
Combined_6M,3,2.266430616378784,2.9731147289276123,0.881128191947937
Combined_6M,2,2.332226276397705,3.0143558979034424,0.8782839179039001
Combined_6M,5,2.264782428741455,3.118133068084717,0.8679967522621155
