dataset,fold,mae,rmse,r2
_12_27M,9,3.3123137950897217,4.2813262939453125,0.8041282296180725
_12_27M,7,2.9622249603271484,3.6655502319335938,0.8555755615234375
_12_27M,6,3.0418589115142822,3.993335485458374,0.8288998603820801
_12_27M,1,2.934180974960327,3.6972992420196533,0.8528904914855957
_12_27M,10,4.033238887786865,4.741139888763428,0.758995532989502
_12_27M,8,2.9656903743743896,3.725818395614624,0.8503395915031433
_12_27M,4,3.090702772140503,3.9241063594818115,0.8352771401405334
_12_27M,3,2.8982760906219482,3.7810404300689697,0.8467856049537659
_12_27M,2,5.109964370727539,5.982728481292725,0.61771160364151
_12_27M,5,3.099294662475586,4.0559892654418945,0.8240418434143066
_12_24M,9,3.3854994773864746,3.91081166267395,0.8106732964515686
_12_24M,7,2.4322519302368164,3.2441346645355225,0.8565956354141235
_12_24M,6,2.280062437057495,2.9495558738708496,0.8848779797554016
_12_24M,1,2.621933937072754,3.477879285812378,0.8357791304588318
_12_24M,10,2.4335360527038574,3.232888698577881,0.8570810556411743
_12_24M,8,2.2618188858032227,2.9435014724731445,0.8865304589271545
_12_24M,4,2.681943416595459,3.265413761138916,0.8686347603797913
_12_24M,3,2.2402231693267822,2.902761697769165,0.8894287347793579
_12_24M,2,2.6275157928466797,3.2833549976348877,0.8653198480606079
_12_24M,5,2.5725343227386475,3.13114857673645,0.8776479959487915
_15_27M,9,2.9876415729522705,3.973865270614624,0.8267671465873718
_15_27M,7,2.7216780185699463,3.536970853805542,0.8641360998153687
_15_27M,6,2.7563273906707764,3.522779941558838,0.8661095499992371
_15_27M,1,3.002809762954712,3.5882046222686768,0.8658589124679565
_15_27M,10,2.921379566192627,3.7810826301574707,0.8432662487030029
_15_27M,8,2.9555704593658447,3.5391693115234375,0.8675015568733215
_15_27M,4,2.7638027667999268,3.712014675140381,0.8476767539978027
_15_27M,3,2.770334482192993,3.599705934524536,0.8605868816375732
_15_27M,2,3.1019084453582764,4.13684606552124,0.8112006187438965
_15_27M,5,2.7538323402404785,3.4655566215515137,0.8679315447807312
_15_24M,9,2.886819839477539,3.812136650085449,0.8325453400611877
_15_24M,7,2.956397771835327,3.7038414478302,0.8428393602371216
_15_24M,6,2.8372128009796143,3.7162020206451416,0.839756965637207
_15_24M,1,2.8216896057128906,3.697887659072876,0.8426398634910583
_15_24M,10,3.058537244796753,4.117415428161621,0.8046757578849792
_15_24M,8,3.7740612030029297,4.471922397613525,0.7742218375205994
