dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,3.0076974630355835,2.831913242693885,3.183481683377282,0.2836114862227904,3.8944111824035645,3.766933092471291,4.021889272335838,0.2056740387519204,0.7167433977127076,0.6980911463004179,0.7353956491249972,0.03009367242496319
_12_18M,2.750038981437683,2.638910598854319,2.861167364021047,0.17929530696633517,3.72553436756134,3.6508303888621154,3.800238346260565,0.12052791988074106,0.836422348022461,0.8298678134913472,0.8429768825535747,0.010575131694154681
_12_21M,2.9941298246383665,2.819727994595359,3.168531654681374,0.2813811280803499,3.8392268419265747,3.6353956059056465,4.043058077947503,0.3288627367925968,0.7878288567066193,0.7631830467434965,0.8124746666697421,0.039763721562825906
_12_24M,2.5537319421768188,2.346477458589374,2.7609864257642633,0.33438582827464813,3.2341450691223144,3.048585440632125,3.4197046976125036,0.29938319785901524,0.8632568895816803,0.8478834800266205,0.8786302991367402,0.024803566120706572
_12_27M,3.344774580001831,2.908188539146647,3.7813606208570154,0.7043909610906676,4.184833407402039,3.7439639257446693,4.625702889059408,0.711301894334241,0.8074645459651947,0.762371776153431,0.8525573157769584,0.07275298908717122
_12_30M,2.3735640048980713,1.9085761280860074,2.8385518817101354,0.7502146811693452,2.9025622367858888,2.3606435537070314,3.444480919864746,0.8743353801674176,0.9104625582695007,0.873645969467554,0.9472791470714474,0.059400140965306915
_15_18M,2.684993600845337,2.661871983512319,2.708115218178355,0.03730457855059458,3.565907025337219,3.509434307097462,3.6223797435769765,0.0911134771931472,0.7860789775848389,0.7795070005516163,0.7926509546180616,0.010603273548622252
_15_21M,2.6050573587417603,2.5809969692376784,2.629117748245842,0.038819200114136386,3.479101300239563,3.427935370420729,3.530267230058397,0.08255146776930693,0.8613571703433991,0.8568796724400792,0.865834668246719,0.00722402632301992
_15_24M,3.044171357154846,2.8675372189331716,3.2208054953765206,0.28498274965382436,3.89776554107666,3.740558787691929,4.0549722944613915,0.2536384715592524,0.8252400398254395,0.8112885078413181,0.8391915718095608,0.02250949893801618
_15_27M,2.873528480529785,2.7896765063995574,2.957380454660013,0.1352873594658349,3.685619592666626,3.549848779806484,3.821390405526768,0.21905357571965697,0.8521035313606262,0.839876543726783,0.8643305189944694,0.01972710706411092
_15_30M,2.782332444190979,2.6076401760420933,2.9570247123398645,0.2818497229445742,3.639544415473938,3.4510305953715608,3.828058235576315,0.30414951119527917,0.8814964592456818,0.868748473901569,0.8942444445897946,0.020567688400939633
_18_21M,2.8855793476104736,2.8520549031712474,2.9191037920497,0.05408857230598005,3.9873483657836912,3.9403981036157987,4.034298627951584,0.07574988020029336,0.8285486757755279,0.8243606485172943,0.8327367030337616,0.006756992366779751
_18_24M,2.693937635421753,2.649737852572353,2.738137418271153,0.07131223769844404,3.6250794172286986,3.5314388600975355,3.718719974359862,0.15108032750081554,0.8642435908317566,0.8571509904577955,0.8713361912057177,0.011443250875040372
_18_27M,2.64707088470459,2.5277768420219062,2.7663649273872735,0.1924698398809303,3.379463815689087,3.2477226695925814,3.5112049617855923,0.21255208327854955,0.8680315256118775,0.8546641441139876,0.8813989071097673,0.021567026472308737
_18_30M,2.890078592300415,2.6960455322772527,3.084111652323577,0.31305429134967155,3.553303027153015,3.352216604592998,3.754389449713032,0.3244342356248572,0.8653128683567047,0.8496515706299135,0.880974166083496,0.025268046903407074
_21_24M,2.500082564353943,2.4663078203560316,2.5338573083518545,0.05449240735841892,3.1593228578567505,3.0944282163503876,3.2242174993631134,0.10470146688786076,0.8473552882671356,0.8399998414749489,0.8547107350593223,0.011867329118106621
_21_27M,2.4832398653030396,2.450995165918018,2.5154845646880615,0.05202382271637756,3.3586218118667603,3.28496151000382,3.4322821137297006,0.11884404439920145,0.8524373829364776,0.8466496513282303,0.8582251145447249,0.009337966514189123
_21_30M,2.435502314567566,2.29202192758696,2.5789827015481714,0.23149225633728754,3.163017749786377,3.0716552314606855,3.2543802681120684,0.14740492381533607,0.887631094455719,0.8805389785008684,0.8947232104105696,0.011442469309871339
_24_27M,2.4065729141235352,2.3386193704544884,2.474526457792582,0.10963672095607337,3.218716287612915,3.1369107074723583,3.3005218677534716,0.13198569314061068,0.838225919008255,0.8295631731500688,0.8468886648664413,0.013976534542376823
_24_30M,2.4558948516845702,2.438418115982295,2.4733715873868456,0.028197087185700152,3.261012411117554,3.2135009312055254,3.308523891029582,0.07665535282007432,0.8864080786705018,0.88306589242811,0.8897502649128936,0.005392306576753892
_27_30M,2.2071689128875733,2.1876229704150125,2.226714855360134,0.03153555981016106,2.8202242851257324,2.7935280644112446,2.8469205058402203,0.04307186855936155,0.897729218006134,0.8957392127913094,0.8997192232209587,0.003210688282886898
_3_15M,3.694467067718506,2.800184660730961,4.58874947470605,1.442841468111388,4.267693281173706,3.291401422459939,5.243985139887473,1.575156089089188,0.6262804388999939,0.44630679225900916,0.8062540855409785,0.29037073581215506
_6_15M,2.302323007583618,2.2572988788775623,2.347347136289674,0.07264224304882981,3.0107744693756104,2.9376057372415443,3.0839432015096766,0.11805094237265425,0.8947284936904907,0.8880755297458645,0.9013814576351169,0.01073393839591703
_6_18M,2.8356733560562133,2.6950510526364164,2.97629565947601,0.22688100440094006,3.460854482650757,3.3039127525739165,3.6177962127275975,0.25321088110722856,0.8690452218055725,0.8567251416364344,0.8813653019747106,0.01987730320936172
_6_21M,3.2019495725631715,3.0572399291601258,3.346659215966217,0.23347554721652228,4.598684811592102,4.238944467760949,4.958425155423256,0.5804075779380349,0.6245880216360092,0.5562510071194486,0.6929250361525698,0.11025541549404169
_9_15M,2.724327731132507,2.7060183400606537,2.7426371222043606,0.029540499162147404,3.4345455169677734,3.361488355085234,3.5076026788503127,0.11787093415125449,0.8164611399173737,0.8062770292838508,0.8266452505508965,0.01643111507401655
_9_18M,3.054184579849243,2.9285420628927965,3.1798270968056896,0.20271251251974387,3.9871142148971557,3.8464944002676553,4.127734029526656,0.22687698896933042,0.7605505466461182,0.7426688073903903,0.7784322859018461,0.02885052274150222
_9_21M,3.50033118724823,3.018715519453171,3.981946855043289,0.7770420750282603,4.698595476150513,4.214940055382916,5.182250896918109,0.7803330266901568,0.7894542455673218,0.7423364951054211,0.8365719960292225,0.07602010698115153
_9_24M,3.2551116228103636,3.0850064367636505,3.4252168088570767,0.2744488927113813,4.668673706054688,4.520358103271387,4.8169893088379885,0.23929342721226482,-0.38097657449543476,-0.5990947075526295,-0.16285844143824,0.3519133160430618
_9_27M,4.919747805595398,4.450097069115464,5.389398542075331,0.7577377714551642,5.862217569351197,5.432946069816066,6.291489068886327,0.6925896291463902,0.6451656281948089,0.595760256117504,0.6945710002721138,0.07971097163896315
