dataset,fold,mae,rmse,r2
_0_9M,9,2.569499969482422,3.4805545806884766,0.8263279795646667
_0_9M,7,2.52514910697937,3.371735095977783,0.8374634981155396
_0_9M,6,2.4933745861053467,3.331345558166504,0.841864824295044
_0_9M,1,2.502197265625,3.333136796951294,0.8412908911705017
_0_9M,10,2.507948875427246,3.270423650741577,0.8492077589035034
_0_9M,8,2.4880073070526123,3.3245065212249756,0.8419454097747803
_0_9M,4,2.4957776069641113,3.275798797607422,0.8477964997291565
_0_9M,3,2.495748281478882,3.2787227630615234,0.8480976223945618
_0_9M,2,2.7397799491882324,3.69140887260437,0.8050544261932373
_0_9M,5,2.552233934402466,3.298480987548828,0.846944272518158
_0_3M,9,2.765721559524536,3.863713026046753,0.6891834139823914
_0_3M,7,2.764843463897705,3.8081462383270264,0.6980513334274292
_0_3M,6,2.8303604125976562,3.7794432640075684,0.7040767669677734
_0_3M,1,2.810681104660034,3.792771816253662,0.701741635799408
_0_3M,10,2.8006234169006348,3.9635508060455322,0.6716709136962891
_0_3M,8,2.766209125518799,3.896714925765991,0.683081865310669
_0_3M,4,2.8964176177978516,4.111466884613037,0.6470232009887695
_0_3M,3,2.7662124633789062,3.802858352661133,0.6990755200386047
_0_3M,2,3.0019748210906982,3.852299213409424,0.6932958364486694
_0_3M,5,2.753608465194702,3.8223624229431152,0.6953494548797607
_9_12M,9,2.8172919750213623,3.7489254474639893,0.8228675127029419
_9_12M,7,2.780573844909668,3.718451738357544,0.8261269330978394
_9_12M,6,2.6955463886260986,3.536586046218872,0.8415260910987854
_9_12M,1,2.730990171432495,3.6025023460388184,0.8362932801246643
_9_12M,10,2.7004048824310303,3.5492143630981445,0.8406174182891846
_9_12M,8,2.723806142807007,3.628512144088745,0.8342623710632324
_9_12M,4,2.7172820568084717,3.5986225605010986,0.8365775942802429
_9_12M,3,2.6987526416778564,3.540055751800537,0.8413696885108948
_9_12M,2,2.710829734802246,3.531583786010742,0.8419485688209534
_9_12M,5,2.7308053970336914,3.538254976272583,0.8414292931556702
_3_6M,9,2.6614468097686768,3.5352978706359863,0.7898725867271423
_3_6M,7,2.7106773853302,3.540299415588379,0.78863924741745
_3_6M,6,2.6487231254577637,3.586879253387451,0.7841510772705078
_3_6M,1,2.649634599685669,3.5754590034484863,0.7856563329696655
_3_6M,10,2.6684730052948,3.556849241256714,0.787410318851471
_3_6M,8,2.639327049255371,3.5562684535980225,0.7872399091720581
_3_6M,4,2.634645462036133,3.56638240814209,0.7856667637825012
_3_6M,3,2.6772987842559814,3.672116279602051,0.7739384770393372
_3_6M,2,2.7229228019714355,3.523089647293091,0.7901204824447632
_3_6M,5,2.64786958694458,3.5490000247955322,0.7881498336791992
_0_6M,9,2.669252395629883,3.5554494857788086,0.8041641116142273
_0_6M,7,3.654667615890503,4.270516872406006,0.7031729221343994
_0_6M,6,2.899901866912842,4.017006874084473,0.748539924621582
_0_6M,1,2.690323829650879,3.586582899093628,0.8000186681747437
_0_6M,10,2.7333431243896484,3.8262128829956055,0.7740869522094727
_0_6M,8,2.6530773639678955,3.609025001525879,0.7979490160942078
_0_6M,4,2.622351884841919,3.526013135910034,0.8066612482070923
_0_6M,3,2.6342976093292236,3.653010845184326,0.7927120327949524
_0_6M,2,2.663609027862549,3.4999563694000244,0.8091700077056885
_0_6M,5,3.036412477493286,3.75080943107605,0.7790627479553223
_3_9M,9,2.7958734035491943,3.5107414722442627,0.8283612728118896
_3_9M,7,2.663851737976074,3.6189463138580322,0.8112375736236572
_3_9M,6,2.5251688957214355,3.2961556911468506,0.8459776043891907
_3_9M,1,2.887052536010742,3.6011722087860107,0.8196131587028503
_3_9M,10,2.487406015396118,3.3295931816101074,0.8409013748168945
_3_9M,8,2.4938302040100098,3.3433187007904053,0.8398362398147583
_3_9M,4,2.5479543209075928,3.4383602142333984,0.8293868899345398
_3_9M,3,2.499741792678833,3.3769736289978027,0.8355596661567688
_3_9M,2,2.8134713172912598,3.5218517780303955,0.8276098966598511
_3_9M,5,2.592252254486084,3.3364417552948,0.843093991279602
_6_12M,9,2.7854061126708984,3.6822221279144287,0.8210387825965881
_6_12M,7,2.7889773845672607,3.6310598850250244,0.8270431160926819
_6_12M,6,3.0030999183654785,4.060373783111572,0.7751705050468445
_6_12M,1,2.811448335647583,3.7956483364105225,0.8045333027839661
_6_12M,10,3.0499136447906494,4.150371551513672,0.7620671987533569
_6_12M,8,2.8658103942871094,3.646606683731079,0.8252782821655273
_6_12M,4,2.79140567779541,3.648803949356079,0.8256429433822632
_6_12M,3,2.7569570541381836,3.6694858074188232,0.8201963901519775
_6_12M,2,2.8227410316467285,3.743312358856201,0.8142834305763245
_6_12M,5,3.1652438640594482,4.253500461578369,0.749423623085022
_6_9M,9,2.5665574073791504,3.434760808944702,0.8446376323699951
_6_9M,7,2.6817307472229004,3.429292917251587,0.8476548790931702
_6_9M,6,2.5887930393218994,3.431833267211914,0.8455365300178528
_6_9M,1,2.581360101699829,3.5168509483337402,0.8364691734313965
_6_9M,10,2.612565040588379,3.4050915241241455,0.8490578532218933
_6_9M,8,2.596637725830078,3.3982813358306885,0.8488270044326782
_6_9M,4,2.7573800086975098,3.4678335189819336,0.8446317911148071
_6_9M,3,2.6286184787750244,3.587873697280884,0.8299614191055298
_6_9M,2,2.5717790126800537,3.3952791690826416,0.8497054576873779
_6_9M,5,2.5905652046203613,3.528536319732666,0.8351277112960815
_3_12M,9,2.5745961666107178,3.394665241241455,0.8431888222694397
_3_12M,7,2.5884487628936768,3.3514609336853027,0.8480912446975708
_3_12M,6,2.687941074371338,3.3452696800231934,0.852552592754364
_3_12M,1,2.662748336791992,3.3299496173858643,0.8524890542030334
_3_12M,10,2.5378944873809814,3.2932329177856445,0.8527250289916992
_3_12M,8,3.019155740737915,3.6245641708374023,0.8305119276046753
_3_12M,4,2.5999715328216553,3.298682451248169,0.8544327020645142
_3_12M,3,2.5521585941314697,3.327831268310547,0.8498852849006653
_3_12M,2,2.5208182334899902,3.269833564758301,0.8563360571861267
_3_12M,5,2.607250690460205,3.4212753772735596,0.8386549949645996
_0_12M,9,2.5693628787994385,3.336862802505493,0.8469502329826355
_0_12M,7,2.5727856159210205,3.3900649547576904,0.8414354920387268
_0_12M,6,2.687652111053467,3.363060474395752,0.8486725091934204
_0_12M,1,2.6549673080444336,3.3457295894622803,0.8494524955749512
_0_12M,10,2.7223668098449707,3.3714542388916016,0.8491831421852112
_0_12M,8,2.563840627670288,3.360736131668091,0.8461591601371765
_0_12M,4,2.629009485244751,3.4617040157318115,0.8329710960388184
_0_12M,3,2.767260789871216,3.402937650680542,0.847381055355072
_0_12M,2,2.5623936653137207,3.3329100608825684,0.8480618596076965
_0_12M,5,2.5929512977600098,3.3801984786987305,0.84190833568573
