dataset,fold,mae,rmse,r2
Combined_12M,9,2.572450876235962,3.232996702194214,0.8780124187469482
Combined_12M,7,2.417701482772827,3.220879077911377,0.877145528793335
Combined_12M,6,2.7696800231933594,3.391136646270752,0.8665192723274231
Combined_12M,1,2.555250406265259,3.2212202548980713,0.8790748119354248
Combined_12M,10,2.492851734161377,3.3541972637176514,0.8665634989738464
Combined_12M,8,2.4723901748657227,3.3050537109375,0.870221734046936
Combined_12M,4,2.461066722869873,3.3011066913604736,0.8707370162010193
Combined_12M,3,2.4849276542663574,3.167093276977539,0.8823633193969727
Combined_12M,2,2.5302963256835938,3.2079434394836426,0.8801311254501343
Combined_12M,5,2.437192440032959,3.1561996936798096,0.8833391070365906
Combined_3M,9,2.617447853088379,3.45487380027771,0.8152428865432739
Combined_3M,7,2.60119366645813,3.4664814472198486,0.8133985996246338
Combined_3M,6,2.62015962600708,3.4693374633789062,0.8144518136978149
Combined_3M,1,2.596132516860962,3.479273796081543,0.8127850890159607
Combined_3M,10,2.6500282287597656,3.468008279800415,0.815542459487915
Combined_3M,8,2.7695443630218506,3.530980348587036,0.8098430037498474
Combined_3M,4,2.632563352584839,3.58286452293396,0.7996801137924194
Combined_3M,3,2.742290735244751,3.5104916095733643,0.8119444251060486
Combined_3M,2,2.6071269512176514,3.527207136154175,0.805616557598114
Combined_3M,5,2.601613759994507,3.4787793159484863,0.8117406964302063
Combined_9M,9,2.589542865753174,3.418577194213867,0.8725056052207947
Combined_9M,7,2.6036150455474854,3.5363173484802246,0.8630892038345337
Combined_9M,6,2.575343370437622,3.4665396213531494,0.868706226348877
Combined_9M,1,2.572746753692627,3.461638927459717,0.8688809871673584
Combined_9M,10,2.5877246856689453,3.44332218170166,0.8704628944396973
Combined_9M,8,2.6034955978393555,3.4306130409240723,0.8716415762901306
Combined_9M,4,2.6125760078430176,3.5753142833709717,0.8602691888809204
Combined_9M,3,2.580843925476074,3.4853596687316895,0.8673486113548279
Combined_9M,2,2.582270860671997,3.45807147026062,0.8694888949394226
Combined_9M,5,2.592672109603882,3.459620475769043,0.8695683479309082
Combined_6M,9,2.496196985244751,3.3347158432006836,0.8773801922798157
Combined_6M,7,2.5171141624450684,3.3630967140197754,0.8752564191818237
Combined_6M,6,2.4866318702697754,3.3735928535461426,0.8743191957473755
Combined_6M,1,2.5447237491607666,3.360970973968506,0.8754158020019531
Combined_6M,10,2.4778590202331543,3.410240411758423,0.8718586564064026
Combined_6M,8,2.4887290000915527,3.4797425270080566,0.8665006160736084
Combined_6M,4,2.5431227684020996,3.3623368740081787,0.8755548000335693
Combined_6M,3,2.4744338989257812,3.4370474815368652,0.8697084784507751
Combined_6M,2,2.507847309112549,3.4302008152008057,0.8705196380615234
Combined_6M,5,2.5234858989715576,3.3535022735595703,0.8760749697685242
