dataset,fold,mae,rmse,r2
_15_27M,9,3.110687255859375,4.460807800292969,0.741653323173523
_15_27M,7,3.4925637245178223,4.475108623504639,0.7399941682815552
_15_27M,6,2.990272045135498,4.483531951904297,0.7390145063400269
_15_27M,1,3.1296324729919434,4.694420337677002,0.7138855457305908
_15_27M,10,2.9378933906555176,4.550699234008789,0.7311363220214844
_15_27M,8,4.397362232208252,5.182021141052246,0.651362419128418
_15_27M,4,6.281745433807373,7.25193977355957,0.31721460819244385
_15_27M,3,3.285273551940918,4.36205530166626,0.7529652118682861
_15_27M,2,3.6995835304260254,4.6402153968811035,0.7204548120498657
_15_27M,5,3.322024345397949,4.921133995056152,0.6855828166007996
_15_24M,9,3.5559585094451904,5.4353508949279785,0.49548810720443726
_15_24M,7,3.6373345851898193,5.5297722816467285,0.4732855260372162
_15_24M,6,3.6170709133148193,5.773895263671875,0.4293787479400635
_15_24M,1,3.679237127304077,5.618042945861816,0.48077675700187683
_15_24M,10,3.5299930572509766,5.431868076324463,0.4932749271392822
_15_24M,8,3.6741249561309814,5.746644496917725,0.45453256368637085
_15_24M,4,4.35432243347168,6.371931076049805,0.3910429775714874
_15_24M,3,3.8531675338745117,5.942025661468506,0.42040950059890747
_15_24M,2,3.8126773834228516,5.721333980560303,0.4604508876800537
_15_24M,5,3.6461517810821533,5.6766791343688965,0.46041950583457947
_9_18M,9,3.47145938873291,4.208786487579346,0.8171443939208984
_9_18M,7,3.888490676879883,4.923794269561768,0.7476323843002319
_9_18M,6,3.2054460048675537,3.96028470993042,0.8389958143234253
_9_18M,1,3.11523699760437,3.813384771347046,0.8496626615524292
_9_18M,10,3.068495988845825,3.6760969161987305,0.8625079989433289
_9_18M,8,3.20517897605896,3.8424952030181885,0.8495330214500427
_9_18M,4,4.27316951751709,5.196134567260742,0.7216063737869263
_9_18M,3,3.3143258094787598,4.051442623138428,0.8322708010673523
_9_18M,2,3.6021928787231445,4.587051868438721,0.7829099297523499
_9_18M,5,3.1278977394104004,3.6585114002227783,0.8639168739318848
_18_21M,9,2.2188477516174316,2.9408538341522217,0.8704020380973816
_18_21M,7,2.2636327743530273,2.8390562534332275,0.8849090933799744
_18_21M,6,2.22312068939209,2.79830002784729,0.8891831636428833
_18_21M,1,2.272090435028076,2.9520339965820312,0.8722817897796631
_18_21M,10,2.180757761001587,2.799882173538208,0.8861216902732849
_18_21M,8,2.23201060295105,2.942514657974243,0.8754681944847107
_18_21M,4,2.258429527282715,2.90360689163208,0.879384458065033
_18_21M,3,2.133648633956909,2.810210704803467,0.8826107978820801
_18_21M,2,2.2334158420562744,2.831822395324707,0.8859809041023254
_18_21M,5,2.18713641166687,2.928302764892578,0.8745118379592896
_21_30M,9,1.9358453750610352,2.9005916118621826,0.9151616096496582
_21_30M,7,1.9046190977096558,2.779144525527954,0.9221172332763672
_21_30M,6,2.014655351638794,2.925689458847046,0.9136871099472046
_21_30M,1,2.071221113204956,2.989924907684326,0.9098553657531738
_21_30M,10,1.9886728525161743,2.8724915981292725,0.916797399520874
_21_30M,8,1.9364022016525269,2.8405771255493164,0.9186359643936157
_21_30M,4,1.9631823301315308,2.816444158554077,0.9200125932693481
_21_30M,3,2.0182039737701416,2.8333842754364014,0.919047474861145
_21_30M,2,1.9212324619293213,2.853933334350586,0.9178690910339355
_21_30M,5,2.2100143432617188,3.094299077987671,0.9034518599510193
_9_15M,9,2.48494291305542,3.446312665939331,0.8089374303817749
