dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.527407646179199,2.473658056330581,2.5811572360278174,0.08671996286811175,3.574556660652161,3.435763903158927,3.7133494181453948,0.22392920225205182,0.7471082031726837,0.7249144041185398,0.7693020022268275,0.03580763007305377
_12_18M,3.0095385789871214,2.91531096693662,3.103766191037623,0.15202748599913987,4.386821365356445,4.321404807652917,4.452237923059973,0.10554353011784759,0.7260164380073547,0.7192091939484709,0.7328236820662385,0.010982855007511227
_12_21M,2.8308252334594726,2.757811073092297,2.9038393938266482,0.11780155520666871,3.4557551622390745,3.3609977721665807,3.5505125523115684,0.15288223355209588,0.8548044264316559,0.8470885918874318,0.86252026097588,0.012448781228956868
_15_18M,2.1566967725753785,2.0570082182339027,2.2563853269168543,0.16083820835129115,2.911570692062378,2.846446311082283,2.976695073042473,0.10507213015594301,0.8262413561344146,0.8176006517847593,0.83488206048407,0.013940972618895308
_15_21M,2.685048747062683,2.585972734406235,2.784124759719131,0.1598499293275743,3.4236487627029417,3.3095698755295313,3.537727649876352,0.18405567163537975,0.8729898512363434,0.863765267169989,0.8822144353026978,0.014883008223151972
_15_24M,3.7360038280487062,3.5876257549282697,3.8843819011691427,0.23939421728958538,5.724754381179809,5.553112444993916,5.896396317365703,0.2769282960962745,0.45590595006942747,0.43514515413649724,0.4766667460023577,0.03349561285001013
_15_27M,3.6647037982940676,3.0362022987694095,4.293205297818726,1.0140286996577312,4.902193355560303,4.368232938328262,5.436153772792343,0.861495458585239,0.6793263733386994,0.598232258283315,0.7604204883940837,0.13083781041365625
_18_21M,2.220309042930603,2.1937665459459903,2.2468515399152156,0.042823849622208005,2.8746583700180053,2.8347210220458763,2.9145957179901343,0.06443519556052765,0.8800853967666626,0.8759993357376091,0.8841714577957162,0.006592479341969635
_18_24M,2.4316136598587037,2.382014925820974,2.4812123938964334,0.08002294317354394,3.1649354696273804,3.1020781539098334,3.2277927853449273,0.10141443126109681,0.8209219753742218,0.8141086545568147,0.827735296191629,0.010992659292064761
_18_27M,2.2546976089477537,2.1532467699163833,2.356148447979124,0.163681490752164,3.0500287771224976,2.9161015535049053,3.18395600074009,0.21607911598688148,0.801358288526535,0.7835296417228054,0.8191869353302647,0.028764863009421767
_18_30M,2.056748354434967,1.7500453022205575,2.3634514066493764,0.4948368420015731,2.7065048456192016,2.2824944233431124,3.1305152678952908,0.6841013704297135,0.8900500476360321,0.8595776882681205,0.9205224070039437,0.049164316980494685
_21_24M,2.4905866622924804,2.296768152461314,2.684405172123647,0.3127081345746039,3.3113147497177122,3.1028545681978654,3.519774931237559,0.33633110972186586,0.7443941056728363,0.7108987911276434,0.7778894202180291,0.054041573931926615
_21_27M,2.356695556640625,2.1436386623401837,2.569752450941066,0.3437474781587452,2.9068397521972655,2.6936921147182935,3.1199873896762376,0.3438938838354189,0.8846444904804229,0.8670624024419573,0.9022265785188885,0.028367063379159868
_21_30M,1.9964049100875854,1.9399977691217898,2.052812051053381,0.09100767436229792,2.8906480073928833,2.8329251557562944,2.948370859029472,0.09313045112836696,0.9156635701656342,0.9122435772575858,0.9190835630736826,0.005517840393395841
_24_27M,2.3552079677581785,2.079977364444646,2.630438571071711,0.44405897359849417,3.0737402200698853,2.8208092359766432,3.3266712041631274,0.40808061253186917,0.8346971929073334,0.8075923203838586,0.8618020654308081,0.043731190236069244
_24_30M,1.9075182676315308,1.8456198004210562,1.9694167348420053,0.09986741839711671,2.53191454410553,2.463055720263314,2.600773367947746,0.11109730629679006,0.9085556745529175,0.903433390344088,0.9136779587617471,0.008264329042150407
_27_30M,2.0881204485893248,1.8335181160813299,2.3427227810973195,0.41077717771265015,2.593884325027466,2.326412212161096,2.8613564378938356,0.43154137103844714,0.8920966565608979,0.8687545676571716,0.9154387454646241,0.0376602889193458
_9_15M,2.7990307331085207,2.5587535717715553,3.039307894445486,0.3876648467064077,3.8698763608932496,3.5959559329937023,4.143796788792797,0.4419451274543379,0.7512994170188904,0.7135368628241413,0.7890619712136394,0.06092636812293512
_9_18M,3.4271893978118895,3.183800589755675,3.670578205868104,0.3926851992097836,4.191798281669617,3.8593116934388423,4.5242848699003915,0.5364361787080515,0.816618025302887,0.7858440584945996,0.8473919921111743,0.04965093252684207
