dataset,fold,mae,rmse,r2
_0_9M,9,1.955977439880371,2.6366710662841797,0.8863004446029663
_0_9M,7,1.9614713191986084,2.5669939517974854,0.8941836357116699
_0_9M,6,1.8997771739959717,2.5320212841033936,0.8952428698539734
_0_9M,1,1.9676979780197144,2.5254411697387695,0.8953723311424255
_0_9M,10,2.0322694778442383,2.529453992843628,0.8936462998390198
_0_9M,8,1.9172810316085815,2.4784884452819824,0.900551438331604
_0_9M,4,2.0960817337036133,2.568286657333374,0.8914480209350586
_0_9M,3,1.9044116735458374,2.5033414363861084,0.8995996713638306
_0_9M,2,2.139268636703491,2.6409058570861816,0.8852910399436951
_0_9M,5,1.899435043334961,2.504058361053467,0.8997928500175476
_0_3M,9,2.6215829849243164,3.496108293533325,0.733573853969574
_0_3M,7,2.358447313308716,3.312157392501831,0.7578427195549011
_0_3M,6,2.575629711151123,3.2234957218170166,0.7629581689834595
_0_3M,1,2.249300241470337,2.989194631576538,0.8008406162261963
_0_3M,10,2.461622476577759,3.118581533432007,0.7789464592933655
_0_3M,8,2.1958374977111816,3.009265661239624,0.7937973141670227
_0_3M,4,2.2207162380218506,2.979994773864746,0.8005833029747009
_0_3M,3,2.1913347244262695,2.968620777130127,0.8024699687957764
_0_3M,2,2.201165199279785,3.003614902496338,0.796517014503479
_0_3M,5,2.1846816539764404,3.045489549636841,0.7915453314781189
_9_12M,9,2.6356427669525146,3.7358310222625732,0.8328755497932434
_9_12M,7,2.496809720993042,3.4563465118408203,0.8581649661064148
_9_12M,6,2.503170967102051,3.3951427936553955,0.8628444671630859
_9_12M,1,2.974069595336914,3.620648145675659,0.8443630337715149
_9_12M,10,2.589566946029663,3.457500457763672,0.8579627871513367
_9_12M,8,2.5990965366363525,3.698232650756836,0.8355568051338196
_9_12M,4,2.865924119949341,3.665292739868164,0.8407173156738281
_9_12M,3,2.5476739406585693,3.5153439044952393,0.853413999080658
_9_12M,2,2.7780771255493164,3.523498296737671,0.8527013659477234
_9_12M,5,2.660025119781494,3.6325483322143555,0.8432285785675049
_3_6M,9,3.0318286418914795,3.9903512001037598,0.644182562828064
_3_6M,7,2.40112566947937,3.4517455101013184,0.7254175543785095
_3_6M,6,2.4077656269073486,3.444080352783203,0.7247058749198914
_3_6M,1,2.545393943786621,3.49403977394104,0.7234909534454346
_3_6M,10,2.460404634475708,3.471184492111206,0.7163446545600891
_3_6M,8,2.3920130729675293,3.4051194190979004,0.731265664100647
_3_6M,4,2.503706216812134,3.484461784362793,0.717553436756134
_3_6M,3,2.710052013397217,3.624455213546753,0.7031640410423279
_3_6M,2,2.4646236896514893,3.451327085494995,0.7193820476531982
_3_6M,5,2.7145371437072754,3.6042912006378174,0.7014135718345642
_0_6M,9,2.5420711040496826,3.60152530670166,0.689884603023529
_0_6M,7,2.41961669921875,3.528113842010498,0.7014623880386353
_0_6M,6,2.50950288772583,3.6382193565368652,0.6946181654930115
_0_6M,1,2.6057589054107666,3.6084983348846436,0.7011109590530396
_0_6M,10,2.7681853771209717,3.831940174102783,0.6712364554405212
_0_6M,8,2.7058231830596924,3.7363998889923096,0.6856587529182434
_0_6M,4,2.4750185012817383,3.553514003753662,0.7023500800132751
_0_6M,3,2.5952658653259277,3.7160260677337646,0.6790851354598999
_0_6M,2,2.584129571914673,3.623011827468872,0.6965652108192444
_0_6M,5,2.5771987438201904,3.723055601119995,0.6821774244308472
_3_9M,9,1.9824719429016113,2.6119656562805176,0.8909605145454407
_3_9M,7,2.175201416015625,2.6742281913757324,0.8775917291641235
_3_9M,6,2.0514814853668213,2.607102155685425,0.8856151700019836
_3_9M,1,1.8475929498672485,2.4454762935638428,0.9030314087867737
_3_9M,10,1.912946105003357,2.510505199432373,0.8986045718193054
_3_9M,8,1.8373063802719116,2.3983254432678223,0.9054481387138367
_3_9M,4,1.9173794984817505,2.4139997959136963,0.9029607772827148
_3_9M,3,1.9597755670547485,2.4988837242126465,0.8951043486595154
_3_9M,2,1.8851903676986694,2.44871187210083,0.9010756611824036
_3_9M,5,1.9195082187652588,2.445242404937744,0.9016301035881042
_6_12M,9,2.509828805923462,3.1786742210388184,0.8810932636260986
_6_12M,7,2.7539827823638916,3.452686071395874,0.8615047931671143
_6_12M,6,2.510007381439209,3.2285242080688477,0.8763464689254761
_6_12M,1,2.4915614128112793,3.23129940032959,0.8773875832557678
_6_12M,10,2.8425471782684326,3.6176629066467285,0.8432228565216064
_6_12M,8,2.6051342487335205,3.27838134765625,0.8744602203369141
_6_12M,4,2.4989676475524902,3.211508274078369,0.8786718845367432
_6_12M,3,2.806694507598877,3.6194214820861816,0.8434772491455078
_6_12M,2,2.4781346321105957,3.2379651069641113,0.8757532835006714
_6_12M,5,2.536531448364258,3.2542524337768555,0.876503050327301
_6_9M,9,1.9455318450927734,2.617826461791992,0.8985263109207153
_6_9M,7,2.196566343307495,2.823125123977661,0.8820109367370605
_6_9M,6,1.8814622163772583,2.526906728744507,0.9056607484817505
_6_9M,1,2.0060012340545654,2.6421895027160645,0.8958974480628967
_6_9M,10,1.956102967262268,2.6352646350860596,0.8966260552406311
_6_9M,8,1.9038469791412354,2.5031325817108154,0.9060988426208496
_6_9M,4,1.9841355085372925,2.610635280609131,0.8983379602432251
_6_9M,3,1.927216649055481,2.595590591430664,0.9010853171348572
_6_9M,2,1.9682294130325317,2.589616537094116,0.8980007171630859
_6_9M,5,2.008430242538452,2.655226945877075,0.8933948874473572
_3_12M,9,2.6302599906921387,3.0039899349212646,0.876480758190155
_3_12M,7,1.9910171031951904,2.4959983825683594,0.9155694842338562
_3_12M,6,2.0294721126556396,2.444582939147949,0.9201860427856445
_3_12M,1,1.9972623586654663,2.4484119415283203,0.9197791218757629
_3_12M,10,2.0365259647369385,2.4411673545837402,0.9186919331550598
_3_12M,8,2.1485185623168945,2.56687331199646,0.909163236618042
_3_12M,4,1.9227653741836548,2.4209935665130615,0.9199736714363098
_3_12M,3,2.056826591491699,2.637451410293579,0.9047837853431702
_3_12M,2,2.160480499267578,2.57796573638916,0.9099748730659485
_3_12M,5,2.2142701148986816,2.58687424659729,0.9071326851844788
_0_12M,9,2.3450334072113037,2.672013998031616,0.9016644358634949
_0_12M,7,2.3082690238952637,2.730740785598755,0.8924349546432495
_0_12M,6,2.034733295440674,2.433356285095215,0.9200035333633423
_0_12M,1,2.2715442180633545,2.5867865085601807,0.9071303009986877
_0_12M,10,2.0858142375946045,2.687952756881714,0.9029231071472168
_0_12M,8,2.2960610389709473,2.6359739303588867,0.9038425087928772
_0_12M,4,2.21625018119812,2.535801410675049,0.9095503687858582
_0_12M,3,3.6357195377349854,4.145224094390869,0.7574558854103088
_0_12M,2,1.992684245109558,2.5322012901306152,0.9118601083755493
_0_12M,5,2.0204551219940186,2.515526533126831,0.9142711162567139
