dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.320656430721283,2.022787602636477,2.6185252588060894,0.4805836432209787,2.747557759284973,2.4379927222681808,3.0571227963017655,0.49945438822826504,0.8921136319637298,0.8624126751764619,0.9218145887509978,0.047919730680614156
_0_3M,2.326031804084778,2.2213495948827817,2.430714013286774,0.16889500590640075,3.114652323722839,3.005368602473156,3.2239360449725223,0.17631911751425572,0.7819074749946594,0.7675032055803608,0.796311744408958,0.023239948663205747
_0_6M,2.5782570838928223,2.5144813548138343,2.6420328129718103,0.10289620577930324,3.6560304403305053,3.5979589996165147,3.714101881044496,0.09369286717532928,0.6904149174690246,0.6838122756865312,0.697017559251518,0.010652748268812778
_0_9M,1.9773671507835389,1.9246331290199148,2.030101172547163,0.08508143824180704,2.548566222190857,2.5145373665848694,2.5825950777968445,0.054902392797913285,0.8941428601741791,0.890857566088956,0.8974281542594021,0.005300516373869429
_3_12M,2.118739867210388,1.994530062600383,2.242949671820393,0.20040096443474398,2.5624308824539184,2.455580994630165,2.6692807702776715,0.17239235370232223,0.9101735591888428,0.9020008861332143,0.9183462322444713,0.013185847667180646
_3_6M,2.563145065307617,2.4378216888745,2.688468441740734,0.20219760897516265,3.5421056032180784,3.435346976272784,3.648864230163373,0.17224511276497673,0.710692036151886,0.6950650281662129,0.7263190441375592,0.025212723596105675
_3_9M,1.9488853931427002,1.8859120859480218,2.0118587003373785,0.10160157271869984,2.505444073677063,2.4468209866522432,2.5640671607018826,0.0945828971779053,0.8962022423744201,0.8906435183265901,0.9017609664222502,0.00896848412014997
_6_12M,2.6033390045166014,2.515138345032973,2.6915396640002296,0.14230355872305922,3.3310375452041625,3.2266252762310508,3.4354498141772742,0.1684594824597772,0.8688420653343201,0.8599135254428247,0.8777706052258154,0.014405368488162117
_6_9M,1.9777523398399353,1.9236617708655261,2.0318429088143444,0.08727010096610757,2.6199514389038088,2.5664092435095274,2.67349363429809,0.08638535121005461,0.897563922405243,0.8933528216725395,0.9017750231379464,0.006794219271299453
_9_12M,2.665005683898926,2.5663884913950126,2.763622876402839,0.15910966569573975,3.5700384855270384,3.498231307858075,3.6418456631960017,0.11585420090933901,0.848182886838913,0.8418262684618562,0.8545395052159698,0.01025581239182782
