dataset,fold,mae,rmse,r2
Combined_12M,9,12.623058319091797,15.658994674682617,-3.247415065765381
Combined_12M,7,11.517860412597656,13.452730178833008,-2.0013370513916016
Combined_12M,6,9.026946067810059,12.319047927856445,-1.8842954635620117
Combined_12M,1,9.14223861694336,12.034024238586426,-1.5609291791915894
Combined_12M,10,8.338130950927734,10.179293632507324,-0.7330852150917053
Combined_12M,8,8.172563552856445,9.776213645935059,-0.5886659026145935
Combined_12M,4,9.69970989227295,11.413311004638672,-1.1919524669647217
Combined_12M,3,11.653688430786133,13.535855293273926,-2.079732656478882
Combined_12M,2,9.809593200683594,11.16257095336914,-1.0040339231491089
Combined_12M,5,7.962481498718262,10.763514518737793,-1.0487138032913208
Combined_3M,9,2.1718380451202393,2.915311574935913,0.8415361046791077
Combined_3M,7,3.2096197605133057,3.79943585395813,0.7234598994255066
Combined_3M,6,2.277064561843872,3.0750892162323,0.8265716433525085
Combined_3M,1,2.968515634536743,3.5852713584899902,0.7569785714149475
Combined_3M,10,2.970667839050293,4.159920692443848,0.6487746834754944
Combined_3M,8,3.767216682434082,4.543868064880371,0.6071764826774597
Combined_3M,4,5.169559955596924,6.001436233520508,0.3058193624019623
Combined_3M,3,2.827462911605835,3.6936261653900146,0.7500274777412415
Combined_3M,2,5.062506198883057,7.0304460525512695,-0.04982251673936844
Combined_3M,5,2.242840051651001,3.0642027854919434,0.8246797323226929
Combined_9M,9,6.084278106689453,7.6073150634765625,0.03537137433886528
Combined_9M,7,8.450206756591797,10.12739086151123,-0.72258061170578
Combined_9M,6,7.99428129196167,9.357111930847168,-0.4338665008544922
Combined_9M,1,8.686710357666016,10.952349662780762,-1.0387721061706543
Combined_9M,10,5.049182891845703,5.918524742126465,0.427954763174057
Combined_9M,8,8.570903778076172,12.23652458190918,-1.7515592575073242
Combined_9M,4,6.231645584106445,7.7618088722229,0.01784806326031685
Combined_9M,3,5.7711944580078125,7.495898723602295,0.07222748547792435
Combined_9M,2,4.4888458251953125,5.923099517822266,0.42267200350761414
Combined_9M,5,6.6849870681762695,8.263188362121582,-0.12418488413095474
Combined_6M,9,2.8788976669311523,3.6121745109558105,0.8135890960693359
Combined_6M,7,3.5843255519866943,4.559157848358154,0.6951519846916199
Combined_6M,6,3.0927984714508057,4.250089168548584,0.7340638637542725
Combined_6M,1,3.5847277641296387,4.482432842254639,0.7293582558631897
Combined_6M,10,4.305567264556885,5.0285749435424805,0.6648373007774353
Combined_6M,8,4.029048919677734,4.641144752502441,0.7164261341094971
Combined_6M,4,3.9144978523254395,5.201099872589111,0.6093119382858276
Combined_6M,3,3.371821165084839,4.381038665771484,0.7290579080581665
Combined_6M,2,6.477987766265869,7.381812572479248,0.25207287073135376
Combined_6M,5,3.9760468006134033,4.898258686065674,0.6673368811607361
