dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
T1-T2-T3-T4_T5,trial_91,3.0,512.0,8.604146468199587e-05,0.0,16,ReLU,Adam,2.885294198989868,3.6723790168762207,0.8073338270187378
T1-T2-T3_T4,trial_84,3.0,128.0,0.0003979998994464,0.0,16,ReLU,Adam,2.867647171020508,3.8437340259552,0.7861223816871643
T1-T2_T3,trial_71,3.0,256.0,0.0008480048613421,0.0,64,ReLU,Adam,2.808219194412231,3.8058559894561768,0.7826345562934875
T1_T2,trial_31,3.0,128.0,0.0003619349082233,0.0,16,ReLU,Adam,2.6693122386932373,3.5430335998535156,0.7295098900794983
T2-T3-T4_T5,trial_92,3.0,512.0,0.0001324190851306,1.0,16,ReLU,Adam,2.8529412746429443,3.5595462322235107,0.826215922832489
T2-T3_T4,trial_48,3.0,128.0,0.0004550189466378,0.0,32,ReLU,Adam,2.693277359008789,3.617248058319092,0.8356587290763855
T2_T3,trial_61,3.0,256.0,0.000555121991685,1.0,16,ReLU,Adam,2.6678082942962646,3.6069753170013423,0.7716524600982666
T3-T4_T5,trial_1,3.0,256.0,8.052649145968926e-05,0.0,128,ReLU,Adam,2.991279125213623,4.136256217956543,0.8236556053161621
T3_T4,trial_17,3.0,64.0,0.0009204827824718,0.0,32,ReLU,Adam,2.7074689865112305,3.649247169494629,0.8249508738517761
T4_T5,trial_31,3.0,256.0,0.0003085230299894,0.0,16,ReLU,Adam,2.7507164478302,3.62116813659668,0.8298386335372925
