dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
T2-T3_T4,trial_54,3.0,128.0,0.0004726627252487809,0.0,32,ReLU,Adam,2.857142925262451,3.8264577388763428,0.8168630003929138
T2-T3_T4,trial_53,3.0,128.0,0.00043746054545995095,0.0,32,ReLU,Adam,2.8256301879882812,3.8026223182678223,0.8204706907272339
T2-T3_T4,trial_65,3.0,128.0,0.00041636771522518675,0.0,16,ReLU,Adam,3.052520990371704,3.949449300765991,0.7778183817863464
T2-T3_T4,trial_31,2.0,512.0,0.00023574013790398065,0.0,128,ReLU,Adam,2.829831838607788,3.802577495574951,0.8293269276618958
T2-T3_T4,trial_38,3.0,256.0,0.0009669644847804444,1.0,32,ReLU,Adam,2.8214285373687744,3.7728395462036133,0.8215459585189819
T2-T3_T4,trial_64,3.0,128.0,0.00041144474717390826,0.0,16,ReLU,Adam,2.9390757083892822,3.8505613803863525,0.7893365621566772
T2-T3_T4,trial_83,3.0,128.0,0.00037780168891402504,0.0,16,ReLU,Adam,2.836134433746338,3.7228026390075684,0.8005864024162292
T2-T3_T4,trial_5,2.0,64.0,0.0006281085917900457,0.0,64,ReLU,Adam,2.867647171020508,3.875473737716675,0.8207091689109802
T2-T3_T4,trial_48,3.0,128.0,0.00045501894663787037,0.0,32,ReLU,Adam,2.693277359008789,3.617248058319092,0.8356587290763855
T2-T3_T4,trial_84,3.0,128.0,0.00061026702672106,0.0,16,ReLU,Adam,2.8214285373687744,3.7185471057891846,0.8027893900871277
T2-T3_T4,trial_2,3.0,64.0,0.0005281850217722801,1.0,64,ReLU,Adam,2.8487393856048584,3.8419086933135986,0.8226173520088196
T2-T3_T4,trial_40,1.0,512.0,0.00026355792006322313,0.0,16,ReLU,Adam,3.1785714626312256,4.072185039520264,0.7603719830513
T2-T3_T4,trial_71,3.0,128.0,0.00039378527247412227,0.0,16,ReLU,Adam,2.836134433746338,3.7442314624786377,0.8028725981712341
T2-T3_T4,trial_3,1.0,128.0,0.0002847768586190264,1.0,32,ReLU,Adam,3.22478985786438,4.286605358123779,0.769965410232544
T2-T3_T4,trial_82,3.0,128.0,0.000541049930879842,0.0,16,ReLU,Adam,2.863445281982422,3.7669625282287598,0.7980663776397705
T2-T3_T4,trial_4,3.0,256.0,6.462514613047442e-05,1.0,128,ReLU,Adam,2.777310848236084,3.824553966522217,0.8281347155570984
T2-T3_T4,trial_49,3.0,128.0,0.0006822596059350894,0.0,32,ReLU,Adam,2.831932783126831,3.7694451808929443,0.8226261734962463
T2-T3_T4,trial_32,2.0,512.0,0.000545830368435952,0.0,128,ReLU,Adam,2.920168161392212,3.9705986976623535,0.8145641088485718
T2-T3_T4,trial_35,2.0,512.0,0.0008168654198880695,0.0,128,ReLU,Adam,2.9537816047668457,3.948423385620117,0.8166961669921875
T2-T3_T4,trial_68,3.0,128.0,0.0005905618294657591,0.0,16,ReLU,Adam,2.9264705181121826,3.816985607147217,0.7932711839675903
T2-T3_T4,trial_57,3.0,128.0,0.0004193525013069122,0.0,32,ReLU,Adam,2.8487393856048584,3.8153791427612305,0.8181172013282776
T2-T3_T4,trial_95,3.0,128.0,0.000644178252047474,0.0,16,ReLU,Adam,2.861344575881958,3.743842124938965,0.8029428124427795
T2-T3_T4,trial_66,3.0,128.0,0.0007541413269187544,0.0,16,ReLU,Adam,2.9852941036224365,3.9286656379699707,0.7811681628227234
T2-T3_T4,trial_92,3.0,128.0,0.00042534230483671625,0.0,16,ReLU,Adam,2.9306721687316895,3.8873860836029053,0.7864111661911011
T2-T3_T4,trial_58,3.0,128.0,0.0006466630667247049,0.0,32,ReLU,Adam,2.7920167446136475,3.731370449066162,0.8258919715881348
T2-T3_T4,trial_93,3.0,128.0,0.00039836828333746164,0.0,16,ReLU,Adam,2.9096639156341553,3.872255802154541,0.7866696119308472
T2-T3_T4,trial_60,3.0,256.0,0.0005783449130296509,0.0,32,ReLU,Adam,2.855041980743408,3.858929395675659,0.812221884727478
T2-T3_T4,trial_1,1.0,128.0,9.082081285251136e-05,1.0,32,ReLU,Adam,3.25,4.332264423370361,0.7637790441513062
T2-T3_T4,trial_6,2.0,512.0,0.00021611275956904971,0.0,128,ReLU,Adam,2.947479009628296,3.884796380996704,0.8222011923789978
T2-T3_T4,trial_8,2.0,512.0,0.0009133425121984508,1.0,128,ReLU,Adam,3.0126049518585205,3.9908969402313232,0.8122116327285767
T2-T3_T4,trial_81,3.0,128.0,0.0003920877363475935,0.0,16,ReLU,Adam,2.8487393856048584,3.7934188842773438,0.7951700687408447
T2-T3_T4,trial_7,2.0,256.0,0.000581554095630001,1.0,32,ReLU,Adam,2.8781511783599854,3.798413038253784,0.8202458620071411
T2-T3_T4,trial_0,2.0,128.0,5.4865136482994507e-05,0.0,32,ReLU,Adam,3.054621934890747,4.062727451324463,0.7933764457702637
T3_T4,trial_64,3.0,128.0,0.0009964561453681142,0.0,32,ReLU,Adam,2.759335994720459,3.759772300720215,0.8152731657028198
T3_T4,trial_52,3.0,128.0,0.0008279284599661752,0.0,32,ReLU,Adam,2.748962640762329,3.629934310913086,0.8273385763168335
T3_T4,trial_55,3.0,128.0,0.0009665489151678967,0.0,32,ReLU,Adam,2.827800750732422,3.888983726501465,0.8008487224578857
T3_T4,trial_30,3.0,256.0,0.00038539773318315356,0.0,16,ReLU,Adam,3.0228216648101807,3.983358144760132,0.7726721167564392
T3_T4,trial_24,3.0,512.0,0.00032223569499598945,0.0,32,ReLU,Adam,2.8589210510253906,3.8881187438964844,0.8006349205970764
T3_T4,trial_23,3.0,128.0,0.0009977330406207483,0.0,32,ReLU,Adam,2.8340249061584473,3.8396944999694824,0.8075996041297913
T3_T4,trial_83,3.0,128.0,0.0009948268953739548,0.0,32,ReLU,Adam,2.7738590240478516,3.694279432296753,0.8213664889335632
T3_T4,trial_2,2.0,512.0,0.0009044436980464341,1.0,64,ReLU,Adam,3.018672227859497,3.965733051300049,0.8003167510032654
T3_T4,trial_22,3.0,128.0,0.0006576585501419678,0.0,32,ReLU,Adam,2.7240664958953857,3.7440030574798584,0.8178961873054504
T3_T4,trial_3,3.0,256.0,0.00048406500216267086,0.0,16,ReLU,Adam,2.8713693618774414,3.8018462657928467,0.7909336090087891
T3_T4,trial_4,3.0,64.0,0.0008070986611417083,0.0,64,ReLU,Adam,2.751037359237671,3.640117645263672,0.8332074880599976
T3_T4,trial_57,3.0,512.0,0.0005014883309008094,0.0,16,ReLU,Adam,2.892116069793701,3.7972211837768555,0.7936673760414124
T3_T4,trial_95,3.0,128.0,0.0009040540254205741,0.0,32,ReLU,Adam,2.91286301612854,3.8679897785186768,0.8064526915550232
T3_T4,trial_33,3.0,128.0,0.0007690584959717368,0.0,32,ReLU,Adam,2.846472978591919,3.8415160179138184,0.8066291213035583
T3_T4,trial_56,3.0,256.0,0.0007269353565621412,0.0,32,ReLU,Adam,2.798755168914795,3.804971933364868,0.8112971782684326
T3_T4,trial_51,3.0,128.0,0.0009414824761498372,0.0,32,ReLU,Adam,2.8008298873901367,3.7680180072784424,0.8162128329277039
T3_T4,trial_1,2.0,64.0,3.379590234051871e-05,1.0,128,ReLU,Adam,3.1576764583587646,4.222371578216553,0.7863126397132874
T3_T4,trial_42,3.0,128.0,0.0009814183376993504,0.0,32,ReLU,Adam,3.029045581817627,4.08035945892334,0.7791935801506042
T3_T4,trial_89,3.0,512.0,0.0007686521740103231,0.0,32,ReLU,Adam,2.9294605255126953,4.030767440795898,0.7866275906562805
T3_T4,trial_18,3.0,256.0,0.0009176884276153367,0.0,32,ReLU,Adam,2.7634854316711426,3.768144369125366,0.8143126368522644
T3_T4,trial_44,3.0,128.0,0.0007631101681580354,0.0,32,ReLU,Adam,2.9377593994140625,3.9934258460998535,0.7916565537452698
T3_T4,trial_0,1.0,32.0,3.0401149408462835e-05,1.0,32,ReLU,Adam,3.2717843055725098,4.420257091522217,0.7453351020812988
T3_T4,trial_19,3.0,128.0,0.0006085773164948641,0.0,32,ReLU,Adam,2.798755168914795,3.8648037910461426,0.804388165473938
T3_T4,trial_17,3.0,64.0,0.000920482782471859,0.0,32,ReLU,Adam,2.7074689865112305,3.649247169494629,0.8249508738517761
T2_T3,trial_53,3.0,256.0,0.0008856606109447682,1.0,16,ReLU,Adam,2.84246563911438,3.776421070098877,0.7577257752418518
T2_T3,trial_91,3.0,256.0,0.0005695041286927306,1.0,16,ReLU,Adam,2.866438388824463,3.853518486022949,0.7431506514549255
T2_T3,trial_62,3.0,256.0,0.0006605166742245833,1.0,16,ReLU,Adam,2.922945261001587,3.8389394283294678,0.7448768615722656
T2_T3,trial_31,1.0,256.0,0.0004709908247015146,0.0,16,ReLU,Adam,3.0256848335266113,4.0222272872924805,0.7122443318367004
T2_T3,trial_38,3.0,256.0,0.0007311007114366977,1.0,16,ReLU,Adam,2.8441781997680664,3.7584478855133057,0.7543649673461914
T2_T3,trial_64,3.0,256.0,0.0009844101703159155,1.0,16,ReLU,Adam,2.8013699054718018,3.7507495880126953,0.762308657169342
T2_T3,trial_52,3.0,256.0,0.0005576123705231024,1.0,16,ReLU,Adam,2.806506872177124,3.7492563724517822,0.7617042064666748
T2_T3,trial_2,3.0,64.0,0.0009205366323890261,1.0,16,ReLU,Adam,2.7910959720611572,3.7471418380737305,0.7583961486816406
T2_T3,trial_41,3.0,256.0,0.0005627741798466361,1.0,16,ReLU,Adam,2.8373286724090576,3.804088830947876,0.7526530027389526
T2_T3,trial_71,3.0,256.0,0.0005483475793731272,1.0,16,ReLU,Adam,2.8852739334106445,3.8579180240631104,0.7394157648086548
T2_T3,trial_3,2.0,512.0,0.00010257460361183368,1.0,32,ReLU,Adam,2.7568492889404297,3.7555646896362305,0.7800264954566956
T2_T3,trial_4,3.0,32.0,0.00013614996440880635,0.0,64,ReLU,Adam,2.672945261001587,3.7191972732543945,0.7943206429481506
T2_T3,trial_61,3.0,256.0,0.0005551219916850391,1.0,16,ReLU,Adam,2.6678082942962646,3.6069753170013428,0.7716524600982666
T2_T3,trial_33,1.0,256.0,0.00041187815910207013,0.0,16,ReLU,Adam,3.0256848335266113,4.012617111206055,0.7147958874702454
T2_T3,trial_51,3.0,256.0,0.0005879925103340031,1.0,16,ReLU,Adam,2.738013744354248,3.6840100288391113,0.765120267868042
T2_T3,trial_1,1.0,256.0,0.0004079966987815192,0.0,16,ReLU,Adam,2.910959005355835,3.863412857055664,0.7417633533477783
T2_T3,trial_42,3.0,256.0,0.0007582257683381565,1.0,16,ReLU,Adam,2.9178082942962646,3.8931641578674316,0.7416232228279114
T2_T3,trial_43,3.0,256.0,0.0005959747735080094,1.0,16,ReLU,Adam,2.7602739334106445,3.6868090629577637,0.7608970999717712
T2_T3,trial_72,3.0,256.0,0.0008044281491077494,1.0,16,ReLU,Adam,2.892123222351074,3.862700939178467,0.7476024627685547
T2_T3,trial_86,3.0,256.0,0.0007580240260082333,1.0,16,ReLU,Adam,2.8561644554138184,3.804776430130005,0.7516294717788696
T2_T3,trial_0,1.0,256.0,0.0008864211092646781,0.0,64,ReLU,Adam,3.056506872177124,4.057645797729492,0.7595517635345459
T1-T2-T3_T4,trial_53,2.0,128.0,0.0009717855511940264,1.0,16,ReLU,Adam,3.2373950481414795,4.230340003967285,0.7458987236022949
T1-T2-T3_T4,trial_65,2.0,256.0,0.000618810685595053,0.0,16,ReLU,Adam,3.247899055480957,4.285263538360596,0.7433856725692749
T1-T2-T3_T4,trial_62,3.0,128.0,0.0005200653502411847,0.0,16,ReLU,Adam,3.0462183952331543,4.034002304077148,0.7683213353157043
T1-T2-T3_T4,trial_36,3.0,256.0,0.0006219656311493184,0.0,16,ReLU,Adam,3.2016806602478027,4.158970355987549,0.7453343868255615
T1-T2-T3_T4,trial_31,2.0,128.0,0.0005145615173138677,1.0,16,ReLU,Adam,3.138655424118042,4.108068943023682,0.7590733170509338
T1-T2-T3_T4,trial_63,3.0,128.0,0.0004382599228973121,0.0,16,ReLU,Adam,3.0126049518585205,3.9521613121032715,0.780014157295227
T1-T2-T3_T4,trial_52,2.0,128.0,0.0007413892934319392,1.0,16,ReLU,Adam,3.138655424118042,4.026424407958984,0.7660745978355408
T1-T2-T3_T4,trial_24,2.0,256.0,0.0008831266720915546,1.0,128,ReLU,Adam,3.0504202842712402,4.13466739654541,0.7990279793739319
T1-T2-T3_T4,trial_83,3.0,128.0,0.0004811588275924848,0.0,16,ReLU,Adam,3.0189075469970703,4.01963472366333,0.7618834972381592
T1-T2-T3_T4,trial_84,3.0,128.0,0.0003979998994464011,0.0,16,ReLU,Adam,2.867647171020508,3.8437340259552,0.7861223816871643
T1-T2-T3_T4,trial_2,1.0,512.0,0.0004578255236075669,1.0,32,ReLU,Adam,3.1575629711151123,4.213818073272705,0.7794824242591858
T1-T2-T3_T4,trial_71,3.0,128.0,0.0004075900326635674,0.0,16,ReLU,Adam,2.947479009628296,3.895348072052002,0.7830371260643005
T1-T2-T3_T4,trial_3,3.0,128.0,2.6754812579113258e-05,0.0,32,ReLU,Adam,2.970588207244873,3.9097580909729004,0.8085722327232361
T1-T2-T3_T4,trial_4,3.0,256.0,4.065664618068469e-05,0.0,64,ReLU,Adam,2.8697478771209717,3.847567558288574,0.8241588473320007
T1-T2-T3_T4,trial_68,3.0,256.0,0.0007174884942034165,0.0,16,ReLU,Adam,3.02521014213562,3.9056894779205322,0.7834309339523315
T1-T2-T3_T4,trial_57,3.0,128.0,0.0004115744662483809,0.0,16,ReLU,Adam,2.9285714626312256,3.7800052165985107,0.7991123199462891
T1-T2-T3_T4,trial_95,3.0,128.0,0.0005184469305695018,0.0,16,ReLU,Adam,3.136554718017578,4.049114227294922,0.7680856585502625
T1-T2-T3_T4,trial_61,3.0,128.0,0.0003972070456470052,0.0,16,ReLU,Adam,2.9243698120117188,3.8349335193634033,0.7864300012588501
T1-T2-T3_T4,trial_94,3.0,128.0,0.0006723019918442206,0.0,16,ReLU,Adam,3.163865566253662,4.143542766571045,0.754218339920044
T1-T2-T3_T4,trial_51,2.0,128.0,0.0005648618960263909,1.0,16,ReLU,Adam,2.968487501144409,3.9308152198791504,0.7820528745651245
T1-T2-T3_T4,trial_1,2.0,128.0,0.00016499635955059507,1.0,16,ReLU,Adam,2.918067216873169,3.8648085594177246,0.787683367729187
