dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
combined_9M,trial_53,2.0,256.0,0.0001541072171573663,0.0,64,ReLU,Adam,2.7153375148773193,3.681898593902588,0.8487751483917236
combined_9M,trial_65,2.0,256.0,0.00017496998188930166,0.0,16,ReLU,Adam,2.893251419067383,3.721801519393921,0.824680507183075
combined_9M,trial_31,2.0,256.0,0.00013256310617266158,0.0,64,ReLU,Adam,2.853987693786621,3.7336673736572266,0.8441460728645325
combined_9M,trial_90,3.0,256.0,0.0002548444150230736,0.0,16,ReLU,Adam,2.8404908180236816,3.7197258472442627,0.8176678419113159
combined_9M,trial_52,2.0,256.0,0.00023053285269318525,0.0,64,ReLU,Adam,2.7349693775177,3.634140968322754,0.8506463170051575
combined_9M,trial_30,1.0,256.0,0.00043679296456089234,0.0,32,ReLU,Adam,3.050306797027588,3.9693994522094727,0.8145370483398438
combined_9M,trial_15,2.0,512.0,2.507795160610493e-05,0.0,16,ReLU,Adam,2.7496931552886963,3.6071372032165527,0.8352084755897522
combined_9M,trial_12,2.0,256.0,0.0002570233755909293,1.0,16,ReLU,Adam,2.7803680896759033,3.6175429821014404,0.833024799823761
combined_9M,trial_24,2.0,512.0,0.00024117787815380615,0.0,16,ReLU,Adam,2.895705461502075,3.779742956161499,0.8144364356994629
combined_9M,trial_2,3.0,32.0,1.1442517860901805e-05,0.0,16,ReLU,Adam,2.9717791080474854,3.901776075363159,0.8102222084999084
combined_9M,trial_22,2.0,256.0,0.00014831677922340442,0.0,64,ReLU,Adam,2.8834354877471924,3.850471019744873,0.8342682719230652
combined_9M,trial_13,2.0,256.0,0.000995907842585976,0.0,64,ReLU,Adam,2.988957166671753,3.9798996448516846,0.822149395942688
combined_9M,trial_3,2.0,64.0,3.736236129352344e-05,0.0,32,sigmoid,Adam,3.236809730529785,4.202476978302002,0.7996937036514282
