dataset,trial,mae,rmse,r2
ALSFRS_R_FIXED_9_15M,50,3.9878089427948,4.81217622756958,0.726007342338562
ALSFRS_R_FIXED_9_15M,32,4.030102729797363,4.906609535217285,0.7139751315116882
ALSFRS_R_FIXED_9_15M,35,4.066616535186768,4.93964958190918,0.711317777633667
ALSFRS_R_FIXED_9_15M,34,4.0038557052612305,4.877670764923096,0.7206341624259949
ALSFRS_R_FIXED_9_15M,33,3.938798666000366,4.787184715270996,0.7248738408088684
ALSFRS_R_FIXED_9_15M,20,3.9943532943725586,4.896693706512451,0.7131980061531067
ALSFRS_R_FIXED_9_15M,18,3.9082424640655518,4.777488708496094,0.7171997427940369
ALSFRS_R_FIXED_9_15M,27,3.9412343502044678,4.798995494842529,0.7209166288375854
ALSFRS_R_FIXED_9_15M,9,3.9881820678710938,4.953258037567139,0.7108808755874634
ALSFRS_R_FIXED_9_15M,11,4.173035144805908,5.088748455047607,0.6764289736747742
ALSFRS_R_FIXED_9_15M,7,3.9467716217041016,4.88479471206665,0.696842610836029
ALSFRS_R_FIXED_9_15M,29,3.9852662086486816,4.91795539855957,0.7147948145866394
ALSFRS_R_FIXED_9_15M,16,4.049148082733154,4.8741912841796875,0.7114882469177246
ALSFRS_R_FIXED_9_15M,42,4.048206329345703,4.882109642028809,0.7163813710212708
ALSFRS_R_FIXED_9_15M,45,3.9535861015319824,4.814863204956055,0.7218994498252869
ALSFRS_R_FIXED_9_15M,6,3.99436354637146,4.896574974060059,0.7085087299346924
ALSFRS_R_FIXED_9_15M,28,3.9080636501312256,4.8037428855896,0.7204520106315613
ALSFRS_R_FIXED_9_15M,17,4.021021366119385,4.911243438720703,0.7104055881500244
ALSFRS_R_FIXED_9_15M,1,3.926161050796509,4.805257320404053,0.7178187370300293
ALSFRS_R_FIXED_9_15M,10,3.829674482345581,4.7109198570251465,0.7313660383224487
ALSFRS_R_FIXED_9_15M,19,3.893601655960083,4.836636066436768,0.716757595539093
ALSFRS_R_FIXED_9_15M,26,3.99806809425354,4.8728718757629395,0.7174144387245178
ALSFRS_R_FIXED_9_15M,8,4.006487846374512,4.931308746337891,0.7106267809867859
ALSFRS_R_FIXED_9_15M,21,3.8702096939086914,4.77876091003418,0.7268615961074829
ALSFRS_R_FIXED_9_15M,44,3.969059944152832,4.835773944854736,0.718515157699585
ALSFRS_R_FIXED_9_15M,43,4.054577827453613,4.915721416473389,0.7143730521202087
ALSFRS_R_FIXED_9_15M,38,4.018310070037842,4.900670051574707,0.7170843482017517
ALSFRS_R_FIXED_9_15M,36,4.00877046585083,4.882541656494141,0.719936192035675
