dataset,mae_mean,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_min,r2_max,r2_ci_low,r2_ci_high
ALSFRS_R_FIXED_0_12M,2.7056840467453003,2.4007508754730225,3.348616600036621,2.6663847508653418,2.744983342625259,3.4646349000930785,3.049846649169922,4.236997604370117,3.4160040298863015,3.5132657702998555,0.8373009669780731,0.750365138053894,0.8718478083610535,0.8327298566704148,0.8418720772857314
ALSFRS_R_FIXED_0_15M,2.5337431907653807,2.152211427688598,2.7103915214538574,2.4953568763326324,2.572129505198129,3.171426410675049,2.753068208694458,3.4056012630462646,3.1249235286954122,3.2179292926546856,0.8463361549377442,0.8231841325759888,0.8822015523910522,0.8420798905725412,0.8505924193029472
ALSFRS_R_FIXED_0_18M,2.858395709991455,2.5558857917785645,3.1206607818603516,2.8048992540502082,2.911892165932702,3.751036081314087,3.3887431621551514,4.073869228363037,3.6877221172453725,3.8143500453828016,0.8302428352832795,0.803076446056366,0.860537052154541,0.8250270623011109,0.835458608265448
ALSFRS_R_FIXED_0_3M,2.4880698776245116,2.339679002761841,2.620164394378662,2.4653612855261486,2.5107784697228746,3.4376020669937133,3.2255959510803223,3.648836374282837,3.402810796289898,3.4723933376975284,0.753894898891449,0.7222822904586792,0.7825976014137268,0.7491042333953489,0.7586855643875491
ALSFRS_R_FIXED_0_6M,2.723981580734253,2.338533878326416,3.0740697383880615,2.6683928095754155,2.7795703518930903,3.6178916549682616,3.2128355503082275,3.9182889461517334,3.561389542357151,3.6743937675793723,0.7686371231079101,0.7214183211326599,0.8226020336151123,0.760501404164002,0.7767728420518182
ALSFRS_R_FIXED_0_9M,2.552992515563965,2.2041096687316895,2.863162040710449,2.499779308302684,2.606205722825246,3.437490224838257,3.0542192459106445,3.7917912006378174,3.37797272268921,3.4970077269873037,0.8243731069564819,0.787248969078064,0.8632616996765137,0.8183962632853092,0.8303499506276546
ALSFRS_R_FIXED_12_15M,2.3935491847991943,2.308931589126587,2.5418734550476074,2.377108825834683,2.4099895437637056,2.9102543354034425,2.760759115219116,3.1937272548675537,2.8785450971380677,2.9419635736688172,0.9132675659656525,0.8948264122009277,0.9225294589996338,0.9111027771559095,0.9154323547753955
ALSFRS_R_FIXED_12_18M,2.667091155052185,2.1616525650024414,3.035206079483032,2.6165994609805416,2.7175828491238283,3.3377497720718385,2.536773204803467,3.746779203414917,3.2720415738712707,3.4034579702724064,0.8785353779792786,0.8500192165374756,0.9242616295814514,0.8743020453264979,0.8827687106320593
ALSFRS_R_FIXED_15_18M,2.523827061653137,2.2917520999908447,3.501713275909424,2.47616634866243,2.571487774643844,3.265090045928955,2.968327283859253,4.612528324127197,3.1998503992757104,3.3303296925822,0.9089237117767334,0.8191630840301514,0.9251085519790648,0.9048079239117115,0.9130394996417552
ALSFRS_R_FIXED_3_12M,2.4256135988235474,2.4007880687713623,2.506067991256714,2.4193465492586546,2.4318806483884403,3.1349435949325564,3.114660263061523,3.1965346336364746,3.129322247959865,3.140564941905248,0.8830423736572266,0.8783601522445679,0.8848432898521423,0.8826100218193482,0.883474725495105
ALSFRS_R_FIXED_3_15M,2.9606104469299317,2.2223496437072754,3.3704216480255127,2.862813051179759,3.0584078426801042,3.688556294441223,2.806159734725952,4.160819053649902,3.579811921990226,3.7973006668922205,0.7972197926044464,0.7495771050453186,0.8799208998680115,0.7863720058463678,0.808067579362525
