dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2,groupByHyperparams
T4_T5,trial_31,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.527455568313598,3.3600053787231445,0.8576560616493225,2.0 - 512.0 - 0.0001 - 1.0
T3_T4,trial_16,1.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.342775821685791,3.044782876968384,0.8704291582107544,1.0 - 512.0 - 0.0001 - 0.0
T3-T4_T5,trial_31,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.435117244720459,3.31709885597229,0.8538669943809509,2.0 - 512.0 - 0.0001 - 1.0
T2_T3,trial_13,1.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.42362117767334,3.2836782932281494,0.8157602548599243,1.0 - 512.0 - 0.0001 - 1.0
T2-T3_T4,trial_33,2.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.195077657699585,3.014662742614746,0.865291178226471,2.0 - 512.0 - 1e-05 - 0.0
T2-T3-T4_T5,trial_31,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.3132474422454834,3.0150623321533203,0.8730534315109253,2.0 - 512.0 - 0.0001 - 1.0
T1_T2,trial_13,1.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.394670009613037,3.2400949001312256,0.7820849418640137,1.0 - 512.0 - 0.0001 - 1.0
T1-T2_T3,trial_34,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.348987579345703,3.2187557220458984,0.8219937682151794,2.0 - 512.0 - 0.0001 - 0.0
T1-T2-T3_T4,trial_48,3.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.2094719409942627,3.0048978328704834,0.865486741065979,3.0 - 512.0 - 1e-05 - 1.0
T1-T2-T3-T4_T5,trial_26,2.0,256.0,0.001,1.0,ReLU,Adam,Huber,2.4038028717041016,3.0424556732177734,0.8749842047691345,2.0 - 256.0 - 0.001 - 1.0
