dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_combined_9M,trial_31,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.7970173358917236,3.6634092330932617,0.8274927735328674
MLP_alsfrs-r_combined_9M,trial_30,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.6866514682769775,3.5167665481567383,0.8419355750083923
MLP_alsfrs-r_combined_9M,trial_15,2.0,256.0,5e-06,1.0,ReLU,Adam,Huber,3.2409777641296387,4.158157825469971,0.7758398652076721
MLP_alsfrs-r_combined_9M,trial_12,2.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.0510334968566895,3.882744312286377,0.8042818307876587
MLP_alsfrs-r_combined_9M,trial_24,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.7977161407470703,3.648913860321045,0.8281500935554504
MLP_alsfrs-r_combined_9M,trial_23,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.1607768535614014,3.9804956912994385,0.7973776459693909
MLP_alsfrs-r_combined_9M,trial_5,1.0,256.0,0.0005,1.0,ReLU,Adam,Huber,3.011411190032959,3.9162776470184326,0.806657075881958
MLP_alsfrs-r_combined_9M,trial_2,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.9471426010131836,3.8453586101531982,0.8137110471725464
MLP_alsfrs-r_combined_9M,trial_22,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.7592105865478516,3.625887632369995,0.8319410085678101
MLP_alsfrs-r_combined_9M,trial_25,3.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.7872414588928223,3.6611597537994385,0.8298696279525757
MLP_alsfrs-r_combined_9M,trial_13,2.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.7829883098602295,3.65929913520813,0.8291658759117126
MLP_alsfrs-r_combined_9M,trial_14,2.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.923065185546875,3.833066940307617,0.8148187398910522
MLP_alsfrs-r_combined_9M,trial_3,1.0,256.0,5e-06,1.0,ReLU,Adam,Huber,4.488533973693848,5.912941932678223,0.5347039103507996
