Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1_T2/trial_0;2;128;0,0002;sigmoid;Huber;1;RMSprop;3,9357;3,9357;5 355
T1_T2/trial_1;2;1 024;0;sigmoid;MAE;0;Adam;3,5661;3,5661;13 515
T1_T2/trial_10;3;256;0,0001;tanh;MSE;0;Adam;3,7907;3,7907;6 290
T1_T2/trial_11;4;64;0,0001;ReLU;MAE;0;Adam;3,3423;3,3423;1 870
T1_T2/trial_12;4;256;0,0006;ReLU;Huber;1;RMSprop;3,7362;3,7362;176
T1_T2/trial_13;4;1 024;0;ReLU;MSE;0;RMSprop;3,5065;3,5065;935
T1_T2/trial_14;2;512;0,0001;tanh;Huber;1;Adam;3,4833;3,4833;6 290
T1_T2/trial_15;2;512;0,0001;tanh;MAE;0;Adam;3,4129;3,4129;4 760
T1_T2/trial_16;1;512;0;tanh;Huber;1;Adam;3,4278;3,4278;9 350
T1_T2/trial_17;1;512;0,0001;tanh;Huber;1;Adam;3,4466;3,4466;3 740
T1_T2/trial_18;1;512;0,0002;tanh;MAE;1;Adam;3,5019;3,5019;5 100
T1_T2/trial_19;1;512;0,0007;tanh;MSE;1;Adam;3,4834;3,4834;4 930
T1_T2/trial_2;2;256;0;sigmoid;Huber;0;Adam;3,5533;3,5533;21 420
T1_T2/trial_20;1;64;0;tanh;Huber;1;Adam;22,956;22,956;4 400
T1_T2/trial_21;1;512;0,0001;tanh;Huber;1;Adam;3,3577;3,3577;5 270
T1_T2/trial_22;1;512;0,0005;tanh;Huber;1;Adam;3,5674;3,5674;2 720
T1_T2/trial_23;1;512;0,0001;tanh;Huber;1;Adam;3,4394;3,4394;2 380
T1_T2/trial_24;1;512;0,0001;tanh;Huber;1;Adam;3,3551;3,3551;4 420
T1_T2/trial_25;2;512;0;tanh;Huber;1;Adagrad;23,4006;23,4006;34 000
T1_T2/trial_26;3;512;0;tanh;Huber;1;Adam;3,5126;3,5126;26 690
T1_T2/trial_27;3;512;0;tanh;Huber;1;Adam;3,4504;3,4504;21 250
T1_T2/trial_28;4;1 024;0;tanh;MAE;1;Adam;18,0439;18,0439;8 600
T1_T2/trial_29;3;128;0;tanh;MSE;1;Adagrad;33,3205;33,3205;4 400
T1_T2/trial_3;1;32;0,0037;tanh;Huber;1;RMSprop;7,4936;7,4936;462
T1_T2/trial_30;3;64;0,0004;tanh;Huber;1;Adam;3,632;3,632;15 300
T1_T2/trial_31;1;512;0,0001;tanh;Huber;1;Adam;3,3291;3,3291;5 950
T1_T2/trial_32;2;512;0,0001;tanh;Huber;1;Adam;3,526;3,526;5 950
T1_T2/trial_33;1;512;0;tanh;Huber;1;Adam;3,3473;3,3473;14 450
T1_T2/trial_34;1;128;0;tanh;Huber;1;Adam;3,3993;3,3993;22 780
T1_T2/trial_35;1;512;0,0002;sigmoid;Huber;1;Adam;3,619;3,619;2 550
T1_T2/trial_36;2;1 024;0;tanh;Huber;1;Adam;3,4636;3,4636;4 760
T1_T2/trial_37;2;512;0,0001;tanh;Huber;1;RMSprop;3,5698;3,5698;2 024
T1_T2/trial_38;1;512;0;tanh;MAE;1;Adam;3,4574;3,4574;5 160
T1_T2/trial_39;1;32;0,0003;sigmoid;Huber;1;Adagrad;30,8396;30,8396;34 000
