dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,criterion,activation,optimizer,mae,rmse,r2
Combined_12M,trial_73,1.0,512.0,0.000183751141825,0.0,16,Huber,sigmoid,Adam,2.4316563606262207,3.1709024906158447,0.8838212490081787
Combined_15M,trial_52,2.0,512.0,0.0001604453373038,1.0,16,Huber,ReLU,Adam,3.1955137252807617,4.173903465270996,0.7972625494003296
Combined_18M,trial_62,1.0,512.0,0.0004512920021094,0.0,16,Huber,sigmoid,Adam,2.8527464866638184,3.6719517707824703,0.84349125623703
Combined_21M,trial_32,1.0,256.0,0.0009685952970133,1.0,16,MAE,ReLU,Adam,3.7010340690612793,4.995347499847412,0.7725852131843567
Combined_24M,trial_9,1.0,32.0,0.0007489817244139,0.0,16,MAE,sigmoid,Adam,3.6471846103668217,4.761219024658203,0.6511576771736145
Combined_27M,trial_2,2.0,256.0,0.0002902576027232,1.0,16,MSE,sigmoid,Adam,5.506281852722168,7.2562255859375,0.3073955476284027
Combined_30M,trial_10,3.0,256.0,0.0006027496620592,0.0,32,Huber,sigmoid,Adam,5.417734146118164,7.291616916656494,0.3905796110630035
Combined_33M,trial_12,1.0,512.0,0.0009444853803981,1.0,16,MAE,sigmoid,Adam,4.586953639984131,5.631463527679443,0.7040235996246338
Combined_36M,trial_63,2.0,512.0,0.0008170460469099,1.0,32,Huber,ReLU,Adam,4.756744384765625,6.777945518493652,0.4847955703735351
Combined_3M,trial_23,1.0,512.0,0.0003686787202284,0.0,32,Huber,sigmoid,Adam,2.384089946746826,3.280338764190674,0.8590044975280762
Combined_6M,trial_21,1.0,512.0,0.0001273831027076,0.0,16,Huber,sigmoid,Adam,2.312535285949707,3.096125602722168,0.8709191679954529
Combined_9M,trial_44,1.0,512.0,0.0003120079914318,0.0,16,Huber,sigmoid,Adam,2.4225738048553467,3.164968252182007,0.8749114871025085
