dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,criterion,activation,optimizer,mae,rmse,r2
Combined_18M,trial_54,2.0,512.0,0.0008425293150498223,0.0,128,Huber,sigmoid,Adam,3.2988693714141846,4.301854610443115,0.8112531900405884
Combined_18M,trial_65,1.0,512.0,0.0004743375038333116,1.0,16,Huber,sigmoid,Adam,2.9335615634918213,3.797612190246582,0.8337996006011963
Combined_18M,trial_91,1.0,512.0,0.000509135879668026,1.0,16,Huber,sigmoid,Adam,2.855877637863159,3.6531574726104736,0.8455584049224854
Combined_18M,trial_62,1.0,512.0,0.0004512920021094199,0.0,16,Huber,sigmoid,Adam,2.8527464866638184,3.6719517707824707,0.84349125623703
Combined_18M,trial_36,2.0,512.0,0.00048543090572542323,0.0,16,Huber,tanh,Adam,6.268707275390625,9.402673721313477,-0.12416944652795792
Combined_18M,trial_31,2.0,512.0,0.0009717417912812277,0.0,128,Huber,sigmoid,Adam,3.130380630493164,4.154993534088135,0.8247697949409485
Combined_18M,trial_97,1.0,512.0,0.0006104830623973507,1.0,16,Huber,sigmoid,Adam,2.976983070373535,3.8006114959716797,0.8334830403327942
Combined_18M,trial_90,1.0,512.0,0.0007242280428323821,1.0,16,Huber,sigmoid,Adam,3.0358774662017822,3.875892400741577,0.8281295299530029
Combined_18M,trial_64,1.0,512.0,0.00042192329646020127,1.0,16,Huber,sigmoid,Adam,3.0016698837280273,3.788745164871216,0.834720253944397
Combined_18M,trial_52,2.0,512.0,0.0008553385716888444,0.0,128,Huber,sigmoid,Adam,3.223893404006958,4.202389240264893,0.8196452856063843
Combined_18M,trial_15,3.0,512.0,5.9330514500537995e-05,0.0,16,Huber,sigmoid,Adam,3.6532766819000244,4.686155319213867,0.7573549151420593
Combined_18M,trial_83,1.0,512.0,0.0004983700989863659,1.0,16,Huber,sigmoid,Adam,2.9675683975219727,3.7637016773223877,0.837155282497406
Combined_18M,trial_5,1.0,256.0,9.049085900467683e-05,0.0,16,MAE,tanh,Adam,8.572667121887207,10.974420547485352,-0.41035786271095276
Combined_18M,trial_84,1.0,512.0,0.0006559000657173341,1.0,16,Huber,sigmoid,Adam,2.956298351287842,3.8137543201446533,0.8316852450370789
Combined_18M,trial_2,3.0,512.0,1.5728079412673868e-05,0.0,128,MSE,tanh,Adam,19.4216251373291,20.87905502319336,-3.5024936199188232
Combined_18M,trial_46,3.0,512.0,0.0003294011541204136,0.0,16,Huber,ReLU,Adam,3.8067150115966797,4.855371952056885,0.7151287198066711
Combined_18M,trial_25,2.0,512.0,0.00042097783556464406,0.0,16,MAE,sigmoid,Adam,3.2364282608032227,4.163153171539307,0.8082175850868225
Combined_18M,trial_40,2.0,512.0,0.000175455882682365,0.0,16,MAE,sigmoid,Adam,3.2865729331970215,4.1844611167907715,0.8058335781097412
Combined_18M,trial_3,2.0,512.0,1.4026440536044868e-05,0.0,32,MAE,tanh,Adam,13.164576530456543,17.869041442871094,-2.5021567344665527
Combined_18M,trial_82,1.0,512.0,0.0005216458356003131,1.0,16,Huber,sigmoid,Adam,2.9886579513549805,3.777806520462036,0.83320552110672
Combined_18M,trial_76,1.0,512.0,0.0004433227009645997,1.0,16,Huber,sigmoid,Adam,2.998255729675293,3.834416151046753,0.8314710259437561
Combined_18M,trial_4,1.0,512.0,1.51085773884295e-05,1.0,128,Huber,sigmoid,Adam,18.970468521118164,20.527456283569336,-3.357307195663452
Combined_18M,trial_32,2.0,512.0,0.0007769547131647287,0.0,128,Huber,sigmoid,Adam,3.301604986190796,4.320870876312256,0.8086861371994019
Combined_18M,trial_61,1.0,512.0,0.00044474404951177663,0.0,16,Huber,sigmoid,Adam,2.923631191253662,3.73626708984375,0.8404398560523987
Combined_18M,trial_66,1.0,512.0,0.00043426317518943463,1.0,16,Huber,sigmoid,Adam,2.9301366806030273,3.738565444946289,0.8404747247695923
Combined_18M,trial_33,2.0,512.0,0.0006568053004986613,0.0,128,Huber,sigmoid,Adam,3.332505702972412,4.347794532775879,0.8073964715003967
Combined_18M,trial_58,1.0,512.0,0.0003810100097912393,0.0,16,Huber,sigmoid,Adam,2.9527597427368164,3.7253243923187256,0.8395307660102844
Combined_18M,trial_93,1.0,512.0,0.0006194937503214383,1.0,16,Huber,sigmoid,Adam,3.0024943351745605,3.846726894378662,0.8314676284790039
Combined_18M,trial_94,1.0,512.0,0.0006487888397675888,1.0,16,Huber,sigmoid,Adam,2.8834574222564697,3.7271385192871094,0.838742196559906
Combined_18M,trial_56,2.0,512.0,0.0003616572309777578,0.0,16,Huber,sigmoid,Adam,3.1752068996429443,4.131612300872803,0.810569167137146
Combined_18M,trial_51,2.0,512.0,0.0007692259695784498,0.0,128,Huber,sigmoid,Adam,3.2448246479034424,4.293830871582031,0.8128971457481384
Combined_18M,trial_73,1.0,512.0,0.00046368777885425177,1.0,16,Huber,sigmoid,Adam,2.956698417663574,3.7311365604400635,0.8387851715087891
Combined_18M,trial_1,2.0,128.0,0.0006347385427057554,1.0,64,Huber,tanh,Adam,9.041403770446777,11.69189167022705,-0.431883305311203
Combined_18M,trial_74,1.0,512.0,0.0004504797791774587,1.0,16,Huber,sigmoid,Adam,2.9661951065063477,3.773796796798706,0.8365331292152405
Combined_18M,trial_80,1.0,512.0,0.0005810877425718601,1.0,16,Huber,sigmoid,Adam,3.0152297019958496,3.8211557865142822,0.8335838317871094
Combined_18M,trial_6,3.0,512.0,0.00016512465578437827,0.0,32,Huber,sigmoid,Adam,3.4788753986358643,4.554609298706055,0.785133421421051
Combined_18M,trial_42,2.0,512.0,0.0008391189232845218,0.0,128,Huber,sigmoid,Adam,3.2553765773773193,4.239161491394043,0.8175906538963318
Combined_18M,trial_29,3.0,512.0,0.0005917239129768589,0.0,128,MAE,sigmoid,Adam,3.4909400939941406,4.592231750488281,0.7858044505119324
Combined_18M,trial_20,2.0,64.0,0.0009984235415712165,1.0,32,Huber,ReLU,Adam,4.030318260192871,5.361721515655518,0.6795381903648376
Combined_18M,trial_18,2.0,64.0,0.0009738969768716037,1.0,32,Huber,sigmoid,Adam,3.0001742839813232,4.052631378173828,0.8298762440681458
Combined_18M,trial_27,2.0,512.0,0.0009467007537376675,0.0,128,Huber,sigmoid,Adam,3.2318918704986572,4.28028678894043,0.813241183757782
Combined_18M,trial_44,2.0,512.0,0.0007964538414008664,0.0,128,Huber,sigmoid,Adam,3.3336455821990967,4.382465839385986,0.8039878606796265
Combined_18M,trial_9,2.0,64.0,0.0006369579453341984,0.0,32,Huber,tanh,Adam,7.292088508605957,10.339614868164062,-0.18860404193401337
Combined_18M,trial_81,1.0,512.0,0.0005083717819432658,1.0,16,Huber,sigmoid,Adam,2.9076876640319824,3.6748199462890625,0.843458354473114
Combined_18M,trial_75,1.0,512.0,0.0005337926308943689,1.0,16,Huber,sigmoid,Adam,2.9967195987701416,3.7732632160186768,0.8376063704490662
Combined_18M,trial_7,1.0,256.0,0.0002651434300711162,1.0,32,MAE,ReLU,Adam,4.5158796310424805,6.094520568847656,0.5834388732910156
Combined_18M,trial_72,1.0,512.0,0.00046429575240220183,1.0,16,Huber,sigmoid,Adam,2.8850960731506348,3.684152364730835,0.8417139649391174
Combined_18M,trial_0,1.0,256.0,3.352282455119719e-05,0.0,16,MAE,sigmoid,Adam,3.0213429927825928,3.9310965538024902,0.8215436339378357
Combined_18M,trial_26,2.0,512.0,0.00041107714902596765,1.0,64,Huber,sigmoid,Adam,3.3002073764801025,4.388203144073486,0.8039270639419556
Combined_12M,trial_54,1.0,512.0,0.0003414961906383528,0.0,16,Huber,sigmoid,Adam,2.5178651809692383,3.2326598167419434,0.8772969245910645
Combined_12M,trial_53,1.0,512.0,0.00034702788755963063,0.0,16,Huber,sigmoid,Adam,2.5186843872070312,3.2124197483062744,0.8788159489631653
Combined_12M,trial_91,1.0,512.0,0.00021573450689866478,0.0,16,Huber,sigmoid,Adam,2.466001272201538,3.207484722137451,0.8804911375045776
Combined_12M,trial_62,1.0,512.0,0.00022422208484268734,0.0,16,Huber,sigmoid,Adam,2.453856945037842,3.1895763874053955,0.881249725818634
Combined_12M,trial_31,1.0,256.0,0.00018291925259346936,1.0,32,Huber,sigmoid,Adam,2.6382319927215576,3.4056575298309326,0.8782123327255249
Combined_12M,trial_38,3.0,512.0,0.0004810505088838441,0.0,32,MAE,tanh,Adam,2.604968547821045,3.4853858947753906,0.8733579516410828
Combined_12M,trial_63,1.0,512.0,0.0002135531075694074,0.0,16,Huber,sigmoid,Adam,2.46529221534729,3.1905131340026855,0.8805932998657227
Combined_12M,trial_52,1.0,512.0,0.0004951411414809729,0.0,16,Huber,sigmoid,Adam,2.5387656688690186,3.2549314498901367,0.8774959444999695
Combined_12M,trial_55,1.0,512.0,0.0001529905595048089,0.0,16,Huber,sigmoid,Adam,2.46382474899292,3.204627513885498,0.8802512884140015
