dataset,mae_mean,mae_std,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_std,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_std,r2_min,r2_max,r2_ci_low,r2_ci_high
Combined_12M,2.9689064168930055,0.026857771465886072,2.920365571975708,3.099780321121216,2.9614618224592197,2.9763510113267913,3.7605231285095213,0.03234022405189925,3.7105751037597656,3.9163975715637207,3.751558875750503,3.7694873812685397,0.8371610343456268,0.002773463782713395,0.8239729404449463,0.8412309288978577,0.8363922694067591,0.8379297992844945
Combined_15M,3.3200350999832153,0.03217698877067281,3.228152275085449,3.429248332977295,3.3111160937357162,3.3289541062307144,4.232117252349854,0.043208934684993136,4.107667922973633,4.340322494506836,4.2201403467062,4.244094157993507,0.7909190022945404,0.0040893236939174476,0.7802446484565735,0.8027260899543762,0.7897854995968815,0.7920525049921993
Combined_18M,3.8941639947891233,0.04676612429796905,3.715273857116699,3.959754467010498,3.8812010864897277,3.907126903088519,5.078690910339356,0.10369204591597957,4.759390354156494,5.230005741119385,5.0499489416010155,5.107432879077696,0.6935210502147675,0.010582045354514985,0.6780097484588623,0.7285838723182678,0.690587856891399,0.696454243538136
Combined_21M,3.6722754573822023,0.06244313188480565,3.4887537956237793,3.863421678543091,3.6549671042804475,3.689583810483957,4.892443971633911,0.08063177401330672,4.63176965713501,5.057000160217285,4.870093984153819,4.914793959114004,0.7777825736999512,0.0070008227179680195,0.7643120884895325,0.801243007183075,0.7758420446465892,0.7797231027533131
Combined_24M,4.108675122261047,0.09187350707253386,3.862606048583984,4.2864274978637695,4.083209085354995,4.1341411591671,5.166352882385254,0.11399590282669177,4.854433059692383,5.462821006774902,5.134754830226089,5.197950934544418,0.5568216907978057,0.020561420431162596,0.5305272340774536,0.6200373768806458,0.5511223558292663,0.5625210257663452
Combined_27M,6.264833431243897,0.10160313870020216,6.007297515869141,6.552662372589111,6.236670478044915,6.292996384442879,7.918722515106201,0.11055290847912148,7.626277446746826,8.263320922851562,7.888078812290132,7.94936621792227,0.14189764685928818,0.024979468805847903,0.0491873212158679,0.2094749808311462,0.13497369136033147,0.1488216023582449
Combined_30M,6.279677658081055,0.16131065442880127,5.877087116241455,6.6592230796813965,6.234964625892351,6.324390690269759,7.989369287490844,0.17855862371576697,7.442928791046143,8.303376197814941,7.9398753621326925,8.038863212848996,0.2655698803067207,0.03202196373468938,0.2088238298892974,0.3614585995674133,0.25669384480686697,0.2744459158065745
Combined_33M,6.478611087799072,0.18544309104657125,6.067683219909668,7.023016929626465,6.427208885455408,6.530013290142736,8.54369285583496,0.23671740764472582,7.9514617919921875,8.972793579101562,8.47807813804013,8.60930757362979,0.4339979010820389,0.031119302012710112,0.3761855065822601,0.5101150274276733,0.4253720706462789,0.4426237315177989
Combined_36M,5.7526506996154785,0.13512043399916626,5.369082450866699,6.052526473999023,5.715197226153668,5.790104173077289,7.565558910369873,0.1909838511976174,6.9339518547058105,8.070895195007324,7.512620887668522,7.618496933071224,0.38979535341262816,0.0306136593973415,0.3059900403022766,0.4877476692199707,0.38130967995916437,0.39828102686609196
Combined_3M,2.851662755012512,0.16586565114019958,2.568607807159424,3.084808826446533,2.8056871421511467,2.8976383678738777,3.8953176879882814,0.19334655652615476,3.535001039505005,4.188058853149414,3.8417247567827064,3.9489106191938563,0.8186081910133362,0.01795018837978752,0.7902932167053223,0.8510951995849609,0.813632652641982,0.8235837293846903
Combined_6M,2.8274225902557375,0.06540956549686759,2.6144416332244873,2.877312660217285,2.8092919837073556,2.8455531968041194,3.725839695930481,0.07523540572641743,3.485163450241089,3.796211004257202,3.7049855054252885,3.7466938864356734,0.8163667750358582,0.006900568557157621,0.809394359588623,0.8374407887458801,0.8144540350181011,0.8182795150536153
Combined_9M,2.834303030967712,0.027744889953003293,2.7440345287323,2.8920576572418213,2.8266125398347275,2.841993522100697,3.6818028926849364,0.03543174013782696,3.552461624145508,3.734034538269043,3.671981715386423,3.6916240699834497,0.8289699470996856,0.0030481392315291574,0.8228226900100708,0.8382284045219421,0.8281250460108045,0.8298148481885668
