dataset,mae_mean,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_min,r2_max,r2_ci_low,r2_ci_high
Combined_12M,3.175610313415527,3.0192465782165527,3.258941173553467,3.1637356951346227,3.1874849316964315,4.0840320920944215,3.877721786499023,4.157639026641846,4.070249164275216,4.097815019913627,0.8303326892852784,0.8244228959083557,0.8477451205253601,0.8291561293249858,0.8315092492455709
Combined_15M,3.327492356300354,3.2529945373535156,3.3963747024536133,3.3188819547698856,3.3361027578308224,4.233373203277588,4.16779899597168,4.304027557373047,4.2246895866243435,4.242056819930832,0.7896191239356994,0.7838124632835388,0.7948415279388428,0.7889083896307533,0.7903298582406456
Combined_18M,3.9013420295715333,3.7342238426208496,4.034554958343506,3.888417610678675,3.9142664484643914,5.13750337600708,4.858724117279053,5.288089752197266,5.119468887206719,5.1555378648074415,0.6897938311100006,0.6733676195144653,0.7221444249153137,0.6876945496794059,0.6918931125405953
Combined_21M,3.5508060693740844,3.444685459136963,3.603850126266479,3.543387027899937,3.5582251108482317,4.838404359817505,4.686800003051758,4.889443397521973,4.8281244081922505,4.84868431144276,0.7919560647010804,0.786808967590332,0.8060324788093567,0.7910217527344673,0.7928903766676935
Combined_24M,4.164705038070679,4.0121331214904785,4.297755241394043,4.149141454229829,4.180268621911528,5.144062280654907,5.0126118659973145,5.313504695892334,5.127281871828174,5.16084268948164,0.555585025548935,0.528009831905365,0.5815412402153015,0.552348070659074,0.5588219804387959
Combined_27M,6.329999475479126,5.887919902801514,6.6700873374938965,6.290144189195643,6.36985476176261,8.163014793395996,7.582351207733154,8.6077880859375,8.112983321882432,8.213046264909561,0.1783163802325725,0.091074988245964,0.2929631173610687,0.16852859990144115,0.188104160563704
Combined_30M,6.044270038604736,5.862696170806885,6.372862339019775,6.015881650548609,6.072658426660864,7.66607738494873,7.461554050445557,7.984436988830566,7.632371375866252,7.699783394031209,0.28720182389020915,0.2294300347566604,0.3262411057949066,0.28103730282933476,0.29336634495108366
Combined_33M,6.532053737640381,5.825676441192627,7.261688232421875,6.472638298412796,6.5914691768679665,8.527503509521484,7.798443794250488,9.133520126342772,8.468881214461302,8.586125804581666,0.43622514128684997,0.3536368608474731,0.5287883281707764,0.4285198832854449,0.44393039928825506
Combined_36M,5.538757829666138,5.045529365539551,5.972989559173584,5.497737287112431,5.579778372219845,7.431305093765259,6.997864723205566,7.838772773742676,7.387963996599075,7.474646190931442,0.38041342616081236,0.3109042048454284,0.4508202672004699,0.3732178023353805,0.38760904998624424
Combined_3M,2.868003125190735,2.526580572128296,3.088385581970215,2.824819608276583,2.911186642104887,3.829693145751953,3.4177541732788086,4.143014430999756,3.7748730283386402,3.8845132631652657,0.7738409066200256,0.7388143539428711,0.8181039094924927,0.7679643146572873,0.7797174985827638
Combined_6M,2.8780454063415526,2.596212863922119,3.041942358016968,2.8384712183186047,2.9176195943645005,3.780730037689209,3.439354181289673,3.982240438461304,3.7322816998463515,3.829178375532066,0.8096028912067413,0.7900376915931702,0.8425708413124084,0.8049532106564978,0.8142525717569848
Combined_9M,2.816968822479248,2.7244906425476074,2.8530871868133545,2.8083046117545805,2.8256330332039155,3.7052600812911987,3.5693039894104004,3.7719051837921143,3.694278505084276,3.7162416574981214,0.8418109917640686,0.8360967040061951,0.8535181283950806,0.8408774383164044,0.8427445452117328
