dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,criterion,activation,optimizer,mae,rmse,r2
ALSFRS_R_FIXED_0_12M,trial_34,1.0,512.0,0.0003248796081849,1.0,16,Huber,sigmoid,Adam,2.657691240310669,3.3916637897491455,0.8506802916526794
ALSFRS_R_FIXED_0_15M,trial_85,2.0,512.0,0.0002726058692581,0.0,32,Huber,ReLU,Adam,4.08246374130249,5.189681053161621,0.6577784419059753
ALSFRS_R_FIXED_0_18M,trial_3,3.0,512.0,0.0001367002986569,0.0,16,MSE,sigmoid,Adam,4.502877712249756,5.7115092277526855,0.5301508903503418
ALSFRS_R_FIXED_0_3M,trial_81,1.0,512.0,0.0007830132994244,1.0,16,MAE,sigmoid,Adam,2.440433979034424,3.3232674598693848,0.7712035775184631
ALSFRS_R_FIXED_0_6M,trial_73,2.0,256.0,0.0007955805805425,0.0,16,Huber,sigmoid,Adam,2.600393533706665,3.51210618019104,0.7873942255973816
ALSFRS_R_FIXED_0_9M,trial_46,1.0,512.0,0.0002104318760094,0.0,64,Huber,sigmoid,Adam,2.5754709243774414,3.580886125564575,0.8452638983726501
ALSFRS_R_FIXED_12_15M,trial_29,1.0,512.0,0.0004385890882843,0.0,16,MAE,sigmoid,Adam,2.4336719512939453,2.996659755706787,0.909907341003418
ALSFRS_R_FIXED_12_18M,trial_23,1.0,512.0,0.0005624901562353,0.0,16,MAE,sigmoid,Adam,3.1487293243408203,3.8551859855651855,0.8328003883361816
ALSFRS_R_FIXED_15_18M,trial_3,3.0,512.0,1.3706475869775451e-05,0.0,64,MAE,ReLU,Adam,3.5248911380767822,4.501425743103027,0.8277698755264282
ALSFRS_R_FIXED_3_12M,trial_6,1.0,512.0,4.032444021634334e-05,1.0,16,MAE,sigmoid,Adam,2.5576725006103516,3.2550368309020996,0.8598024249076843
ALSFRS_R_FIXED_3_15M,trial_0,1.0,128.0,0.0005116125379444,0.0,32,MSE,sigmoid,Adam,3.924086809158325,4.986764430999756,0.6797590255737305
ALSFRS_R_FIXED_3_18M,trial_26,2.0,512.0,0.0006840982663545,0.0,32,Huber,sigmoid,Adam,3.5112454891204834,4.617967128753662,0.750896692276001
ALSFRS_R_FIXED_3_6M,trial_64,2.0,512.0,0.0002671008020263,0.0,16,MAE,sigmoid,Adam,2.469293117523194,3.420649290084839,0.8011808395385742
ALSFRS_R_FIXED_3_9M,trial_99,1.0,512.0,0.0007253715944761,0.0,32,Huber,sigmoid,Adam,2.5698535442352295,3.562246084213257,0.8386579751968384
ALSFRS_R_FIXED_6_12M,trial_61,3.0,512.0,0.0006630795159237,0.0,32,Huber,tanh,Adam,2.7073395252227783,3.679003953933716,0.8474640250205994
ALSFRS_R_FIXED_6_15M,trial_12,3.0,512.0,0.000177100334254,0.0,32,MAE,ReLU,Adam,3.69235897064209,4.552045822143555,0.7528078556060791
ALSFRS_R_FIXED_6_18M,trial_41,2.0,512.0,0.0006994778257394,0.0,16,Huber,sigmoid,Adam,3.3020026683807373,4.210504055023193,0.6822609901428223
ALSFRS_R_FIXED_6_9M,trial_55,1.0,512.0,0.0002812507746805,1.0,32,Huber,sigmoid,Adam,2.3299710750579834,3.2054123878479004,0.8665223717689514
ALSFRS_R_FIXED_9_12M,trial_61,3.0,512.0,0.0009856893113078,0.0,16,Huber,tanh,Adam,2.7754602432250977,3.6156508922576904,0.83094322681427
ALSFRS_R_FIXED_9_15M,trial_41,2.0,512.0,0.000487000548877,0.0,16,MAE,sigmoid,Adam,2.92270827293396,3.830066442489624,0.8241418600082397
ALSFRS_R_FIXED_9_18M,trial_27,1.0,512.0,8.976996352577925e-05,0.0,16,MAE,sigmoid,Adam,3.129887104034424,4.061888217926025,0.7724713087081909
