dataset,trial,mae,rmse,r2
ALSFRS_R_FIXED_9_15M,50,3.979022264480591,4.922671318054199,0.7559354305267334
ALSFRS_R_FIXED_9_15M,32,3.963980197906494,4.887869358062744,0.7585144639015198
ALSFRS_R_FIXED_9_15M,35,3.940765619277954,4.869670391082764,0.7611480951309204
ALSFRS_R_FIXED_9_15M,34,3.9368324279785156,4.848095417022705,0.76337069272995
ALSFRS_R_FIXED_9_15M,33,3.9388678073883057,4.857997417449951,0.7607709765434265
ALSFRS_R_FIXED_9_15M,20,3.9029412269592285,4.755910873413086,0.7699778079986572
ALSFRS_R_FIXED_9_15M,18,3.920574903488159,4.755749702453613,0.7703893184661865
ALSFRS_R_FIXED_9_15M,27,3.917060136795044,4.786370277404785,0.7680762410163879
ALSFRS_R_FIXED_9_15M,9,3.9436612129211426,4.726296901702881,0.7714280486106873
ALSFRS_R_FIXED_9_15M,11,3.923598527908325,4.726372241973877,0.7717527151107788
ALSFRS_R_FIXED_9_15M,7,3.934030294418335,4.6874613761901855,0.775416910648346
ALSFRS_R_FIXED_9_15M,29,3.983459949493408,4.868814945220947,0.7602515816688538
ALSFRS_R_FIXED_9_15M,16,3.9082348346710205,4.755712032318115,0.7698079943656921
ALSFRS_R_FIXED_9_15M,42,3.9805550575256348,4.920390605926514,0.7547752857208252
ALSFRS_R_FIXED_9_15M,45,3.9836106300354004,4.934823989868164,0.7543459534645081
ALSFRS_R_FIXED_9_15M,6,3.886823892593384,4.65130090713501,0.7772797346115112
ALSFRS_R_FIXED_9_15M,28,3.9130306243896484,4.7981367111206055,0.7667653560638428
ALSFRS_R_FIXED_9_15M,17,3.89914608001709,4.771001815795898,0.769609808921814
ALSFRS_R_FIXED_9_15M,1,3.809804677963257,4.732497215270996,0.7698988914489746
ALSFRS_R_FIXED_9_15M,10,3.9304587841033936,4.705451011657715,0.7721126675605774
ALSFRS_R_FIXED_9_15M,19,3.819284677505493,4.678622722625732,0.7785823345184326
ALSFRS_R_FIXED_9_15M,26,3.9142873287200928,4.780564785003662,0.7692899703979492
ALSFRS_R_FIXED_9_15M,8,3.964674949645996,4.745518684387207,0.7672165632247925
ALSFRS_R_FIXED_9_15M,21,3.8806447982788086,4.7383952140808105,0.7717554569244385
ALSFRS_R_FIXED_9_15M,44,3.976463794708252,4.9050092697143555,0.7575237154960632
ALSFRS_R_FIXED_9_15M,43,3.947815418243408,4.870532512664795,0.7611292004585266
ALSFRS_R_FIXED_9_15M,38,3.954011917114258,4.8850998878479,0.759705662727356
ALSFRS_R_FIXED_9_15M,36,4.008345127105713,4.915380954742432,0.754856288433075
ALSFRS_R_FIXED_9_15M,31,3.917302131652832,4.807929992675781,0.765640914440155
ALSFRS_R_FIXED_9_15M,30,3.9165825843811035,4.810482025146484,0.7669259905815125
ALSFRS_R_FIXED_9_15M,37,3.963785409927368,4.860433578491211,0.7618392705917358
ALSFRS_R_FIXED_9_15M,39,3.9548981189727783,4.874258995056152,0.7601560354232788
ALSFRS_R_FIXED_9_15M,46,3.9903831481933594,4.93885612487793,0.7549036145210266
ALSFRS_R_FIXED_9_15M,41,3.9793124198913574,4.892735481262207,0.7595106363296509
ALSFRS_R_FIXED_9_15M,48,3.9741947650909424,4.917628765106201,0.7568904161453247
ALSFRS_R_FIXED_9_15M,24,3.9504168033599854,4.793056488037109,0.7667061686515808
ALSFRS_R_FIXED_9_15M,23,3.913902997970581,4.779446125030518,0.7678048610687256
ALSFRS_R_FIXED_9_15M,4,3.8715758323669434,4.663928031921387,0.7771450877189636
ALSFRS_R_FIXED_9_15M,15,3.9087321758270264,4.7298784255981445,0.7720844745635986
ALSFRS_R_FIXED_9_15M,3,3.85465145111084,4.630027770996094,0.778964102268219
ALSFRS_R_FIXED_9_15M,12,3.986531972885132,4.766850471496582,0.7669957876205444
ALSFRS_R_FIXED_9_15M,49,3.991824150085449,4.942202091217041,0.7541571855545044
ALSFRS_R_FIXED_9_15M,40,3.998333692550659,4.916335105895996,0.7574582695960999
ALSFRS_R_FIXED_9_15M,47,3.9703574180603027,4.944353103637695,0.7543036937713623
ALSFRS_R_FIXED_9_15M,2,3.7828714847564697,4.606904983520508,0.7807168960571289
ALSFRS_R_FIXED_9_15M,13,3.872868299484253,4.678747653961182,0.7763606309890747
ALSFRS_R_FIXED_9_15M,5,3.939453125,4.716981887817383,0.7715284824371338
ALSFRS_R_FIXED_9_15M,14,3.8685200214385986,4.7116851806640625,0.7738454937934875
ALSFRS_R_FIXED_9_15M,22,3.920367479324341,4.783840656280518,0.7682657837867737
ALSFRS_R_FIXED_9_15M,25,3.8724827766418457,4.707252502441406,0.7761306166648865
ALSFRS_R_FIXED_0_3M,50,3.586308479309082,4.816351413726807,0.48904335498809814
ALSFRS_R_FIXED_0_3M,32,3.389353036880493,4.6011223793029785,0.5334231853485107
ALSFRS_R_FIXED_0_3M,35,3.484515428543091,4.680936336517334,0.5148030519485474
ALSFRS_R_FIXED_0_3M,34,3.407585620880127,4.595187187194824,0.5351576805114746
ALSFRS_R_FIXED_0_3M,33,3.4265317916870117,4.638434410095215,0.5292815566062927
ALSFRS_R_FIXED_0_3M,20,3.283531904220581,4.397226810455322,0.5750336647033691
ALSFRS_R_FIXED_0_3M,18,3.2897145748138428,4.45842981338501,0.5716196894645691
ALSFRS_R_FIXED_0_3M,27,3.385566473007202,4.553289890289307,0.5439289212226868
ALSFRS_R_FIXED_0_3M,9,3.160693407058716,4.157693386077881,0.6174834966659546
ALSFRS_R_FIXED_0_3M,11,3.11553955078125,4.195688724517822,0.6088794469833374
ALSFRS_R_FIXED_0_3M,7,3.0560855865478516,4.0831804275512695,0.6359126567840576
ALSFRS_R_FIXED_0_3M,29,3.389073610305786,4.558130741119385,0.5412049889564514
ALSFRS_R_FIXED_0_3M,16,3.323352098464966,4.464053153991699,0.5708555579185486
ALSFRS_R_FIXED_0_3M,42,3.5173697471618652,4.732223987579346,0.5038317441940308
ALSFRS_R_FIXED_0_3M,45,3.5536911487579346,4.754587173461914,0.4982485771179199
ALSFRS_R_FIXED_0_3M,6,3.0405757427215576,4.057713508605957,0.6388189792633057
ALSFRS_R_FIXED_0_3M,28,3.4054110050201416,4.598747253417969,0.5389459729194641
ALSFRS_R_FIXED_0_3M,17,3.223886728286743,4.340601921081543,0.5886883735656738
ALSFRS_R_FIXED_0_3M,1,2.8974781036376953,3.8945159912109375,0.6724070310592651
ALSFRS_R_FIXED_0_3M,10,3.0752334594726562,4.160501480102539,0.6188652515411377
ALSFRS_R_FIXED_0_3M,19,3.2152247428894043,4.375030517578125,0.5811220407485962
ALSFRS_R_FIXED_0_3M,26,3.3471944332122803,4.507360935211182,0.5546369552612305
ALSFRS_R_FIXED_0_3M,8,3.0559139251708984,4.131425380706787,0.629212498664856
ALSFRS_R_FIXED_0_3M,21,3.2576541900634766,4.382396221160889,0.5786310434341431
ALSFRS_R_FIXED_0_3M,44,3.545825481414795,4.77194881439209,0.4943546652793884
ALSFRS_R_FIXED_0_3M,43,3.585580587387085,4.839347839355469,0.48055925965309143
ALSFRS_R_FIXED_0_3M,38,3.5120627880096436,4.669126987457275,0.5180956125259399
ALSFRS_R_FIXED_0_3M,36,3.4526076316833496,4.684303283691406,0.5156202912330627
ALSFRS_R_FIXED_0_3M,31,3.404097557067871,4.549834251403809,0.5438176393508911
ALSFRS_R_FIXED_0_3M,30,3.4430816173553467,4.610118389129639,0.5350905060768127
