dataset,mae_mean,mae_std,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_std,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_std,r2_min,r2_max,r2_ci_low,r2_ci_high
ALSFRS_R_FIXED_0_12M,3.4951317262649537,0.026409789434936472,3.4362666606903076,3.561768054962158,3.487811306114886,3.5024521464150213,4.44775276184082,0.027284676694636474,4.384439945220947,4.517066955566406,4.440189835314822,4.455315688366818,0.7324010837078094,0.0040214238384005925,0.7238299250602722,0.7397434711456299,0.7312864018898754,0.7335157655257435
ALSFRS_R_FIXED_0_15M,4.12982979297638,0.07215560386707161,3.891480684280395,4.293287754058838,4.109829279992733,4.149830305960026,5.2068311214447025,0.07572470504756075,4.95595645904541,5.362706184387207,5.1858413040872495,5.2278209388021555,0.616540185213089,0.01006521438098908,0.5940755605697632,0.6494377851486206,0.6137502501266746,0.6193301202995033
ALSFRS_R_FIXED_0_18M,5.4087246227264405,0.11370070625399065,5.1772332191467285,5.843795299530029,5.377208394882625,5.440240850570256,6.739160985946655,0.13069294351178803,6.392924785614014,7.251333713531494,6.702934750235372,6.775387221657938,0.26509079754352566,0.038681893746014294,0.0712557435035705,0.332567811012268,0.2543687236277636,0.27581287145928784
ALSFRS_R_FIXED_0_3M,3.3183382320404053,0.20263993903603533,2.861875534057617,3.586308479309082,3.2621693066280146,3.374507157452796,4.466842956542969,0.27361023477836466,3.853700876235962,4.839347839355469,4.39100206879675,4.542683844289188,0.5598730814456939,0.055004755508052644,0.4805592596530914,0.6808079481124878,0.5446265410837311,0.5751196218076567
ALSFRS_R_FIXED_0_6M,3.2654764890670775,0.026558660477213683,3.2161307334899902,3.327211380004883,3.2581148039693915,3.2728381741647636,4.241912870407105,0.020582071801736716,4.202018737792969,4.310433387756348,4.236207811170689,4.24761792964352,0.6862781119346618,0.003295526286172054,0.6791543960571289,0.6913625597953796,0.6853646386527258,0.6871915852165978
ALSFRS_R_FIXED_0_9M,3.278021912574768,0.03519979932497251,3.214632272720337,3.3977458477020264,3.2682650259895234,3.2877787991600127,4.270948228836059,0.0316497915776985,4.1658101081848145,4.361849784851074,4.262175354194948,4.27972110347717,0.7321229791641235,0.003618841775642179,0.7225854992866516,0.743401050567627,0.7311198874007612,0.7331260709274858
ALSFRS_R_FIXED_12_15M,3.485534863471985,0.06924639752179589,3.309530735015869,3.6028215885162354,3.4663407413459075,3.5047289855980623,4.488622522354126,0.0940774872142458,4.271379470825195,4.786728382110596,4.462545573320981,4.51469947138727,0.791582967042923,0.009651250828676614,0.751745343208313,0.8124791383743286,0.7889077767990302,0.7942581572868157
ALSFRS_R_FIXED_12_18M,4.784817943572998,0.08823034385323876,4.6677632331848145,5.204339027404785,4.76036173999054,4.809274147155456,6.701418151855469,0.09101373603558859,6.5488691329956055,7.038987636566162,6.676190431322169,6.726645872388769,0.4374943566322327,0.013187227712863295,0.4157878160476684,0.4640357792377472,0.4338390436010325,0.4411496696634329
ALSFRS_R_FIXED_15_18M,3.610392837524414,0.11926724977606927,3.2781717777252197,3.842570543289185,3.5773336425370834,3.6434520325117443,4.878144083023071,0.10916113045889342,4.583762168884277,5.110755443572998,4.8478861613919975,4.908402004654144,0.7976368916034698,0.009012474534085676,0.7779865860939026,0.8214116096496582,0.7951387611150073,0.8001350220919324
ALSFRS_R_FIXED_3_12M,3.3159442281723024,0.041373561364629004,3.1729674339294434,3.418684720993042,3.304476062057618,3.327412394286987,4.285018320083618,0.03885631235434043,4.180291175842285,4.372293949127197,4.274247899796217,4.2957887403710195,0.7863946986198426,0.003991681792561785,0.7783479690551758,0.7963230609893799,0.7852882608764097,0.7875011363632755
ALSFRS_R_FIXED_3_15M,4.088039269447327,0.08419801073695064,3.810138463973999,4.268877983093262,4.064700771580357,4.111377767314297,5.042911233901978,0.08339207189339891,4.759006977081299,5.236221790313721,5.019796130885035,5.066026336918921,0.6157534623146057,0.010746533059370868,0.5886248350143433,0.6509590744972229,0.6127746753255993,0.6187322493036121
ALSFRS_R_FIXED_3_18M,4.142381038665771,0.060800499487790316,4.018866062164307,4.3969526290893555,4.125528000034731,4.159234077296811,5.12697506904602,0.09454670006763587,4.94705057144165,5.4266037940979,5.100768060845419,5.153182077246622,0.5573197388648987,0.015379517658993088,0.5069289207458496,0.5878819823265076,0.5530567540635022,0.5615827236662952
ALSFRS_R_FIXED_3_6M,3.363755602836609,0.1546459626728712,2.9798214435577393,3.541251420974731,3.320889928952078,3.4066212767211397,4.412205486297608,0.17703408478469315,4.01050329208374,4.620522975921631,4.363134141571463,4.461276831023753,0.7097732830047607,0.023192414579436008,0.6814002394676208,0.760421097278595,0.7033446736652468,0.7162018923442747
ALSFRS_R_FIXED_3_9M,3.0963274526596067,0.08403278931296757,2.874901533126831,3.222850799560547,3.0730347518348404,3.119620153484373,3.9875417947769165,0.08841356584391619,3.7511236667633057,4.111598014831543,3.963034804649727,4.012048784904106,0.7684919047355652,0.009391751281706922,0.7573061585426331,0.7949128746986389,0.7658886440963083,0.771095165374822
ALSFRS_R_FIXED_6_12M,3.5089960622787477,0.059872556059282066,3.3347408771514893,3.5972516536712646,3.4924002364433235,3.525591888114172,4.514070529937744,0.07175956410862203,4.288442134857178,4.63328742980957,4.4941797935744345,4.533961266301053,0.773998943567276,0.007481002043315158,0.7602865695953369,0.796570360660553,0.7719253155955158,0.7760725715390363
ALSFRS_R_FIXED_6_15M,4.0036520719528195,0.07154879904133517,3.855712890625,4.283024311065674,3.9838197566855698,4.023484387220069,5.074955196380615,0.07158920448753493,4.92551326751709,5.304050922393799,5.055111681295084,5.094798711466146,0.6923885846138,0.00920203264763033,0.6682791113853455,0.7190322875976562,0.689837911296951,0.694939257930649
ALSFRS_R_FIXED_6_18M,5.875045547485351,0.1321291237034972,5.321470737457275,6.0696635246276855,5.838421222935064,5.911669872035639,7.982062673568725,0.178600438132368,7.328073501586914,8.204154968261719,7.932557157845621,8.031568189291828,0.16436059206724163,0.0365402825312829,0.1176449656486511,0.2960283160209656,0.15423214249401937,0.1744890416404639
ALSFRS_R_FIXED_6_9M,3.0559574031829833,0.09279530634390208,2.8412513732910156,3.1714906692504883,3.030235856554785,3.0816789498111814,4.007261953353882,0.09162790669516908,3.817887544631958,4.166172981262207,3.9818639933992097,4.032659913308554,0.775232366323471,0.010103313907325787,0.7541407942771912,0.793524980545044,0.7724318705871511,0.7780328620597909
