dataset,mae_mean,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_min,r2_max,r2_ci_low,r2_ci_high
ALSFRS_R_FIXED_0_12M,3.4471580362319947,3.3490607738494873,3.5233404636383057,3.4340954149628096,3.46022065750118,4.369599313735962,4.242353439331055,4.456798076629639,4.355446491704751,4.383752135767172,0.7438666784763336,0.7336215376853943,0.7618945240974426,0.7421195050048023,0.7456138519478649
ALSFRS_R_FIXED_0_15M,4.546226511001587,4.38059663772583,4.771714210510254,4.519809469185851,4.572643552817323,5.809970064163208,5.583912372589111,5.993511199951172,5.7793439251076775,5.840596203218738,0.5996275639533997,0.5740828514099121,0.6303082704544067,0.5954084777178401,0.6038466501889592
ALSFRS_R_FIXED_0_18M,5.298233213424683,4.945390224456787,5.585304260253906,5.253300863231437,5.343165563617929,6.8353800964355464,6.2435221672058105,7.21922492980957,6.767998787281323,6.90276140558977,0.4652164328098297,0.4042063653469085,0.5543702840805054,0.4548084511805196,0.47562441443913983
ALSFRS_R_FIXED_0_3M,2.9759106063842773,2.9282264709472656,3.070775032043457,2.965233509179911,2.9865877035886434,4.004870972633362,3.9497902393341064,4.160094738006592,3.993555351248277,4.016186594018447,0.6503973937034607,0.6273748278617859,0.6596131324768066,0.6485045326809973,0.6522902547259242
ALSFRS_R_FIXED_0_6M,3.2624922609329223,3.189380645751953,3.341797351837158,3.253941411104016,3.2710431107618287,4.248854742050171,4.186765193939209,4.3412885665893555,4.238776223080639,4.2589332610197035,0.6791590654850006,0.6605221629142761,0.6886380314826965,0.6774657887140842,0.680852342255917
ALSFRS_R_FIXED_0_9M,3.171320695877075,3.072885036468506,3.2262942790985107,3.1609711548945296,3.181670236859621,4.307215642929077,4.218090057373047,4.350648403167725,4.299539915577503,4.314891370280652,0.7803981399536133,0.7759572863578796,0.7886149883270264,0.7796949510520208,0.7811013288552058
ALSFRS_R_FIXED_12_15M,3.6807395219802856,3.440570592880249,3.794586658477783,3.6575662282349684,3.703912815725603,4.5533834743499755,4.3355302810668945,4.650275230407715,4.53285261961308,4.573914329086871,0.7878627729415894,0.7636151313781738,0.8045259118080139,0.7859455613144094,0.7897799845687693
ALSFRS_R_FIXED_12_18M,4.989970779418945,4.655854225158691,5.1995134353637695,4.9553626170007705,5.024578941837119,6.88745156288147,6.536366939544678,7.119051933288574,6.853381991074407,6.921521134688533,0.4138069087266922,0.3764932155609131,0.4691550731658935,0.40805354605418687,0.4195602713991975
ALSFRS_R_FIXED_15_18M,3.8546841144561768,3.367166042327881,4.170761585235596,3.8114684627288806,3.897899766183473,5.019075956344604,4.3899149894714355,5.266530513763428,4.969951402634256,5.068200510054953,0.7378849494457245,0.7125976085662842,0.8058749437332153,0.7324951421043141,0.7432747567871348
ALSFRS_R_FIXED_3_12M,3.2794727277755737,3.148808479309082,3.3637452125549316,3.2654998886881375,3.29344556686301,4.19663480758667,4.09800386428833,4.269999980926514,4.184410817171755,4.208858798001585,0.7727783930301666,0.7628714442253113,0.7872985601425171,0.7710417401121704,0.7745150459481628
