dataset,trial,mae,rmse,r2
ALSFRS_R_FIXED_9_15M,50,2.7621195316314697,3.7779288291931152,0.851244330406189
ALSFRS_R_FIXED_9_15M,32,2.6895997524261475,3.7103042602539062,0.8564620614051819
ALSFRS_R_FIXED_9_15M,35,2.684042453765869,3.7004802227020264,0.8568735718727112
ALSFRS_R_FIXED_9_15M,34,2.639108419418335,3.6706206798553467,0.8590522408485413
ALSFRS_R_FIXED_9_15M,33,2.692816972732544,3.7073802947998047,0.85695880651474
ALSFRS_R_FIXED_9_15M,20,2.682438850402832,3.693420886993408,0.8560543060302734
ALSFRS_R_FIXED_9_15M,18,2.6415998935699463,3.6162431240081787,0.8618844151496887
ALSFRS_R_FIXED_9_15M,27,2.6703343391418457,3.681420087814331,0.8593594431877136
ALSFRS_R_FIXED_9_15M,9,2.558178663253784,3.4483771324157715,0.8751106858253479
ALSFRS_R_FIXED_9_15M,11,2.5452218055725098,3.4681143760681152,0.8736585974693298
ALSFRS_R_FIXED_9_15M,7,2.5135674476623535,3.388505220413208,0.8794050216674805
ALSFRS_R_FIXED_9_15M,29,2.7563118934631348,3.7964980602264404,0.8488473892211914
ALSFRS_R_FIXED_9_15M,16,2.575333595275879,3.5036604404449463,0.8713832497596741
ALSFRS_R_FIXED_9_15M,42,2.706047773361206,3.70159649848938,0.8567360043525696
ALSFRS_R_FIXED_9_15M,45,2.742374897003174,3.7342422008514404,0.8548628091812134
ALSFRS_R_FIXED_9_15M,6,2.4547781944274902,3.345273494720459,0.8823739886283875
ALSFRS_R_FIXED_9_15M,28,2.660766839981079,3.67642879486084,0.859442949295044
ALSFRS_R_FIXED_9_15M,17,2.582306146621704,3.5253822803497314,0.869929850101471
ALSFRS_R_FIXED_9_15M,1,2.6033830642700195,3.5266287326812744,0.8669310808181763
ALSFRS_R_FIXED_9_15M,10,2.49643611907959,3.369567632675171,0.8815112113952637
ALSFRS_R_FIXED_9_15M,19,2.6258962154388428,3.5692975521087646,0.8668561577796936
ALSFRS_R_FIXED_9_15M,26,2.6730620861053467,3.645085096359253,0.8627588748931885
ALSFRS_R_FIXED_9_15M,8,2.528449058532715,3.4241130352020264,0.8765944242477417
ALSFRS_R_FIXED_9_15M,21,2.6463730335235596,3.638632297515869,0.8615275621414185
ALSFRS_R_FIXED_9_15M,44,2.727271795272827,3.705662727355957,0.8560969233512878
ALSFRS_R_FIXED_9_15M,43,2.699657917022705,3.704172372817993,0.8564503192901611
ALSFRS_R_FIXED_9_15M,38,2.681366205215454,3.678347110748291,0.8590261340141296
ALSFRS_R_FIXED_9_15M,36,2.6721909046173096,3.677788496017456,0.8594818115234375
ALSFRS_R_FIXED_9_15M,31,2.6775429248809814,3.701404094696045,0.8572662472724915
ALSFRS_R_FIXED_9_15M,30,2.694113254547119,3.7089133262634277,0.8572750091552734
ALSFRS_R_FIXED_9_15M,37,2.651548385620117,3.6867892742156982,0.8580238223075867
ALSFRS_R_FIXED_9_15M,39,2.66717267036438,3.6742396354675293,0.8596045970916748
ALSFRS_R_FIXED_9_15M,46,2.7231810092926025,3.718334674835205,0.8556768894195557
ALSFRS_R_FIXED_9_15M,41,2.6863813400268555,3.683525800704956,0.858871579170227
ALSFRS_R_FIXED_9_15M,48,2.7692742347717285,3.7755603790283203,0.8514189720153809
ALSFRS_R_FIXED_9_15M,24,2.6404480934143066,3.653338670730591,0.8608093857765198
ALSFRS_R_FIXED_9_15M,23,2.6444344520568848,3.6232478618621826,0.8632906675338745
ALSFRS_R_FIXED_9_15M,4,2.464617967605591,3.397879123687744,0.8768646121025085
ALSFRS_R_FIXED_9_15M,15,2.6033120155334473,3.5088894367218018,0.8723837733268738
ALSFRS_R_FIXED_9_15M,3,2.7087812423706055,3.660465955734253,0.8581077456474304
ALSFRS_R_FIXED_9_15M,12,2.560920476913452,3.44586181640625,0.8760107159614563
ALSFRS_R_FIXED_9_15M,49,2.7861177921295166,3.8067123889923096,0.84868323802948
ALSFRS_R_FIXED_9_15M,40,2.726005792617798,3.713538885116577,0.8569561839103699
ALSFRS_R_FIXED_9_15M,47,2.7638635635375977,3.742171049118042,0.8551685214042664
ALSFRS_R_FIXED_9_15M,2,2.5570645332336426,3.4805068969726562,0.870711088180542
ALSFRS_R_FIXED_9_15M,13,2.5747175216674805,3.4735336303710938,0.8754838705062866
ALSFRS_R_FIXED_9_15M,5,2.4241721630096436,3.303213357925415,0.8848071098327637
ALSFRS_R_FIXED_9_15M,14,2.579521656036377,3.493582248687744,0.872922956943512
ALSFRS_R_FIXED_9_15M,22,2.6435203552246094,3.6127240657806396,0.8636931777000427
ALSFRS_R_FIXED_9_15M,25,2.6531405448913574,3.6400067806243896,0.861852765083313
ALSFRS_R_FIXED_0_3M,50,2.620164394378662,3.648836374282837,0.7222822904586792
ALSFRS_R_FIXED_0_3M,32,2.51436710357666,3.5144972801208496,0.744538426399231
ALSFRS_R_FIXED_0_3M,35,2.5571181774139404,3.553474187850952,0.7396184802055359
ALSFRS_R_FIXED_0_3M,34,2.5424129962921143,3.516016721725464,0.7430290579795837
ALSFRS_R_FIXED_0_3M,33,2.5183210372924805,3.4872543811798096,0.7489079236984253
ALSFRS_R_FIXED_0_3M,20,2.426781415939331,3.4120166301727295,0.7587888240814209
ALSFRS_R_FIXED_0_3M,18,2.483865261077881,3.351456642150879,0.7674123048782349
ALSFRS_R_FIXED_0_3M,27,2.489647388458252,3.4481139183044434,0.7536274790763855
ALSFRS_R_FIXED_0_3M,9,2.3767447471618652,3.2631893157958984,0.7768859267234802
ALSFRS_R_FIXED_0_3M,11,2.4493253231048584,3.291675329208374,0.7738267183303833
ALSFRS_R_FIXED_0_3M,7,2.3726766109466553,3.246567726135254,0.7793159484863281
ALSFRS_R_FIXED_0_3M,29,2.484280586242676,3.4700162410736084,0.7483118176460266
ALSFRS_R_FIXED_0_3M,16,2.4658985137939453,3.3459737300872803,0.767525315284729
