dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_T2-T3_T4,trial_5,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.2955987453460693,3.2122550010681152,0.8468406796455383
MLP_alsfrs-r_T2-T3_T4,trial_2,2.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.1754517555236816,3.0395326614379883,0.8623682260513306
MLP_alsfrs-r_T2-T3_T4,trial_3,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.251131772994995,3.03635311126709,0.8636980056762695
MLP_alsfrs-r_T2-T3_T4,trial_4,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.307455539703369,3.079533338546753,0.8607968091964722
MLP_alsfrs-r_T2-T3_T4,trial_1,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.175581932067871,3.014219284057617,0.8651402592658997
MLP_alsfrs-r_T2-T3_T4,trial_6,2.0,512.0,0.001,0.0,ReLU,Adam,Huber,2.3011314868927,3.1090314388275146,0.8587417006492615
MLP_alsfrs-r_T2-T3_T4,trial_8,2.0,512.0,0.01,0.0,ReLU,Adam,Huber,2.5629074573516846,3.499509334564209,0.8194151520729065
MLP_alsfrs-r_T2-T3_T4,trial_9,2.0,512.0,0.05,0.0,ReLU,Adam,Huber,7.766238212585449,9.653595924377441,-0.20091556012630463
MLP_alsfrs-r_T2-T3_T4,trial_7,2.0,512.0,0.005,0.0,ReLU,Adam,Huber,2.382187604904175,3.158778667449951,0.8554432392120361
MLP_alsfrs-r_T2-T3_T4,trial_0,2.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.229241132736206,3.0350117683410645,0.8639004230499268
MLP_alsfrs-r_T3_T4,trial_5,1.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.3646841049194336,3.0740482807159424,0.8670223951339722
MLP_alsfrs-r_T3_T4,trial_2,1.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.294362783432007,3.0557737350463867,0.8672998547554016
MLP_alsfrs-r_T3_T4,trial_3,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.274005651473999,3.0702569484710693,0.8648545145988464
MLP_alsfrs-r_T3_T4,trial_4,1.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.3147478103637695,3.031271457672119,0.8706314563751221
MLP_alsfrs-r_T3_T4,trial_1,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.2711336612701416,3.045142412185669,0.8677623867988586
MLP_alsfrs-r_T3_T4,trial_6,1.0,512.0,0.001,1.0,ReLU,Adam,Huber,2.395944833755493,3.0935614109039307,0.865992546081543
MLP_alsfrs-r_T3_T4,trial_8,1.0,512.0,0.01,1.0,ReLU,Adam,Huber,3.0800983905792236,3.6895217895507812,0.8183062076568604
MLP_alsfrs-r_T3_T4,trial_9,1.0,512.0,0.05,1.0,ReLU,Adam,Huber,2.392723798751831,3.083937406539917,0.8676872253417969
MLP_alsfrs-r_T3_T4,trial_7,1.0,512.0,0.005,1.0,ReLU,Adam,Huber,2.9374351501464844,3.746835708618164,0.7957862019538879
MLP_alsfrs-r_T3_T4,trial_0,1.0,512.0,1e-06,1.0,ReLU,Adam,Huber,2.318533182144165,3.083850145339966,0.8644769787788391
MLP_alsfrs-r_T2_T3,trial_5,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.4099791049957275,3.3580970764160156,0.8100260496139526
MLP_alsfrs-r_T2_T3,trial_2,1.0,256.0,1e-05,0.0,ReLU,Adam,Huber,2.442781925201416,3.363893985748291,0.8094425201416016
MLP_alsfrs-r_T2_T3,trial_3,1.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.410433769226074,3.292741298675537,0.815330445766449
MLP_alsfrs-r_T2_T3,trial_4,1.0,256.0,0.0001,0.0,ReLU,Adam,Huber,2.462589740753174,3.3052334785461426,0.8138151168823242
MLP_alsfrs-r_T2_T3,trial_1,1.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.442946434020996,3.359126329421997,0.8099700212478638
MLP_alsfrs-r_T2_T3,trial_6,1.0,256.0,0.001,0.0,ReLU,Adam,Huber,2.4004201889038086,3.349391460418701,0.8090904355049133
MLP_alsfrs-r_T2_T3,trial_8,1.0,256.0,0.01,0.0,ReLU,Adam,Huber,2.433500051498413,3.422288417816162,0.8033761978149414
MLP_alsfrs-r_T2_T3,trial_9,1.0,256.0,0.05,0.0,ReLU,Adam,Huber,2.5617027282714844,3.373317241668701,0.8062641620635986
MLP_alsfrs-r_T2_T3,trial_7,1.0,256.0,0.005,0.0,ReLU,Adam,Huber,2.4063422679901123,3.340489625930786,0.8105020523071289
MLP_alsfrs-r_T2_T3,trial_0,1.0,256.0,1e-06,0.0,ReLU,Adam,Huber,2.5887234210968018,3.4679501056671143,0.8014197945594788
MLP_alsfrs-r_T1-T2-T3_T4,trial_5,3.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.3784406185150146,3.299074172973633,0.8351136445999146
MLP_alsfrs-r_T1-T2-T3_T4,trial_2,3.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.199537992477417,3.00158953666687,0.8660510182380676
MLP_alsfrs-r_T1-T2-T3_T4,trial_3,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.340116262435913,3.2453603744506836,0.8410372734069824
MLP_alsfrs-r_T1-T2-T3_T4,trial_4,3.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.215860366821289,3.093353033065796,0.8552757501602173
MLP_alsfrs-r_T1-T2-T3_T4,trial_1,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.1912550926208496,3.000922203063965,0.8649076819419861
MLP_alsfrs-r_T1-T2-T3_T4,trial_6,3.0,512.0,0.001,0.0,ReLU,Adam,Huber,2.540008068084717,3.266401767730713,0.8451247215270996
MLP_alsfrs-r_T1-T2-T3_T4,trial_8,3.0,512.0,0.01,0.0,ReLU,Adam,Huber,4.523879528045654,5.336057186126709,0.5929766893386841
MLP_alsfrs-r_T1-T2-T3_T4,trial_9,3.0,512.0,0.05,0.0,ReLU,Adam,Huber,7.571966171264648,9.175394058227539,-0.08269556611776352
MLP_alsfrs-r_T1-T2-T3_T4,trial_7,3.0,512.0,0.005,0.0,ReLU,Adam,Huber,3.241486072540283,4.112139701843262,0.7508369088172913
MLP_alsfrs-r_T1-T2-T3_T4,trial_0,3.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.196441411972046,3.0280258655548096,0.8627756237983704
MLP_alsfrs-r_T2-T3-T4_T5,trial_5,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.3441314697265625,3.0883734226226807,0.8681553602218628
MLP_alsfrs-r_T2-T3-T4_T5,trial_2,2.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.363962173461914,3.0917372703552246,0.8682798743247986
MLP_alsfrs-r_T2-T3-T4_T5,trial_3,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.3546879291534424,3.023233652114868,0.8738343119621277
MLP_alsfrs-r_T2-T3-T4_T5,trial_4,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.5804173946380615,3.1453511714935303,0.868606686592102
MLP_alsfrs-r_T2-T3-T4_T5,trial_1,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.3829915523529053,3.122479200363159,0.8668750524520874
MLP_alsfrs-r_T2-T3-T4_T5,trial_6,2.0,512.0,0.001,1.0,ReLU,Adam,Huber,2.6665921211242676,3.4574193954467773,0.8296168446540833
MLP_alsfrs-r_T2-T3-T4_T5,trial_8,2.0,512.0,0.01,1.0,ReLU,Adam,Huber,3.785473346710205,4.3358612060546875,0.7583433985710144
MLP_alsfrs-r_T2-T3-T4_T5,trial_9,2.0,512.0,0.05,1.0,ReLU,Adam,Huber,3.437560558319092,3.9669017791748047,0.7985295057296753
MLP_alsfrs-r_T2-T3-T4_T5,trial_7,2.0,512.0,0.005,1.0,ReLU,Adam,Huber,2.9181478023529053,3.47782564163208,0.8437778949737549
MLP_alsfrs-r_T2-T3-T4_T5,trial_0,2.0,512.0,1e-06,1.0,ReLU,Adam,Huber,2.502302408218384,3.267019510269165,0.8582703471183777
MLP_alsfrs-r_T1-T2_T3,trial_5,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.361640691757202,3.233226776123047,0.8214553594589233
MLP_alsfrs-r_T1-T2_T3,trial_2,2.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.3460166454315186,3.2562081813812256,0.8192881941795349
MLP_alsfrs-r_T1-T2_T3,trial_3,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.4233999252319336,3.25620174407959,0.8174228668212891
MLP_alsfrs-r_T1-T2_T3,trial_4,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.3501834869384766,3.257413625717163,0.8194563984870911
MLP_alsfrs-r_T1-T2_T3,trial_1,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.3952529430389404,3.2725229263305664,0.8163224458694458
