dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
combined_9M,trial_53,2.0,512.0,0.0005348280496426179,0.0,16,sigmoid,Adam,2.708698034286499,3.4569778442382812,0.8476649522781372
combined_9M,trial_65,2.0,512.0,0.00014460115186397558,0.0,16,sigmoid,Adam,2.581057071685791,3.417694568634033,0.8483903408050537
combined_9M,trial_91,2.0,512.0,0.00022755999870167033,0.0,16,sigmoid,Adam,2.5729455947875977,3.36169171333313,0.8558825254440308
combined_9M,trial_62,2.0,512.0,0.0003062914011028765,0.0,16,sigmoid,Adam,2.5499215126037598,3.3640646934509277,0.8536992073059082
combined_9M,trial_31,2.0,512.0,0.00040065928826248125,1.0,32,sigmoid,Adam,2.7937068939208984,3.612922430038452,0.8467251658439636
combined_9M,trial_38,2.0,512.0,5.978372159744232e-05,0.0,16,ReLU,Adam,2.7923390865325928,3.6843767166137695,0.8277115821838379
combined_9M,trial_63,2.0,512.0,0.00023167273957224756,0.0,16,sigmoid,Adam,2.56032133102417,3.392411231994629,0.8512289524078369
combined_9M,trial_64,2.0,512.0,0.00022469231445945373,0.0,16,sigmoid,Adam,2.5849034786224365,3.3698906898498535,0.8535071611404419
combined_9M,trial_55,2.0,512.0,0.000748427918152868,0.0,32,sigmoid,Adam,2.7474327087402344,3.542966604232788,0.8524879813194275
combined_9M,trial_15,3.0,512.0,0.0002904872404907082,1.0,32,sigmoid,Adam,2.984832525253296,3.8885302543640137,0.8230569958686829
combined_9M,trial_12,2.0,512.0,0.00033242664059569105,0.0,32,sigmoid,Adam,2.6704792976379395,3.4700992107391357,0.8589036464691162
combined_9M,trial_24,2.0,512.0,0.0009997043258366052,1.0,32,sigmoid,Adam,2.6815662384033203,3.5098204612731934,0.8539144396781921
combined_9M,trial_2,1.0,512.0,0.00015118615604698782,1.0,16,sigmoid,Adam,2.471545457839966,3.191150426864624,0.8697624206542969
combined_9M,trial_41,2.0,512.0,0.0009953656434038445,0.0,32,sigmoid,Adam,2.7021610736846924,3.589336395263672,0.8477593064308167
combined_9M,trial_22,2.0,512.0,0.0008455401664325996,1.0,128,sigmoid,Adam,2.795039653778076,3.610553503036499,0.8583111763000488
combined_9M,trial_13,2.0,512.0,0.00026479481974371003,0.0,32,sigmoid,Adam,2.601722240447998,3.4372875690460205,0.8599684238433838
combined_9M,trial_14,3.0,512.0,0.00027127875586849503,1.0,32,sigmoid,Adam,3.019995927810669,3.866941213607788,0.8260136246681213
combined_9M,trial_71,2.0,512.0,0.00020732535438314852,0.0,16,sigmoid,Adam,2.5823564529418945,3.417987823486328,0.8497474193572998
combined_9M,trial_3,3.0,256.0,0.0007462882034463036,0.0,128,tanh,Adam,3.089024782180786,4.313530921936035,0.7957260608673096
combined_9M,trial_82,2.0,512.0,0.00021445288278781964,0.0,16,sigmoid,Adam,2.6043648719787598,3.392502546310425,0.8511173725128174
combined_9M,trial_76,2.0,512.0,0.0002945702388243512,0.0,16,sigmoid,Adam,2.814141273498535,3.5520315170288086,0.8368673324584961
combined_9M,trial_4,2.0,32.0,3.217503649369229e-05,0.0,32,ReLU,Adam,3.4054019451141357,4.3788957595825195,0.7776404619216919
combined_9M,trial_32,2.0,512.0,0.00036377545143186405,0.0,32,sigmoid,Adam,2.6769304275512695,3.5024211406707764,0.8558211922645569
combined_9M,trial_50,3.0,512.0,0.00023319628717064186,0.0,16,sigmoid,Adam,2.7452361583709717,3.499234676361084,0.8425336480140686
combined_9M,trial_68,2.0,512.0,0.00021292159711352519,0.0,16,sigmoid,Adam,2.595072031021118,3.3945789337158203,0.8529508113861084
combined_9M,trial_57,2.0,512.0,0.00024215958903366455,0.0,16,sigmoid,Adam,2.5739474296569824,3.3683979511260986,0.8543354272842407
combined_9M,trial_61,2.0,512.0,0.00033604118764501224,0.0,16,sigmoid,Adam,2.647395610809326,3.429145336151123,0.847714364528656
combined_9M,trial_92,2.0,512.0,0.0002844651074082304,0.0,16,sigmoid,Adam,2.6613147258758545,3.4007279872894287,0.8513235449790955
combined_9M,trial_34,2.0,512.0,8.597473537731846e-05,0.0,16,sigmoid,Adam,2.5491960048675537,3.3917245864868164,0.8510836362838745
combined_9M,trial_94,2.0,512.0,0.00024095720849968136,0.0,16,sigmoid,Adam,2.627298593521118,3.4672698974609375,0.8444380760192871
combined_9M,trial_56,2.0,512.0,0.0004430933179020723,0.0,32,ReLU,Adam,3.009993314743042,3.9286489486694336,0.820537269115448
combined_9M,trial_51,3.0,512.0,0.00021992228099854247,0.0,16,sigmoid,Adam,2.793598175048828,3.5478692054748535,0.838725209236145
combined_9M,trial_73,2.0,512.0,0.0002734721018855524,0.0,16,sigmoid,Adam,2.6445088386535645,3.4398014545440674,0.8468383550643921
combined_9M,trial_1,1.0,64.0,1.8125976883998956e-05,0.0,16,sigmoid,Adam,4.83939790725708,7.0457329750061035,0.33476555347442627
combined_9M,trial_74,2.0,512.0,0.00020300279967902114,0.0,16,sigmoid,Adam,2.711296319961548,3.4718716144561768,0.8448936939239502
combined_9M,trial_6,2.0,512.0,0.0001335332909229287,0.0,32,sigmoid,Adam,2.5909194946289062,3.417754888534546,0.8617162108421326
combined_9M,trial_42,2.0,512.0,0.0006997597330975221,0.0,64,sigmoid,Adam,2.672935962677002,3.549269914627075,0.859062910079956
combined_9M,trial_89,2.0,512.0,0.0003830309812497116,0.0,16,sigmoid,Adam,2.6781415939331055,3.4881274700164795,0.8436799645423889
combined_9M,trial_11,2.0,64.0,0.0005360822757424055,0.0,64,tanh,Adam,3.566175937652588,5.094198703765869,0.7089108228683472
combined_9M,trial_29,1.0,256.0,0.0006145856536105605,1.0,16,ReLU,Adam,2.9026286602020264,3.8037426471710205,0.8141395449638367
combined_9M,trial_20,2.0,128.0,0.000869953422777992,1.0,128,ReLU,Adam,2.9720799922943115,3.8703055381774902,0.838082492351532
combined_9M,trial_18,2.0,512.0,0.000437046888729514,1.0,32,sigmoid,Adam,2.6865763664245605,3.531918525695801,0.8543221354484558
combined_9M,trial_9,1.0,64.0,0.0005010646372548325,0.0,64,tanh,Adam,3.9171695709228516,5.433155059814453,0.6668949127197266
combined_9M,trial_43,2.0,512.0,0.00045145800634054643,0.0,64,sigmoid,Adam,2.6866283416748047,3.562913656234741,0.857527494430542
combined_9M,trial_88,2.0,512.0,0.00026149702861565164,0.0,16,sigmoid,Adam,2.590731143951416,3.387098789215088,0.8513200879096985
combined_9M,trial_81,2.0,512.0,0.00025988852165622305,0.0,16,sigmoid,Adam,2.6925079822540283,3.4335529804229736,0.8497524857521057
combined_9M,trial_72,2.0,512.0,0.00020906699789689743,0.0,16,sigmoid,Adam,2.602614164352417,3.3640799522399902,0.8540763854980469
combined_9M,trial_0,1.0,256.0,1.4947478722080484e-05,0.0,16,ReLU,Adam,3.384010076522827,4.3971686363220215,0.7458906769752502
combined_9M,trial_19,2.0,512.0,0.0009032965139112912,1.0,128,sigmoid,Adam,2.7543814182281494,3.5568721294403076,0.8630866408348083
combined_9M,trial_26,2.0,512.0,0.000888704951211845,1.0,128,sigmoid,Adam,2.7823002338409424,3.6207869052886963,0.8575909733772278
combined_3M,trial_54,2.0,256.0,0.00033047939220669806,1.0,32,sigmoid,Adam,2.470681667327881,3.3255867958068848,0.8410103917121887
