Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T1-T2-T3-T4_T5/trial_31,2,1 024,0,ReLU,Huber,0,Adam,"2,3365",2.3365,924,T1-T2-T3-T4_T5,trial_31
T1-T2-T3-T4_T5/trial_24,3,1 024,0,ReLU,Huber,1,Adam,"2,3477",2.3477,2 464,T1-T2-T3-T4_T5,trial_24
T1-T2-T3-T4_T5/trial_43,1,1 024,0,ReLU,Huber,0,Adam,"2,3604",2.3604,1 232,T1-T2-T3-T4_T5,trial_43
T1-T2-T3-T4_T5/trial_44,1,1 024,"0,0006",ReLU,Huber,0,Adagrad,"2,367",2.367,1 694,T1-T2-T3-T4_T5,trial_44
T1-T2-T3-T4_T5/trial_28,3,1 024,0,ReLU,Huber,0,Adam,"2,3814",2.3814,440,T1-T2-T3-T4_T5,trial_28
T1-T2-T3_T4/trial_15,4,128,0,ReLU,MAE,0,Adam,"2,1858",2.1858,3 210,T1-T2-T3_T4,trial_15
T1-T2-T3_T4/trial_14,4,128,"0,0001",ReLU,MAE,1,Adam,"2,1952",2.1952,5 136,T1-T2-T3_T4,trial_14
T1-T2-T3_T4/trial_8,4,128,"0,0001",ReLU,MAE,0,Adam,"2,219",2.219,2 160,T1-T2-T3_T4,trial_8
T1-T2-T3_T4/trial_7,5,256,"0,0001",ReLU,MAE,1,RMSprop,"2,2213",2.2213,2 568,T1-T2-T3_T4,trial_7
T1-T2-T3_T4/trial_10,5,128,0,ReLU,MAE,0,Adam,"2,2233",2.2233,5 778,T1-T2-T3_T4,trial_10
T1-T2-T3_T5/trial_3,5,512,"0,0001",ReLU,Huber,1,Adam,"3,4069",3.4069,2 370,T1-T2-T3_T5,trial_3
T1-T2-T3_T5/trial_40,2,256,0,ReLU,Huber,1,RMSprop,"3,426",3.426,4 108,T1-T2-T3_T5,trial_40
T1-T2-T3_T5/trial_44,1,256,0,ReLU,Huber,1,RMSprop,"3,4374",3.4374,5 530,T1-T2-T3_T5,trial_44
T1-T2-T3_T5/trial_49,1,256,"0,0001",ReLU,Huber,1,RMSprop,"3,4404",3.4404,1 817,T1-T2-T3_T5,trial_49
T1-T2-T3_T5/trial_2,3,128,0,ReLU,MSE,1,Adam,"3,4408",3.4408,2 000,T1-T2-T3_T5,trial_2
T1-T2-T4_T5/trial_49,5,256,"0,0028",ReLU,MSE,1,Adagrad,"2,457",2.457,1 716,T1-T2-T4_T5,trial_49
T1-T2-T4_T5/trial_37,1,128,"0,0002",ReLU,Huber,1,Adam,"2,4681",2.4681,1 989,T1-T2-T4_T5,trial_37
T1-T2-T4_T5/trial_29,2,32,"0,0001",ReLU,MSE,0,RMSprop,"2,4706",2.4706,3 432,T1-T2-T4_T5,trial_29
T1-T2-T4_T5/trial_15,1,32,"0,0007",ReLU,MSE,0,Adam,"2,4721",2.4721,1 220,T1-T2-T4_T5,trial_15
T1-T2-T4_T5/trial_17,1,1 024,"0,0004",ReLU,Huber,0,Adam,"2,4732",2.4732,540,T1-T2-T4_T5,trial_17
T1-T2_T3/trial_17,1,512,"0,0003",ReLU,Huber,1,Adam,"2,3512",2.3512,476,T1-T2_T3,trial_17
T1-T2_T3/trial_32,1,256,"0,0006",ReLU,Huber,1,Adagrad,"2,3766",2.3766,2 584,T1-T2_T3,trial_32
T1-T2_T3/trial_34,1,256,"0,0014",ReLU,Huber,0,Adagrad,"2,3772",2.3772,782,T1-T2_T3,trial_34
T1-T2_T3/trial_15,1,512,"0,0002",ReLU,Huber,1,Adam,"2,3777",2.3777,663,T1-T2_T3,trial_15
T1-T2_T3/trial_5,3,64,"0,0001",ReLU,MAE,1,Adam,"2,38",2.38,4 224,T1-T2_T3,trial_5
T1-T2_T4/trial_38,3,1 024,"0,0001",ReLU,MSE,0,Adam,"3,413",3.413,336,T1-T2_T4,trial_38
T1-T2_T4/trial_15,4,512,0,ReLU,Huber,0,Adam,"3,4248",3.4248,1 232,T1-T2_T4,trial_15
T1-T2_T4/trial_29,2,128,"0,0001",ReLU,MSE,1,RMSprop,"3,4372",3.4372,1 635,T1-T2_T4,trial_29
T1-T2_T4/trial_13,2,1 024,"0,0005",ReLU,Huber,1,Adam,"3,4457",3.4457,238,T1-T2_T4,trial_13
T1-T2_T4/trial_42,3,64,0,ReLU,Huber,0,Adam,"3,4533",3.4533,2 492,T1-T2_T4,trial_42
T1-T2_T5/trial_37,3,512,"0,0032",ReLU,Huber,1,Adagrad,"4,3934",4.3934,1 840,T1-T2_T5,trial_37
