dataset,fold,mae,rmse,r2
_12_27M,9,2.911539316177368,3.903567314147949,0.8411495089530945
_12_27M,7,2.852635383605957,3.702522039413452,0.8570907115936279
_12_27M,6,2.9957406520843506,3.6599159240722656,0.8603607416152954
_12_27M,1,2.7049264907836914,3.728607177734375,0.8550699353218079
_12_27M,10,3.159404993057251,4.1545515060424805,0.8200658559799194
_12_27M,8,2.915470838546753,3.9030072689056396,0.8411951065063477
_12_27M,4,2.7779290676116943,3.8051016330718994,0.8490623235702515
_12_27M,3,2.6969738006591797,3.5307016372680664,0.8700466752052307
_12_27M,2,3.294828176498413,4.338706016540527,0.8037607669830322
_12_27M,5,3.1860768795013428,4.194422245025635,0.8165956735610962
_12_24M,9,3.07088041305542,4.668054580688477,0.7623410224914551
_12_24M,7,4.587141513824463,6.795391082763672,0.42599210143089294
_12_24M,6,2.7567248344421387,3.807049512863159,0.8559709787368774
_12_24M,1,4.069835662841797,6.477655410766602,0.4505845308303833
_12_24M,10,3.087900400161743,4.2755255699157715,0.8317810893058777
_12_24M,8,3.9507524967193604,5.103477954864502,0.7247849106788635
_12_24M,4,3.865715742111206,7.787628173828125,0.028784507885575294
_12_24M,3,3.233956813812256,4.222123622894287,0.8194342851638794
_12_24M,2,2.598464012145996,3.992384910583496,0.8453212976455688
_12_24M,5,3.9812076091766357,8.027932167053223,0.03122035227715969
_15_27M,9,3.1945736408233643,4.495009899139404,0.8188063502311707
_15_27M,7,2.964625358581543,3.84458065032959,0.8701935410499573
_15_27M,6,3.5673344135284424,4.429697036743164,0.8274804949760437
_15_27M,1,3.6334340572357178,4.504445552825928,0.8192477226257324
_15_27M,10,3.1271679401397705,4.155025959014893,0.8488426208496094
_15_27M,8,2.859484910964966,3.767716407775879,0.8749497532844543
_15_27M,4,3.2001841068267822,4.571141242980957,0.8150270581245422
_15_27M,3,2.8704216480255127,4.153696537017822,0.8460490703582764
_15_27M,2,2.9633026123046875,4.197297096252441,0.842547595500946
_15_27M,5,2.761300802230835,3.615518569946289,0.8848947882652283
_15_24M,9,2.8988659381866455,4.226926326751709,0.7832430601119995
_15_24M,7,2.9098105430603027,4.218050956726074,0.7798694372177124
_15_24M,6,2.9149067401885986,4.317192554473877,0.7730900645256042
_15_24M,1,2.9241487979888916,4.195279598236084,0.7794316411018372
_15_24M,10,2.9254822731018066,4.278017520904541,0.7779776453971863
_15_24M,8,3.027862310409546,4.400252342224121,0.7662831544876099
_15_24M,4,2.9050116539001465,4.172048568725586,0.7806843519210815
_15_24M,3,2.8316922187805176,4.231484413146973,0.7794591784477234
_15_24M,2,2.9907615184783936,4.411962985992432,0.7605681419372559
_15_24M,5,2.881462812423706,4.187877655029297,0.7819902300834656
_9_18M,9,2.674044609069824,3.2048943042755127,0.8777462244033813
_9_18M,7,2.462445020675659,2.975308656692505,0.8944820761680603
_9_18M,6,2.399122953414917,2.8444576263427734,0.897948682308197
_9_18M,1,3.032100200653076,3.783156633377075,0.827784538269043
_9_18M,10,2.5975005626678467,3.082693099975586,0.8868077993392944
_9_18M,8,2.5248868465423584,3.048645496368408,0.8890486359596252
_9_18M,4,2.4234070777893066,2.985952854156494,0.8909412026405334
_9_18M,3,2.3136379718780518,2.8076937198638916,0.9021190404891968
_9_18M,2,2.374533176422119,2.976452589035034,0.8894742131233215
_9_18M,5,2.288649797439575,2.8172788619995117,0.9026757478713989
_18_21M,9,2.596348762512207,3.5599379539489746,0.8218868374824524
_18_21M,7,2.79252028465271,4.410708904266357,0.6848955154418945
_18_21M,6,2.707143545150757,3.8239500522613525,0.7913804054260254
_18_21M,1,2.7052528858184814,4.413552761077881,0.6798853278160095
_18_21M,10,3.055704355239868,5.46054220199585,0.4056565463542938
_18_21M,8,2.711798906326294,4.460631847381592,0.6856915950775146
_18_21M,4,2.62809157371521,3.837618350982666,0.7858074307441711
_18_21M,3,3.179196834564209,6.5711669921875,-0.0003500404709484428
_18_21M,2,2.8448874950408936,3.4570577144622803,0.8385017514228821
_18_21M,5,2.577218770980835,4.069900989532471,0.7536214590072632
_21_30M,9,2.400853395462036,3.0173096656799316,0.8060667514801025
_21_30M,7,2.195690393447876,2.8310773372650146,0.831271231174469
_21_30M,6,2.213489294052124,2.81069016456604,0.8376380801200867
_21_30M,1,3.0783910751342773,3.759345054626465,0.7124426364898682
_21_30M,10,2.217604875564575,2.84125018119812,0.8281075954437256
_21_30M,8,2.213949680328369,2.8136658668518066,0.835195779800415
_21_30M,4,3.050081491470337,3.724740743637085,0.7198341488838196
_21_30M,3,2.224581241607666,2.9295504093170166,0.8252995610237122
_21_30M,2,2.3967607021331787,2.9983081817626953,0.8296122550964355
_21_30M,5,2.6211161613464355,3.2727746963500977,0.7748352885246277
_9_15M,9,2.596885919570923,3.2622320652008057,0.8414410948753357
_9_15M,7,2.6194827556610107,3.2922134399414062,0.8389614224433899
_9_15M,6,2.612172842025757,3.2490170001983643,0.8432797789573669
_9_15M,1,2.678708076477051,3.2663135528564453,0.8363543152809143
_9_15M,10,2.5740466117858887,3.2591865062713623,0.8424384593963623
_9_15M,8,2.6467227935791016,3.3069093227386475,0.8389011025428772
_9_15M,4,2.6229002475738525,3.3198599815368652,0.8369142413139343
_9_15M,3,2.570359945297241,3.19486665725708,0.8482075333595276
_9_15M,2,2.6820521354675293,3.307447910308838,0.8327506184577942
_9_15M,5,2.5942118167877197,3.2068049907684326,0.8474916815757751
_27_30M,9,2.280125379562378,2.8667237758636475,0.8753410577774048
_27_30M,7,2.2478153705596924,2.916440486907959,0.8709374666213989
_27_30M,6,2.2671802043914795,2.9357376098632812,0.8693327903747559
_27_30M,1,2.6302974224090576,3.0668704509735107,0.8520495295524597
_27_30M,10,2.483837127685547,3.1952288150787354,0.8442884087562561
_27_30M,8,2.315420389175415,2.877365827560425,0.8741009831428528
_27_30M,4,2.396306276321411,2.927116870880127,0.8682861924171448
_27_30M,3,2.2574450969696045,2.8962154388427734,0.8722696304321289
_27_30M,2,2.271639347076416,2.9338488578796387,0.8695794939994812
_27_30M,5,2.3074138164520264,2.9195380210876465,0.8705680966377258
_9_21M,9,3.270477771759033,4.17832088470459,0.6923317909240723
_9_21M,7,3.2759673595428467,4.113771438598633,0.702446460723877
_9_21M,6,3.510566234588623,4.219204425811768,0.6885911226272583
_9_21M,1,3.450608491897583,4.554688453674316,0.6474748849868774
_9_21M,10,3.3064804077148438,4.156866550445557,0.6931411027908325
_9_21M,8,3.2801461219787598,4.224477291107178,0.6918150186538696
_9_21M,4,3.3187096118927,4.034840106964111,0.7198097705841064
_9_21M,3,3.2226853370666504,4.255493640899658,0.6819370985031128
_9_21M,2,3.51214337348938,4.185695171356201,0.6991380453109741
_9_21M,5,3.1744630336761475,4.113471984863281,0.7042003870010376
_18_30M,9,3.033764362335205,3.8348073959350586,0.7824782133102417
_18_30M,7,3.0986990928649902,3.8121349811553955,0.7888111472129822
_18_30M,6,3.3369455337524414,4.08985710144043,0.7583073377609253
_18_30M,1,3.624563217163086,4.4201459884643555,0.7245093584060669
_18_30M,10,3.0857961177825928,3.7874536514282227,0.7875539064407349
_18_30M,8,2.986680269241333,3.699251890182495,0.7984286546707153
_18_30M,4,2.8892557621002197,3.7171149253845215,0.7962546944618225
_18_30M,3,3.2355968952178955,4.015034198760986,0.7714030146598816
_18_30M,2,3.417879581451416,4.192190647125244,0.7482890486717224
_18_30M,5,3.3341453075408936,4.414833068847656,0.7045530676841736
_24_30M,9,2.5265982151031494,3.195528745651245,0.8617489337921143
_24_30M,7,2.5234603881835938,3.155233860015869,0.8657723665237427
_24_30M,6,3.0160346031188965,3.7833611965179443,0.8079097270965576
_24_30M,1,2.682692289352417,3.5614123344421387,0.8311365246772766
_24_30M,10,2.7249839305877686,3.4273171424865723,0.8416895866394043
_24_30M,8,2.6595025062561035,3.24971866607666,0.856152355670929
_24_30M,4,2.65847110748291,3.356182813644409,0.8516311049461365
_24_30M,3,2.6721408367156982,3.2661325931549072,0.8527756333351135
_24_30M,2,2.7210211753845215,3.266535997390747,0.8558521270751953
_24_30M,5,2.6340465545654297,3.3005728721618652,0.8562802672386169
_15_30M,9,2.3404321670532227,3.054515838623047,0.91148442029953
_15_30M,7,2.1262876987457275,2.7021522521972656,0.9301398396492004
_15_30M,6,2.0949509143829346,2.805631637573242,0.9220216870307922
_15_30M,1,3.4856793880462646,4.146691799163818,0.8231359124183655
_15_30M,10,2.127790927886963,2.6056878566741943,0.9354093670845032
_15_30M,8,2.3149192333221436,2.7488746643066406,0.9245789647102356
_15_30M,4,2.683459520339966,3.152587890625,0.9002135396003723
_15_30M,3,2.193103551864624,3.147679090499878,0.9027040600776672
_15_30M,2,2.2735486030578613,3.251023530960083,0.8950778841972351
_15_30M,5,2.20632266998291,2.83076548576355,0.9193876385688782
_12_21M,9,3.4592232704162598,5.886906147003174,0.24597063660621643
_12_21M,7,2.4110641479492188,3.4484200477600098,0.8588353991508484
_12_21M,6,3.2476680278778076,5.147797107696533,0.4954747259616852
_12_21M,1,4.188448905944824,7.23290491104126,-0.11014795303344727
_12_21M,10,3.0374743938446045,4.520066261291504,0.6896072626113892
_12_21M,8,2.629340410232544,3.52921986579895,0.8506946563720703
_12_21M,4,3.3299484252929688,5.255634784698486,0.5180322527885437
_12_21M,3,3.482903003692627,6.249818325042725,0.08686999976634979
_12_21M,2,2.7518982887268066,3.795891284942627,0.8310197591781616
_12_21M,5,2.4062609672546387,3.408560276031494,0.8576048016548157
_12_15M,9,2.5858864784240723,3.2197654247283936,0.8226938247680664
_12_15M,7,2.557823896408081,3.223189115524292,0.8226498365402222
_12_15M,6,2.539315700531006,3.2109007835388184,0.8245491981506348
_12_15M,1,2.6780643463134766,3.4620773792266846,0.7966271638870239
_12_15M,10,2.5823981761932373,3.2551796436309814,0.8209995031356812
_12_15M,8,2.560275077819824,3.22841477394104,0.8219260573387146
_12_15M,4,2.7051327228546143,3.494472026824951,0.7922664284706116
_12_15M,3,2.6882729530334473,3.327120542526245,0.8086075782775879
_12_15M,2,2.5843005180358887,3.306912422180176,0.8136934041976929
_12_15M,5,2.609410524368286,3.2671988010406494,0.818753182888031
_6_15M,9,2.1633095741271973,2.873636484146118,0.891066312789917
_6_15M,7,2.470588207244873,3.213226795196533,0.8492045402526855
_6_15M,6,2.544410467147827,3.4202866554260254,0.8525872826576233
_6_15M,1,2.5752086639404297,3.1533749103546143,0.8694184422492981
_6_15M,10,2.451859951019287,3.3099985122680664,0.8551753163337708
_6_15M,8,2.946560859680176,5.418983459472656,0.500372588634491
_6_15M,4,3.63476300239563,4.935784339904785,0.6779048442840576
_6_15M,3,2.5133821964263916,3.3221986293792725,0.838010311126709
_6_15M,2,3.1294057369232178,5.165841102600098,0.5927286744117737
_6_15M,5,2.2432515621185303,2.7374792098999023,0.8978742361068726
_15_21M,9,2.6596872806549072,3.348177194595337,0.8608642816543579
_15_21M,7,2.950956106185913,3.7978715896606445,0.8227794170379639
_15_21M,6,2.559286594390869,3.417719841003418,0.8528794646263123
_15_21M,1,2.6565492153167725,3.3906376361846924,0.8548499941825867
_15_21M,10,3.278740644454956,3.917370080947876,0.8099907040596008
_15_21M,8,2.4181418418884277,3.148414134979248,0.8760725259780884
_15_21M,4,2.331097364425659,3.112943410873413,0.8773708939552307
_15_21M,3,2.6369407176971436,3.2894694805145264,0.8654074668884277
_15_21M,2,2.592141628265381,3.324280261993408,0.8614622950553894
_15_21M,5,2.634033679962158,4.48682165145874,0.6893381476402283
_18_24M,9,3.0364325046539307,4.473114013671875,0.707440972328186
_18_24M,7,3.0683631896972656,4.5487380027771,0.696864664554596
_18_24M,6,3.0835986137390137,4.5708794593811035,0.6943711638450623
_18_24M,1,3.105379819869995,4.559385776519775,0.6930962800979614
_18_24M,10,3.081437349319458,4.504751205444336,0.7038794159889221
_18_24M,8,3.2382967472076416,4.703861713409424,0.6777926683425903
_18_24M,4,2.974382162094116,4.458346843719482,0.7122824788093567
_18_24M,3,2.980592966079712,4.487004280090332,0.7085381150245667
_18_24M,2,3.0105841159820557,4.462997913360596,0.7097582817077637
_18_24M,5,3.050358295440674,4.520812511444092,0.7009536027908325
_12_18M,9,2.5853655338287354,3.415787696838379,0.828446090221405
_12_18M,7,2.662078619003296,3.463198661804199,0.8241437077522278
_12_18M,6,2.49176025390625,3.2791600227355957,0.8465331792831421
_12_18M,1,3.7840471267700195,4.319560527801514,0.724918782711029
_12_18M,10,2.71850848197937,3.3844316005706787,0.8339777588844299
_12_18M,8,2.7984020709991455,3.5650227069854736,0.81873619556427
_12_18M,4,2.531893491744995,3.3510100841522217,0.8387339115142822
_12_18M,3,3.8410723209381104,4.413250923156738,0.7133803367614746
_12_18M,2,2.8128738403320312,3.52901554107666,0.8162602186203003
_12_18M,5,2.637594699859619,3.3643441200256348,0.835565984249115
_6_18M,9,3.167145013809204,3.9556891918182373,0.7331360578536987
_6_18M,7,2.999509811401367,3.8282012939453125,0.7434095144271851
_6_18M,6,3.0515270233154297,3.7779955863952637,0.7543609738349915
_6_18M,1,2.7216570377349854,3.415520668029785,0.7910777926445007
_6_18M,10,3.1063265800476074,3.8753137588500977,0.7408623099327087
_6_18M,8,3.0407025814056396,3.7775516510009766,0.7530544400215149
_6_18M,4,2.971226930618286,3.664576292037964,0.7597517967224121
_6_18M,3,3.0461418628692627,3.74196195602417,0.7553297877311707
_6_18M,2,2.9311370849609375,3.5692012310028076,0.7724130153656006
_6_18M,5,3.031007766723633,3.7780091762542725,0.7506939172744751
