dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.6090880393981934,2.572131861872281,2.646044216924106,0.059625354385413845,3.2995230913162232,3.2363978116275924,3.362648371004854,0.10184676619961142,0.8142766177654266,0.8071236869710008,0.8214295485598524,0.011540588395889435
_12_18M,2.8863596439361574,2.576954870258779,3.195764417613536,0.4991958182395036,3.6084781885147095,3.3550830171976656,3.8618733598317534,0.40882953543389144,0.8080696165561676,0.7784298866694281,0.8377093464429071,0.0478209467725823
_12_21M,3.09442298412323,2.7464189056654678,3.442427062580992,0.5614722055890127,4.847521901130676,4.021818689190312,5.673225113071041,1.3321953168613727,0.5323961541056633,0.3135056814379332,0.7512866267733934,0.35315941415350016
_12_24M,3.5202579498291016,3.114299417827818,3.926216481830385,0.6549763248481681,5.515722298622132,4.516833251218474,6.51461134602579,1.6116145508119697,0.5776215076446534,0.374467759302443,0.7807752559868637,0.3277696734500207
_12_27M,2.9495525598526,2.8211227026373202,3.07798241706788,0.20720962671963963,3.892110276222229,3.730122659194015,4.054097893250443,0.26135195028175073,0.8414397299289703,0.8281157023983226,0.8547637574596181,0.021497078879405985
_15_18M,2.6792370557785032,2.606001691667132,2.7524724198898745,0.11815844686922759,3.5352837324142454,3.4747542114418577,3.595813253386633,0.0976587509957527,0.7558072328567504,0.7475186011241683,0.7640958645893325,0.01337293620474856
_15_21M,2.6717575073242186,2.5053496086546154,2.8381654059938217,0.26848366348900476,3.5233705282211303,3.2602720763107325,3.786468980131528,0.4244848759699674,0.8371015191078186,0.8022611509478067,0.8719418872678305,0.056211692808391577
_15_24M,2.9210004806518555,2.887201498721526,2.954799462582185,0.0545315130075077,4.2639092922210695,4.210432129665405,4.317386454776734,0.08628042677498537,0.7762596905231476,0.7716711398026611,0.7808482412436341,0.007403199712216294
_15_27M,3.114182949066162,2.931372827304168,3.2969930708281563,0.2949471245411302,4.173412895202636,3.9645361606369955,4.382289629768278,0.33700317930910545,0.8448038995265961,0.8292066149690783,0.8604011840841138,0.025164767609963067
_15_30M,2.384649467468262,2.1228381793006403,2.6464607556358835,0.42240815701651807,3.044561004638672,2.7689347870090693,3.3201872222682747,0.4446972604932657,0.906415331363678,0.8865050649556437,0.9263255977717123,0.03212336258679993
_18_21M,2.7798163414001467,2.657029894579513,2.90260278822078,0.1981045090573173,4.406506776809692,3.8150981451890438,4.997915408430341,0.9541828080636369,0.6446976828301558,0.4846630257878208,0.8047323398724908,0.25820103102943076
_18_24M,3.0629425764083864,3.0160229264037692,3.1098622264130036,0.0757004903227143,4.528989171981811,4.483474079052388,4.574504264911234,0.07343436814857265,0.7004977643489838,0.694062602108942,0.7069329265890256,0.010382535607777252
_18_27M,2.7764951467514036,2.556667591316894,2.996322702185913,0.3546713100203958,3.7191333055496214,3.4135607789341433,4.0247058321650995,0.4930128441210891,0.7448758125305176,0.6780766593112534,0.8116749657497818,0.10777421935889997
_18_30M,3.2043326139450072,3.064427740067001,3.3442374878230137,0.22572349857810908,3.9982823848724367,3.828912929180681,4.167651840564192,0.2732618602290389,0.7660588443279266,0.74632576930605,0.7857919193498032,0.03183748076944239
_21_24M,2.4316118001937865,2.3207147883339743,2.542508812053599,0.1789220118284244,3.1891364812850953,3.0705448264598565,3.307728136110334,0.19133660241645545,0.8207190871238709,0.8071370793275947,0.834301094920147,0.02191330603795753
_21_27M,2.1874799966812133,2.06678174841457,2.3081782449478565,0.19473539495666467,2.880309534072876,2.7668053799734773,2.993813688172275,0.1831283932881827,0.8475462555885315,0.833436156209927,0.861656354967136,0.022765332677406644
_21_30M,2.4612518310546876,2.2476019205107938,2.6749017415985814,0.34470425469894284,3.0998712301254274,2.8729774811825144,3.3267649790683405,0.3660719558745034,0.8000303328037262,0.7703031902715589,0.8297574753358934,0.04796197894393562
_24_27M,2.367061185836792,2.269597572651101,2.464524799022483,0.15724847278387896,3.308469557762146,3.19203676665727,3.424902348867022,0.18785347664387797,0.6053684711456299,0.5765785758935681,0.6341583663976916,0.04644981765009314
_24_30M,2.6818951606750487,2.5972914552112405,2.766498866138857,0.1365002080386056,3.356199622154236,3.2381606207045897,3.474238623603882,0.19044494760857075,0.8480948626995086,0.8374215083273695,0.8587682170716477,0.017220464331671508
_27_30M,2.345748043060303,2.268903734118454,2.4225923520021517,0.12398114361116602,2.9535086154937744,2.8909050006134587,3.01611223037409,0.10100510856214626,0.8666753649711609,0.8603815223821527,0.8729692075601692,0.010154529497875996
_6_15M,2.667274022102356,2.3905721442964194,2.9439758999082923,0.4464327381185477,3.7550810098648073,3.1312053950526,4.378956624677015,1.006565265022682,0.7824342548847198,0.6955319254221324,0.8693365843473073,0.14020882401843512
_6_18M,3.0066381692886353,2.932362051297597,3.0809142872796733,0.11983760643218876,3.738402080535889,3.6421521531893872,3.8346520078823905,0.15529030359217924,0.7554089605808259,0.7451601249754648,0.7656577961861869,0.01653554279467932
