dataset,fold,mae,rmse,r2
_0_9M,9,3.0379908084869385,5.076416015625,0.4059350788593292
_0_9M,7,2.655787467956543,3.9613864421844482,0.7177854180335999
_0_9M,6,2.569809913635254,3.42374849319458,0.8095139265060425
_0_9M,1,5.231791973114014,12.194053649902344,-5.803796291351318
_0_9M,10,3.004951238632202,5.213197708129883,0.2209741473197937
_0_9M,8,2.60217022895813,3.8427188396453857,0.7441195249557495
_0_9M,4,3.0055739879608154,5.014392852783203,0.33837026357650757
_0_9M,3,3.374066114425659,6.460354804992676,-0.35051727294921875
_0_9M,2,4.129672050476074,8.742748260498047,-3.1736128330230713
_0_9M,5,2.6780457496643066,3.8157434463500977,0.7443699240684509
_0_3M,9,2.6327850818634033,3.997947931289673,0.28268665075302124
_0_3M,7,2.4729297161102295,3.3069560527801514,0.7470952272415161
_0_3M,6,2.434419870376587,3.2378270626068115,0.7567846179008484
_0_3M,1,2.436006546020508,3.2143237590789795,0.7640178799629211
_0_3M,10,2.4756758213043213,3.326853036880493,0.7338196635246277
_0_3M,8,2.470550537109375,3.2742652893066406,0.7481822371482849
_0_3M,4,2.710714817047119,4.100374698638916,0.3216498792171478
_0_3M,3,2.5726890563964844,3.3346080780029297,0.7420742511749268
_0_3M,2,2.9053359031677246,4.677653789520264,-0.5535018444061279
_0_3M,5,2.429401397705078,3.338792085647583,0.7201815843582153
_9_12M,9,2.1303296089172363,2.812063694000244,0.9056329131126404
_9_12M,7,2.209256172180176,2.8803722858428955,0.9011894464492798
_9_12M,6,2.1058480739593506,2.7320806980133057,0.9111388325691223
_9_12M,1,2.166536569595337,2.765488386154175,0.9092767834663391
_9_12M,10,2.1486127376556396,2.8957388401031494,0.899476945400238
_9_12M,8,2.0902483463287354,2.747694253921509,0.9100175499916077
_9_12M,4,2.422215223312378,3.188279628753662,0.8783890008926392
_9_12M,3,2.0994091033935547,2.7667036056518555,0.9093625545501709
_9_12M,2,2.13383412361145,2.8670549392700195,0.9016011357307434
_9_12M,5,2.1049325466156006,2.7525599002838135,0.9097325205802917
_3_6M,9,2.745020627975464,3.7111401557922363,0.7995173335075378
_3_6M,7,2.702040672302246,3.692612886428833,0.8013544082641602
_3_6M,6,2.7961525917053223,3.7327358722686768,0.7988635301589966
_3_6M,1,2.9061503410339355,3.728058099746704,0.8006919026374817
_3_6M,10,3.1686010360717773,4.266955375671387,0.7389208078384399
_3_6M,8,2.858166456222534,3.850851535797119,0.7862929105758667
_3_6M,4,2.756976842880249,3.7134287357330322,0.8014374375343323
_3_6M,3,2.895941734313965,3.7835161685943604,0.7925310134887695
_3_6M,2,2.7385663986206055,3.7558326721191406,0.7946523427963257
_3_6M,5,2.7433862686157227,3.6641998291015625,0.8057824373245239
_0_6M,9,2.9056527614593506,3.943371295928955,0.7577506303787231
_0_6M,7,3.064866781234741,5.026630878448486,-0.5443994998931885
_0_6M,6,2.810359239578247,4.153402805328369,0.42532989382743835
_0_6M,1,3.199679374694824,5.4204888343811035,-0.6936995387077332
_0_6M,10,2.937191963195801,4.38311243057251,0.3891362249851227
_0_6M,8,2.785630226135254,4.3254618644714355,0.19177599251270294
_0_6M,4,3.259348154067993,4.4169793128967285,0.6793659329414368
_0_6M,3,3.441150665283203,6.137206077575684,-1.5761544704437256
_0_6M,2,3.1873106956481934,5.576805114746094,-1.44216787815094
_0_6M,5,3.178318500518799,5.514956951141357,-1.0895448923110962
_3_9M,9,2.6743133068084717,3.989030599594116,0.6740124821662903
_3_9M,7,2.7695348262786865,4.441166400909424,0.4717535972595215
_3_9M,6,2.5305683612823486,3.478180408477783,0.7907981872558594
_3_9M,1,2.4761292934417725,3.1739606857299805,0.8408374786376953
_3_9M,10,2.677198648452759,3.566685914993286,0.7749620079994202
_3_9M,8,2.3980836868286133,3.197195529937744,0.835992693901062
_3_9M,4,2.483959913253784,3.4299967288970947,0.7985062003135681
_3_9M,3,2.4151575565338135,3.216111898422241,0.8342628479003906
