dataset,fold,mae,rmse,r2
Combined_12M,9,2.743051290512085,3.5317134857177734,0.8110831379890442
Combined_12M,7,2.654007911682129,3.760270118713379,0.7457420825958252
Combined_12M,6,2.5169122219085693,3.3342809677124023,0.82479327917099
Combined_12M,1,2.480499505996704,3.3666176795959473,0.8243431448936462
Combined_12M,10,2.553884983062744,3.3283209800720215,0.8297200798988342
Combined_12M,8,2.677442789077759,3.651681661605835,0.7835062742233276
Combined_12M,4,2.5372962951660156,3.3517913818359375,0.8245115876197815
Combined_12M,3,2.530463933944702,3.4394052028656006,0.8125355839729309
Combined_12M,2,2.609421730041504,3.509366512298584,0.8009607195854187
Combined_12M,5,2.545199394226074,3.4272701740264893,0.8202225565910339
Combined_3M,9,2.3494622707366943,3.534947156906128,0.8247617483139038
Combined_3M,7,2.4951322078704834,3.7446975708007812,0.8165993094444275
Combined_3M,6,2.688596725463867,5.446499824523926,0.044364407658576965
Combined_3M,1,2.3566832542419434,3.5848581790924072,0.8241662979125977
Combined_3M,10,2.3130075931549072,3.1435863971710205,0.8781900405883789
Combined_3M,8,2.4991626739501953,3.700204849243164,0.7997663617134094
Combined_3M,4,2.5142464637756348,4.713012218475342,0.47319966554641724
Combined_3M,3,2.4991979598999023,4.34542989730835,0.6796148419380188
Combined_3M,2,2.6182022094726562,5.779539108276367,-0.1909763514995575
Combined_3M,5,2.4750826358795166,4.196689128875732,0.6609646677970886
Combined_9M,9,2.2125861644744873,2.9833245277404785,0.8989844918251038
Combined_9M,7,2.2831530570983887,3.2252092361450195,0.8810021281242371
Combined_9M,6,2.274181604385376,3.2914445400238037,0.8707614541053772
Combined_9M,1,2.3050553798675537,3.24385404586792,0.8798844814300537
Combined_9M,10,2.1981472969055176,2.9856042861938477,0.8986863493919373
Combined_9M,8,2.207390308380127,3.0301120281219482,0.8954267501831055
Combined_9M,4,2.1726434230804443,2.994216203689575,0.8984566330909729
Combined_9M,3,2.229189395904541,3.0666122436523438,0.8920782208442688
Combined_9M,2,2.2872819900512695,3.3355770111083984,0.8657715916633606
Combined_9M,5,2.268244504928589,3.03341007232666,0.8951303362846375
Combined_6M,9,2.417283296585083,3.672675848007202,0.8443790078163147
Combined_6M,7,2.387512445449829,3.4056670665740967,0.8671008348464966
Combined_6M,6,2.327604293823242,3.3346235752105713,0.8720674514770508
Combined_6M,1,2.5752954483032227,3.665282726287842,0.8442502617835999
Combined_6M,10,2.416280508041382,3.5492329597473145,0.855482816696167
Combined_6M,8,2.3464765548706055,3.376782178878784,0.8690424561500549
Combined_6M,4,2.542384147644043,3.4398210048675537,0.8647411465644836
Combined_6M,3,2.4779696464538574,3.7805938720703125,0.8344331979751587
Combined_6M,2,2.4257867336273193,3.534074544906616,0.8568863272666931
Combined_6M,5,2.473297595977783,3.9119436740875244,0.8164269924163818
