dataset,fold,mae,rmse,r2
_12_27M,9,3.170833110809326,4.270049571990967,0.8049276471138
_12_27M,7,3.1681771278381348,4.096823215484619,0.8206160664558411
_12_27M,6,3.063753366470337,4.123051643371582,0.8184564113616943
_12_27M,1,3.3371329307556152,4.048264503479004,0.8244189620018005
_12_27M,10,3.449591875076294,4.572824001312256,0.7750551104545593
_12_27M,8,3.2030293941497803,4.3117852210998535,0.8009466528892517
_12_27M,4,3.6102981567382812,4.715910911560059,0.7610383033752441
_12_27M,3,3.1995067596435547,3.9131147861480713,0.8359335660934448
_12_27M,2,2.9472954273223877,3.9310765266418457,0.834566593170166
_12_27M,5,3.3431873321533203,4.427005767822266,0.790228009223938
_12_24M,9,2.3865599632263184,2.9848177433013916,0.8834890127182007
_12_24M,7,2.3637075424194336,2.9148099422454834,0.8892269134521484
_12_24M,6,2.2450003623962402,2.793191432952881,0.89882493019104
_12_24M,1,2.3822968006134033,2.9264297485351562,0.8876330852508545
_12_24M,10,2.44417142868042,3.0370500087738037,0.8789722323417664
_12_24M,8,2.5535695552825928,3.092301368713379,0.8747928738594055
_12_24M,4,2.357921838760376,3.0062551498413086,0.8815094232559204
_12_24M,3,2.1103551387786865,2.6688804626464844,0.905116081237793
_12_24M,2,2.7611379623413086,3.2794501781463623,0.8590207695960999
_12_24M,5,2.19858455657959,2.726487874984741,0.9022611975669861
_15_27M,9,2.6436781883239746,3.4428834915161133,0.8680498003959656
_15_27M,7,2.97898530960083,3.864748001098633,0.8355593085289001
_15_27M,6,2.763805389404297,3.4380252361297607,0.8759932518005371
_15_27M,1,2.7542059421539307,3.5228161811828613,0.8627288341522217
_15_27M,10,2.6269619464874268,3.479335308074951,0.8690943717956543
_15_27M,8,2.6377291679382324,3.3587429523468018,0.8774797320365906
_15_27M,4,2.9542946815490723,3.8794867992401123,0.8358950614929199
_15_27M,3,3.293651819229126,4.270036697387695,0.8015660047531128
_15_27M,2,2.7274067401885986,3.4356608390808105,0.8705101013183594
_15_27M,5,2.707887887954712,3.520158290863037,0.861956000328064
_15_24M,9,3.2458336353302,3.979094982147217,0.7913965582847595
_15_24M,7,3.308084011077881,4.251431465148926,0.758607029914856
_15_24M,6,3.005239248275757,3.8617019653320312,0.8016775846481323
_15_24M,1,2.8868906497955322,3.6208860874176025,0.8269875645637512
_15_24M,10,3.331657648086548,4.106357097625732,0.7792953252792358
_15_24M,8,3.2215330600738525,4.149351596832275,0.7692325711250305
_15_24M,4,2.9146928787231445,3.7271130084991455,0.8167769908905029
_15_24M,3,2.943145275115967,3.7129437923431396,0.8184574246406555
_15_24M,2,2.902653217315674,3.66489315032959,0.8220195174217224
_15_24M,5,3.2301015853881836,3.9913806915283203,0.7918606400489807
_9_18M,9,2.5829663276672363,3.4448680877685547,0.8100876212120056
_9_18M,7,2.6299331188201904,3.50500750541687,0.8057698607444763
_9_18M,6,2.5686237812042236,3.382051467895508,0.8207491040229797
_9_18M,1,2.776554584503174,3.6601059436798096,0.79483962059021
_9_18M,10,2.790123701095581,3.7689709663391113,0.7683095932006836
_9_18M,8,2.7242581844329834,3.460714340209961,0.8188519477844238
_9_18M,4,2.700998544692993,3.6247518062591553,0.7951590418815613
_9_18M,3,2.945185422897339,3.6669094562530518,0.803347110748291
_9_18M,2,2.692471504211426,3.5875244140625,0.800674319267273
_9_18M,5,3.203788995742798,4.116257190704346,0.7272758483886719
_18_21M,9,2.456510305404663,3.5324084758758545,0.8363732099533081
_18_21M,7,2.4913601875305176,3.639389753341675,0.8266239166259766
_18_21M,6,2.4904263019561768,3.622335195541382,0.8274885416030884
_18_21M,1,2.5342676639556885,3.6218221187591553,0.8299717903137207
_18_21M,10,2.442612648010254,3.5311152935028076,0.8366161584854126
_18_21M,8,2.483605146408081,3.524716854095459,0.8384953141212463
_18_21M,4,2.589083671569824,3.75276780128479,0.8146082758903503
_18_21M,3,2.495006799697876,3.596494436264038,0.8313827514648438
_18_21M,2,2.5223636627197266,3.6233417987823486,0.829403817653656
_18_21M,5,2.499222755432129,3.638751745223999,0.8269876837730408
_21_30M,9,2.2412221431732178,2.8533499240875244,0.903835654258728
_21_30M,7,2.24586820602417,2.8478565216064453,0.9039268493652344
_21_30M,6,2.1283679008483887,2.706562042236328,0.9136544466018677
_21_30M,1,2.497799873352051,3.22820782661438,0.880818784236908
_21_30M,10,2.2011804580688477,2.8567018508911133,0.903184175491333
_21_30M,8,2.2179641723632812,2.843467950820923,0.9041638970375061
_21_30M,4,2.155954599380493,2.7954516410827637,0.9084036946296692
_21_30M,3,2.423124313354492,3.0571603775024414,0.8909928798675537
_21_30M,2,2.0542850494384766,2.612506866455078,0.9213697910308838
_21_30M,5,2.4572947025299072,2.951746940612793,0.8967614769935608
_9_15M,9,2.7858223915100098,3.54252028465271,0.7696089744567871
_9_15M,7,2.7374207973480225,3.4716219902038574,0.7783303260803223
_9_15M,6,2.7172975540161133,3.498487710952759,0.7698522806167603
_9_15M,1,2.5099971294403076,3.142868995666504,0.8084402680397034
_9_15M,10,2.8613216876983643,3.751995801925659,0.7339103817939758
_9_15M,8,2.8467884063720703,3.681323766708374,0.7468470931053162
_9_15M,4,2.779510259628296,3.6524407863616943,0.7413365840911865
_9_15M,3,2.9355530738830566,3.8048722743988037,0.709797739982605
_9_15M,2,2.547301769256592,3.1347007751464844,0.8110406994819641
_9_15M,5,2.6862781047821045,3.4572455883026123,0.771892249584198
_27_30M,9,2.4560701847076416,3.0708515644073486,0.8739769458770752
_27_30M,7,2.2354140281677246,2.8886427879333496,0.8891809582710266
_27_30M,6,2.3556389808654785,3.021714210510254,0.8816061019897461
_27_30M,1,2.0220954418182373,2.5945868492126465,0.9097532629966736
_27_30M,10,2.304333448410034,2.939627170562744,0.8840344548225403
_27_30M,8,2.189023017883301,2.8636698722839355,0.8905490040779114
_27_30M,4,2.0776591300964355,2.7099270820617676,0.9025571942329407
_27_30M,3,2.1066110134124756,2.7060482501983643,0.9033697247505188
_27_30M,2,2.0301270484924316,2.605881929397583,0.9096935391426086
_27_30M,5,2.12613582611084,2.7274880409240723,0.9021145701408386
_9_21M,9,2.799431324005127,4.042501926422119,0.8283600211143494
_9_21M,7,2.8746860027313232,4.133282661437988,0.8206784129142761
_9_21M,6,2.8693463802337646,4.062078475952148,0.8270686864852905
_9_21M,1,3.5759024620056152,4.762415885925293,0.7692364454269409
_9_21M,10,2.7849795818328857,4.009645938873291,0.8312972187995911
_9_21M,8,2.8196523189544678,4.023556709289551,0.8292794823646545
_9_21M,4,2.9162912368774414,4.174276828765869,0.817375123500824
_9_21M,3,2.98106050491333,4.205778121948242,0.8156134486198425
_9_21M,2,2.9977283477783203,4.171377658843994,0.8177118897438049
_9_21M,5,2.8998610973358154,4.116928577423096,0.8223651647567749
_18_30M,9,2.7358689308166504,3.3287129402160645,0.8849299550056458
_18_30M,7,2.636108636856079,3.2423110008239746,0.8907644748687744
_18_30M,6,2.836310625076294,3.3531417846679688,0.8827919363975525
_18_30M,1,2.4653053283691406,3.253568172454834,0.8911182284355164
_18_30M,10,2.6564321517944336,3.3169937133789062,0.8862439393997192
_18_30M,8,2.582953691482544,3.2384181022644043,0.8916615843772888
_18_30M,4,2.718909740447998,3.2835988998413086,0.8879579305648804
_18_30M,3,2.535069227218628,3.1809091567993164,0.8960527777671814
_18_30M,2,2.6055264472961426,3.1818788051605225,0.8954541683197021
_18_30M,5,2.5758681297302246,3.246065616607666,0.8918118476867676
_24_30M,9,2.2977869510650635,2.9410552978515625,0.8929853439331055
_24_30M,7,2.144583225250244,2.805424213409424,0.900600016117096
_24_30M,6,2.1290132999420166,2.913278579711914,0.8912134766578674
_24_30M,1,2.456496477127075,3.23772931098938,0.8669198751449585
_24_30M,10,2.0980520248413086,2.8631937503814697,0.8963838219642639
_24_30M,8,2.2874674797058105,2.8852343559265137,0.8967206478118896
_24_30M,4,2.2469165325164795,2.9041130542755127,0.8948965072631836
