dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.496719813346863,2.458468941186168,2.5349706855075578,0.06171422373251131,3.4142200708389283,3.3667011711742107,3.461738970503646,0.0766673239007752,0.7648725807666779,0.757297669139247,0.7724474923941087,0.012221415212844084
_12_18M,2.468296194076538,2.3206579052176757,2.6159344829354003,0.23820064420605452,3.192047882080078,3.0615145367657246,3.3225812273944313,0.21060340907889,0.8703415870666504,0.8605724087116917,0.8801107654216092,0.01576166044392169
_12_21M,2.7138322591781616,2.611911277626881,2.815753240729442,0.1644400219704326,3.3907148599624635,3.2517560595391597,3.5296736603857672,0.22419709707265845,0.8348512887954712,0.8209833608870829,0.8487192167038595,0.022374611539552086
_12_24M,2.380330514907837,2.266388838621382,2.494272191194292,0.18383429463407855,2.942967391014099,2.830636640174538,3.0552981418536604,0.18123521629075737,0.8860846519470215,0.877474827504402,0.894694476389641,0.01389115076166694
_12_27M,3.249280548095703,3.130604102862875,3.3679569933285314,0.19147340385100448,4.240990614891052,4.074229650320366,4.4077515794617375,0.26905330247449416,0.806618732213974,0.7910605177636998,0.8221769466642481,0.025101731626638243
_15_18M,2.5888721227645872,2.5165311204748875,2.661213125054287,0.11671547727291155,3.439711356163025,3.3310834614184595,3.54833925090759,0.17526100246013354,0.8165506422519684,0.8040165521877412,0.8290847323161956,0.020222588265634736
_15_21M,2.693262219429016,2.5709432135033343,2.815581225354698,0.19735033665958557,3.4982540369033814,3.4046672711522947,3.591840802654468,0.1509935401133021,0.8653182089328766,0.8584328070265826,0.8722036108391705,0.011108955423241945
_15_24M,3.098983120918274,2.9854080933433114,3.212558148493237,0.18324274104760835,3.906515383720398,3.7691642711249362,4.043866496315859,0.2216032423264796,0.7976311206817627,0.7830060898707526,0.8122561514927727,0.023596126639250627
_15_27M,2.80886070728302,2.6787470070226775,2.938974407543362,0.2099263508240431,3.6211893796920775,3.4415893172297256,3.8007894421544295,0.2897679924946637,0.8558832466602325,0.8409077729135293,0.8708587204069358,0.024161533714100965
_15_30M,2.6169952630996702,2.5189225768718386,2.715067949327502,0.15823115547498717,3.3091294527053834,3.212558855889514,3.405700049521253,0.15580767394895473,0.9078365862369537,0.9024316346751701,0.9132415377987374,0.008720386519449256
_18_21M,2.500445914268494,2.474929412807434,2.5259624157295537,0.04116850129385894,3.608314347267151,3.565866062752506,3.650762631781796,0.06848635807812925,0.8297951459884644,0.8255505157891958,0.834039776187733,0.0068483159463382575
_18_24M,2.4655412912368773,2.3296005890863927,2.601481993387362,0.21932767628473526,3.172318196296692,3.064369962261036,3.280266430332348,0.17416443313550176,0.8837565302848815,0.8750396361166952,0.8924734244530679,0.014063897803116125
_18_27M,2.1908021450042723,2.1497586532568533,2.2318456367516912,0.06621985563682055,2.8606392621994017,2.807751175320363,2.9135273490784406,0.08533000797277018,0.914514833688736,0.9113334942309228,0.9176961731465492,0.005132795253497422
_18_30M,2.6348352909088133,2.5681894700976686,2.701481111719958,0.10752683178299373,3.2625598192214964,3.226472970499827,3.298646667943166,0.05822277323388306,0.8898786842823029,0.887184486354312,0.8925728822102937,0.004346837714161888
_21_24M,2.263470244407654,2.2494303745811686,2.2775101142341394,0.02265202382855442,2.9604432582855225,2.9368207930336534,2.9840657235373915,0.03811265007351519,0.8741737306118011,0.8722892649020413,0.876058196321561,0.0030404101098606487
_21_27M,2.1571532249450684,2.1064080802683685,2.2078983696217684,0.08187257008833694,2.732825684547424,2.6647793999411054,2.800871969153743,0.10978634983062291,0.8982659101486206,0.8932664025216541,0.903265417775587,0.008066240449284475
_21_30M,2.2623061418533323,2.170308897692931,2.3543033860137337,0.14842899490076195,2.875301194190979,2.76795475464026,2.9826476337416983,0.17319349371931345,0.9027111649513244,0.8956825173357139,0.9097398125669349,0.011340069049000378
_24_27M,2.345412087440491,2.1584359463727627,2.532388228508219,0.30166860912396315,3.0280160427093508,2.877883980979031,3.1781481044396704,0.2422241147371483,0.8383892714977265,0.8214506218993443,0.8553279210961087,0.027328935315502123
_24_30M,2.207396697998047,2.136371377928557,2.278422018067537,0.11459274640921321,2.9173878908157347,2.8436895975347425,2.991086184096727,0.11890534001786689,0.8923907697200775,0.8865646092479659,0.8982169301921891,0.009399967910976878
_27_30M,2.19031081199646,2.1000731311937324,2.2805484927991877,0.14559010311626028,2.8128437757492066,2.7086479208817122,2.917039630616701,0.16811031843348187,0.894683575630188,0.8869377329326628,0.9024294183277132,0.012497196592633793
_6_15M,2.4648301124572756,2.4288815266279093,2.500778698286642,0.057999698919821485,3.184541916847229,3.107307944624662,3.261775889069796,0.12460982906402458,0.8819320976734162,0.8766550026079142,0.8872091927389182,0.008514101957256012
_6_18M,3.362507438659668,3.107879199119102,3.617135678200234,0.41081897629955866,3.9814993858337404,3.6880518232977995,4.274946948369681,0.47345034257054563,0.7401522278785706,0.7041381621690553,0.7761662935880859,0.05810534461481433
_9_15M,2.7407291173934936,2.6577117650908995,2.8237464696960877,0.13394077479225544,3.5138077974319457,3.371254038070554,3.6563615567933376,0.22999722887834115,0.7641056597232818,0.7443191152903541,0.7838922041562095,0.031923748689885845
_9_18M,2.7614904165267946,2.6434188729623003,2.879561960091289,0.19049745128346854,3.621716117858887,3.491179167860814,3.7522530678569597,0.21060922490072567,0.7945064067840576,0.7772529838040444,0.8117598297640708,0.027836792883230297
_9_21M,2.951893925666809,2.809101898425285,3.0946859529083333,0.23038165193674848,4.1701842784881595,4.034472756137155,4.305895800839164,0.21895791599899148,0.8178985893726349,0.8067654501726846,0.8290317285725852,0.017962284377320295
_9_24M,2.402695393562317,2.2891304958496352,2.5162602912749987,0.18322639745720437,3.8624308824539186,3.7726758365849413,3.952185928322896,0.1448114165504361,0.828137868642807,0.8152040662156967,0.8410716710699173,0.020867486977695176
