dataset,fold,mae,rmse,r2
_0_9M,9,2.219282865524292,3.0877957344055176,0.8588793873786926
_0_9M,7,2.253197193145752,3.062147378921509,0.8622817993164062
_0_9M,6,2.199477195739746,3.055842399597168,0.8617038726806641
_0_9M,1,2.1847012042999268,3.0401451587677,0.8631753325462341
_0_9M,10,2.2120633125305176,3.089311361312866,0.8582232594490051
_0_9M,8,2.202592134475708,3.0768775939941406,0.8594018816947937
_0_9M,4,2.204522132873535,3.08676815032959,0.8580331206321716
_0_9M,3,2.1874732971191406,3.034926414489746,0.8637712001800537
_0_9M,2,2.2348551750183105,3.0266008377075195,0.8657608032226562
_0_9M,5,2.201388359069824,3.0645675659179688,0.86082524061203
_0_3M,9,2.3503735065460205,3.3148446083068848,0.7941449880599976
_0_3M,7,2.3780906200408936,3.3292369842529297,0.7924626469612122
_0_3M,6,2.373774290084839,3.313649892807007,0.7945354580879211
_0_3M,1,2.4018592834472656,3.428989887237549,0.7800743579864502
_0_3M,10,2.3425474166870117,3.3476955890655518,0.789709210395813
_0_3M,8,2.402994155883789,3.318692207336426,0.7938792109489441
_0_3M,4,2.524895668029785,3.359995126724243,0.7890256643295288
_0_3M,3,2.3855156898498535,3.337113618850708,0.7920242547988892
_0_3M,2,2.4710371494293213,3.3655331134796143,0.7883744835853577
_0_3M,5,2.3443706035614014,3.3486790657043457,0.7900463938713074
_9_12M,9,2.5921971797943115,3.51163387298584,0.845440685749054
_9_12M,7,2.6940197944641113,3.6625211238861084,0.8330070376396179
_9_12M,6,2.5309348106384277,3.434821844100952,0.8516499400138855
_9_12M,1,2.727415084838867,3.719459056854248,0.8282335996627808
_9_12M,10,2.63979172706604,3.563544750213623,0.8406196236610413
_9_12M,8,2.6473896503448486,3.5960192680358887,0.8383517861366272
_9_12M,4,2.5263872146606445,3.430098056793213,0.8526448011398315
_9_12M,3,2.6277942657470703,3.4131288528442383,0.8513123989105225
_9_12M,2,2.562619209289551,3.5063724517822266,0.8466367721557617
_9_12M,5,2.544019937515259,3.4181928634643555,0.8528175950050354
_3_6M,9,2.389193058013916,3.3460562229156494,0.8099693655967712
_3_6M,7,2.3765623569488525,3.298687219619751,0.814645528793335
_3_6M,6,2.3771069049835205,3.3188669681549072,0.8128737807273865
_3_6M,1,2.3816919326782227,3.2865288257598877,0.8162971138954163
_3_6M,10,2.5789549350738525,3.374508857727051,0.8032035231590271
_3_6M,8,2.4322502613067627,3.4243998527526855,0.80047208070755
_3_6M,4,2.3771307468414307,3.2764036655426025,0.8177368640899658
_3_6M,3,2.3646817207336426,3.30682635307312,0.813425600528717
_3_6M,2,2.418651819229126,3.4160985946655273,0.8019901514053345
_3_6M,5,2.4065089225769043,3.2729203701019287,0.8174347877502441
_0_6M,9,2.377842664718628,3.2515182495117188,0.8178243637084961
_0_6M,7,2.413992166519165,3.2681682109832764,0.8149238228797913
