dataset,fold,mae,rmse,r2
Combined_12M,9,2.2887256145477295,2.9778738021850586,0.8965056538581848
Combined_12M,7,2.543328046798706,3.365206241607666,0.8662838935852051
Combined_12M,6,2.2495179176330566,2.9398045539855957,0.8991448283195496
Combined_12M,1,2.331843852996826,3.130206346511841,0.8841971755027771
Combined_12M,10,2.3681774139404297,3.0353755950927734,0.8930494785308838
Combined_12M,8,2.238483190536499,2.9732162952423096,0.8962169289588928
Combined_12M,4,2.242290735244751,2.931957244873047,0.8999656438827515
Combined_12M,3,2.312249183654785,2.9698984622955322,0.8980461955070496
Combined_12M,2,2.2445485591888428,2.9774467945098877,0.8950942158699036
Combined_12M,5,2.2534828186035156,2.989948272705078,0.8949810266494751
Combined_3M,9,2.3424272537231445,3.2049148082733154,0.8374202847480774
Combined_3M,7,2.3298444747924805,3.1926937103271484,0.8375469446182251
Combined_3M,6,2.3618078231811523,3.150925636291504,0.8430337309837341
Combined_3M,1,2.3289196491241455,3.1354362964630127,0.8445488214492798
Combined_3M,10,2.337097406387329,3.183051109313965,0.8385599851608276
Combined_3M,8,2.365485668182373,3.1642849445343018,0.8416743874549866
Combined_3M,4,2.322601079940796,3.1503865718841553,0.8421704769134521
Combined_3M,3,2.32409930229187,3.15278959274292,0.8432767391204834
Combined_3M,2,2.3096959590911865,3.1538970470428467,0.8427097797393799
Combined_3M,5,2.374053955078125,3.1678390502929688,0.8428488373756409
Combined_9M,9,2.292623281478882,3.0369279384613037,0.8820008039474487
Combined_9M,7,2.283688545227051,2.9849116802215576,0.8865029215812683
Combined_9M,6,2.288011074066162,3.0332162380218506,0.8820493221282959
Combined_9M,1,2.275456190109253,2.9833405017852783,0.8865255117416382
Combined_9M,10,2.3364007472991943,3.1144399642944336,0.8756039142608643
Combined_9M,8,2.286932945251465,3.0048775672912598,0.8848013281822205
Combined_9M,4,2.3051388263702393,3.074563980102539,0.8785936236381531
Combined_9M,3,2.3442046642303467,3.144169807434082,0.8727906346321106
Combined_9M,2,2.274684190750122,3.0179457664489746,0.8833593726158142
Combined_9M,5,2.2795794010162354,3.0082757472991943,0.8842165470123291
Combined_6M,9,2.320586919784546,3.0568737983703613,0.8752591013908386
Combined_6M,7,2.257521629333496,3.0891597270965576,0.8705419898033142
Combined_6M,6,2.281249761581421,3.0020344257354736,0.8788725733757019
Combined_6M,1,2.193471670150757,2.97304368019104,0.8801766633987427
Combined_6M,10,2.28072190284729,3.1021695137023926,0.8705309629440308
Combined_6M,8,2.246556282043457,3.0268139839172363,0.8761007189750671
Combined_6M,4,2.245478868484497,3.014414072036743,0.8780303597450256
Combined_6M,3,2.2071421146392822,2.9633677005767822,0.8809750080108643
Combined_6M,2,2.208054780960083,3.046034574508667,0.8736969232559204
Combined_6M,5,2.3369851112365723,3.0342350006103516,0.8775585293769836
