dataset,fold,mae,rmse,r2
_12_27M,9,3.431824207305908,4.387720108032227,0.7915938496589661
_12_27M,7,3.0143144130706787,4.047761917114258,0.8240152597427368
_12_27M,6,3.2334487438201904,4.129385471343994,0.8166669607162476
_12_27M,1,3.0349080562591553,4.081833839416504,0.8213129043579102
_12_27M,10,3.1791465282440186,4.065051078796387,0.8198285698890686
_12_27M,8,3.060511589050293,3.940473794937134,0.8324981331825256
_12_27M,4,3.210820436477661,4.12542200088501,0.8176597952842712
_12_27M,3,3.505239725112915,4.413173675537109,0.7916514873504639
_12_27M,2,3.0206313133239746,3.8907999992370605,0.8379807472229004
_12_27M,5,3.05145263671875,4.1162519454956055,0.8182017207145691
_12_24M,9,2.3107869625091553,2.944551944732666,0.8866837024688721
_12_24M,7,2.483677864074707,3.0959997177124023,0.8772376775741577
_12_24M,6,2.2614872455596924,2.9068288803100586,0.8861674666404724
_12_24M,1,2.2355756759643555,2.8817577362060547,0.8916299343109131
_12_24M,10,2.475712299346924,3.083395481109619,0.8792785406112671
_12_24M,8,2.3133819103240967,2.9737861156463623,0.8809791207313538
_12_24M,4,2.259551525115967,3.0188748836517334,0.8753260970115662
_12_24M,3,2.336888313293457,3.096303701400757,0.8685214519500732
_12_24M,2,2.268371820449829,2.8967504501342773,0.8875097036361694
_12_24M,5,2.697389841079712,3.2541563510894775,0.8652148842811584
_15_27M,9,2.803938627243042,3.52360463142395,0.8619561195373535
_15_27M,7,2.791224956512451,3.4755756855010986,0.8657957911491394
_15_27M,6,2.747035026550293,3.5420429706573486,0.8603523969650269
_15_27M,1,3.067136526107788,3.5989038944244385,0.8691768646240234
_15_27M,10,2.674708843231201,3.585718870162964,0.8529900908470154
_15_27M,8,2.745216131210327,3.642197370529175,0.8497356176376343
_15_27M,4,2.935419797897339,3.941277027130127,0.8308398723602295
_15_27M,3,2.7258822917938232,3.512937545776367,0.8686200976371765
_15_27M,2,2.684147596359253,3.4822895526885986,0.8709239959716797
_15_27M,5,2.6837620735168457,3.5483129024505615,0.8592886924743652
_15_24M,9,3.219809055328369,4.181643486022949,0.7988716959953308
_15_24M,7,3.1609535217285156,3.906053066253662,0.8276729583740234
_15_24M,6,3.053330898284912,3.8181378841400146,0.8345312476158142
