dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.9425042867660522,2.8268058325900434,3.058202740942061,0.18666869232490202,3.9333201169967653,3.778898262375919,4.0877419716176115,0.2491452964843224,0.7098069548606872,0.6849547171230717,0.7346591925983028,0.040096773572885464
_12_18M,2.8175692319869996,2.653947299412635,2.981191164561364,0.26398876637422974,3.7330990076065063,3.617460822092303,3.8487371931207095,0.1865714544459041,0.8362904906272888,0.8258370006380361,0.8467439806165414,0.01686573360398343
_12_21M,3.002125310897827,2.8815792208061866,3.1226714009894674,0.1944899018966525,3.860153317451477,3.712260788091476,4.008045846811478,0.23861083760251342,0.7857473015785217,0.7675589297079047,0.8039356734491386,0.02934524593943214
_12_24M,2.3642823457717896,2.2739579351436254,2.454606756399954,0.14573003362108106,3.015240526199341,2.9421493883412113,3.0883316640574705,0.11792575122706662,0.8798548579216003,0.8745654332883676,0.8851442825548331,0.008533994567763478
_12_27M,3.1742297649383544,3.06541996307308,3.283039566803629,0.17555449267648254,4.119787383079529,4.016030187761664,4.2235445783973935,0.16740258205888295,0.8171409428119659,0.8077957385306088,0.826486147093323,0.01507761771869664
_12_30M,2.029645931720734,1.769646718520365,2.289645144921103,0.4194845426351438,2.398755168914795,2.035478623480412,2.762031714349178,0.586112910250149,0.9404267966747284,0.9190752342605676,0.9617783590888892,0.03444875960815894
_15_18M,2.6892029523849486,2.63890259584364,2.739503308926257,0.08115494581075702,3.5222229242324827,3.446817432215341,3.5976284162496244,0.1216597463570473,0.7919284582138062,0.7825535619945649,0.8013033544330475,0.015125522898216105
_15_21M,2.626013922691345,2.5956861170450867,2.6563417283376034,0.04893109299851605,3.4653716802597048,3.4142306383709093,3.5165127221485,0.0825113134095271,0.8636675715446472,0.8594567127199249,0.8678784303693696,0.006793828975276755
_15_24M,3.1249798059463503,3.022033733063995,3.2279258788287057,0.16609391146833602,3.977063703536987,3.8358166777057674,4.118310729368207,0.2278889358935167,0.8188332319259644,0.8054284677631488,0.8322379960887799,0.021627339924437397
_15_27M,2.7858471870422363,2.708070098952777,2.863624275131696,0.12548609598890068,3.585286045074463,3.5013448817138326,3.669227208435093,0.1354312579917683,0.8589679539203644,0.851490039232505,0.8664458686082238,0.012064919674521776
