dataset,fold,mae,rmse,r2
_0_9M,9,2.4930968284606934,3.297224283218384,0.8447493314743042
_0_9M,7,2.617917537689209,3.54424786567688,0.8201975226402283
_0_9M,6,2.4896836280822754,3.295675039291382,0.8449044227600098
_0_9M,1,2.7546818256378174,3.4489033222198486,0.8360795378684998
_0_9M,10,2.507408857345581,3.3501644134521484,0.8389012217521667
_0_9M,8,2.495971202850342,3.2820961475372314,0.8464066386222839
_0_9M,4,2.547255754470825,3.4207911491394043,0.8322163820266724
_0_9M,3,2.5060081481933594,3.260721206665039,0.8498428463935852
_0_9M,2,2.5704433917999268,3.3002445697784424,0.8476316928863525
_0_9M,5,2.50075364112854,3.3230679035186768,0.8420625925064087
_0_3M,9,2.7859864234924316,3.7758166790008545,0.703245997428894
_0_3M,7,2.911306142807007,3.7973339557647705,0.7008671164512634
_0_3M,6,2.748743772506714,3.8502626419067383,0.6902757287025452
_0_3M,1,2.7515485286712646,3.8533434867858887,0.689954400062561
_0_3M,10,2.7563719749450684,3.824995756149292,0.6947478652000427
_0_3M,8,2.813370943069458,3.7776191234588623,0.7035757303237915
_0_3M,4,2.7527098655700684,3.8434221744537354,0.6915998458862305
_0_3M,3,2.809800624847412,3.7640488147735596,0.7052152156829834
_0_3M,2,2.8177857398986816,3.766792058944702,0.7053008079528809
_0_3M,5,2.8041281700134277,3.968520164489746,0.6706935167312622
_9_12M,9,2.7605245113372803,3.6688365936279297,0.8311940431594849
_9_12M,7,2.7185773849487305,3.6063718795776367,0.836527407169342
_9_12M,6,2.7227234840393066,3.570392608642578,0.8390007019042969
_9_12M,1,2.759536027908325,3.637495517730713,0.8329744935035706
_9_12M,10,2.850048065185547,3.7597548961639404,0.82305508852005
_9_12M,8,2.738532304763794,3.5710203647613525,0.8387492895126343
_9_12M,4,2.6880435943603516,3.551975965499878,0.8407585620880127
_9_12M,3,2.696730375289917,3.56381893157959,0.8400493264198303
_9_12M,2,2.6941328048706055,3.5420351028442383,0.8413954973220825
_9_12M,5,2.8107476234436035,3.702507972717285,0.827873945236206
_3_6M,9,2.6733169555664062,3.5329158306121826,0.7885389924049377
_3_6M,7,2.678562641143799,3.512148857116699,0.7908064126968384
_3_6M,6,2.653887987136841,3.5934460163116455,0.7819632887840271
_3_6M,1,2.66196608543396,3.521374464035034,0.7902665138244629
_3_6M,10,2.6434285640716553,3.561265468597412,0.7856061458587646
_3_6M,8,2.676382064819336,3.6487982273101807,0.7756070494651794
_3_6M,4,2.657597064971924,3.60400128364563,0.7806599140167236
_3_6M,3,2.675208806991577,3.5170769691467285,0.7905661463737488
_3_6M,2,2.702761173248291,3.5160207748413086,0.7905130982398987
_3_6M,5,2.7373528480529785,3.529646873474121,0.7882338166236877
_0_6M,9,2.7903664112091064,3.656829833984375,0.7905431985855103
_0_6M,7,2.7386109828948975,3.7949435710906982,0.7744752168655396
_0_6M,6,2.91304874420166,3.703453540802002,0.7834820747375488
_0_6M,1,2.760150194168091,3.8509132862091064,0.7697145342826843
_0_6M,10,2.730848550796509,3.7716197967529297,0.7768497467041016
_0_6M,8,2.6964879035949707,3.710146188735962,0.7845121026039124
_0_6M,4,2.824918270111084,3.6180343627929688,0.79563969373703
_0_6M,3,2.610731363296509,3.5391151905059814,0.8063728213310242
_0_6M,2,2.6797096729278564,3.5203213691711426,0.806300938129425
_0_6M,5,2.7553110122680664,3.5891103744506836,0.7967371344566345
_3_9M,9,2.5437848567962646,3.339709520339966,0.8404742479324341
_3_9M,7,2.5195491313934326,3.306863307952881,0.8436354994773865
_3_9M,6,2.4628238677978516,3.3036789894104004,0.8432620167732239
_3_9M,1,2.5143380165100098,3.424136161804199,0.8312752842903137
_3_9M,10,2.53352952003479,3.3412678241729736,0.8396201133728027
_3_9M,8,2.4880309104919434,3.350233316421509,0.8375458121299744
_3_9M,4,2.6342709064483643,3.3819541931152344,0.8388987183570862
_3_9M,3,2.578939437866211,3.3391683101654053,0.8427045941352844
_3_9M,2,2.462165594100952,3.2738046646118164,0.8469868898391724
_3_9M,5,2.4713616371154785,3.2854697704315186,0.8452209234237671
_6_12M,9,2.850141763687134,3.8829994201660156,0.7888963222503662
_6_12M,7,2.7908315658569336,3.777942419052124,0.8015663027763367
_6_12M,6,2.8197214603424072,3.744951009750366,0.8082974553108215
_6_12M,1,2.8691391944885254,3.885448455810547,0.7942437529563904
_6_12M,10,2.8278095722198486,3.8249454498291016,0.7968264818191528
_6_12M,8,2.8336989879608154,3.8121519088745117,0.7999191284179688
_6_12M,4,2.7537343502044678,3.6361849308013916,0.8232312798500061
_6_12M,3,2.7747159004211426,3.7645742893218994,0.804689884185791
_6_12M,2,2.7993149757385254,3.5877065658569336,0.8290403485298157
_6_12M,5,2.8750054836273193,3.616267442703247,0.8248987197875977
_6_9M,9,2.5613157749176025,3.434305429458618,0.8443072438240051
_6_9M,7,2.6066596508026123,3.4010865688323975,0.8480358719825745
_6_9M,6,2.603944778442383,3.3934216499328613,0.8483610153198242
_6_9M,1,2.5506725311279297,3.4411730766296387,0.8433172702789307
_6_9M,10,2.6604645252227783,3.4337308406829834,0.845811128616333
_6_9M,8,2.583186626434326,3.4336273670196533,0.8445056080818176
_6_9M,4,2.5723843574523926,3.4915144443511963,0.8378794193267822
_6_9M,3,2.5468227863311768,3.4509482383728027,0.8418771624565125
_6_9M,2,2.630398988723755,3.3967576026916504,0.8489309549331665
_6_9M,5,2.551217555999756,3.427347183227539,0.8445190191268921
_3_12M,9,2.552901029586792,3.332430839538574,0.845167875289917
_3_12M,7,2.6133389472961426,3.3139476776123047,0.8518861532211304
_3_12M,6,2.5429205894470215,3.2784173488616943,0.8515394926071167
_3_12M,1,2.605407953262329,3.2935540676116943,0.8553729057312012
_3_12M,10,2.560131072998047,3.309811592102051,0.8487146496772766
_3_12M,8,2.5344862937927246,3.2963407039642334,0.8499771952629089
_3_12M,4,2.8439722061157227,3.478505849838257,0.8397204279899597
_3_12M,3,2.5419411659240723,3.277796506881714,0.8528772592544556
_3_12M,2,2.6301987171173096,3.31720232963562,0.85268634557724
_3_12M,5,2.538773536682129,3.2783117294311523,0.8519656658172607
_0_12M,9,2.623056173324585,3.477285623550415,0.8321138024330139
_0_12M,7,2.5692572593688965,3.286848783493042,0.8536706566810608
_0_12M,6,2.6124002933502197,3.3188655376434326,0.8520112633705139
_0_12M,1,3.076904773712158,3.6525940895080566,0.8260952830314636
_0_12M,10,2.5900142192840576,3.3436319828033447,0.8463109731674194
_0_12M,8,2.7309014797210693,3.395803689956665,0.8469949960708618
_0_12M,4,2.5688819885253906,3.385140895843506,0.8423032760620117
_0_12M,3,2.538513660430908,3.2850375175476074,0.8524783849716187
_0_12M,2,2.5908772945404053,3.284883737564087,0.853967547416687
_0_12M,5,2.5473194122314453,3.275373697280884,0.8537722229957581
