dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.6448126554489138,2.544908359161201,2.7447169517366263,0.16118628791095704,3.370546555519104,3.2972381932635533,3.443854917774655,0.11827622258380557,0.8459718406200409,0.8398968881669133,0.8520467930731686,0.009801370627097234
_0_3M,2.7951752185821532,2.764478722935881,2.8258717142284255,0.049525940014113944,3.8222154855728148,3.7836555324123387,3.860775438733291,0.06221289717169035,0.6955476224422454,0.68890534717835,0.7021898977061409,0.010716693203931434
_0_6M,2.750018310546875,2.6987181908462476,2.8013184302475027,0.08276797065982573,3.675448751449585,3.6069101919104596,3.7439873109887105,0.11058058963811075,0.7884627461433411,0.7804993200414598,0.7964261722452224,0.012848247173663752
_0_9M,2.548322081565857,2.496517078038059,2.600127085093655,0.08358255374535688,3.352313590049744,3.296115133579442,3.4085120465200456,0.09067098134284714,0.8402992188930511,0.8347730923806131,0.8458253454054891,0.00891589102936064
_3_12M,2.596407151222229,2.5383413100137475,2.6544729924307107,0.09368383289411492,3.3176318645477294,3.2807441970519746,3.354519532043484,0.05951481982527803,0.8499907970428466,0.8471820299526331,0.8527995641330601,0.004531684398978791
_3_6M,2.6760464191436766,2.65928704127266,2.6928057970146932,0.027039697061140917,3.553669476509094,3.5246319094642238,3.5827070435539645,0.04684941304675272,0.7862761378288269,0.7830345476940488,0.789517727963605,0.0052300041156281086
_3_9M,2.52087938785553,2.4867389642859146,2.555019811425145,0.05508239732800012,3.3346286058425902,3.3065806945828786,3.362676517102302,0.045252695505597816,0.8409624099731445,0.8381774121288446,0.8437474078174445,0.004493334931962662
_6_12M,2.8194113254547117,2.7946927739084937,2.84412987700093,0.03988108333996249,3.753317189216614,3.686817971334612,3.819816407098616,0.10729030159536987,0.8071609675884247,0.7985182151228427,0.8158037200540067,0.013944277063405631
_6_9M,2.586706757545471,2.563100357559802,2.6103131575311402,0.03808673026106158,3.430391240119934,3.412288090453656,3.448494389786212,0.02920774784099816,0.8447544693946838,0.842685738464267,0.8468232003251006,0.003337704901100153
_9_12M,2.7439596176147463,2.711164485270773,2.7767547499587195,0.05291189508857747,3.6174209833145143,3.572217435978615,3.6626245306504135,0.07293171831667246,0.835157835483551,0.8313272996874052,0.8389883712796969,0.006180213150320092
