dataset,fold,mae,rmse,r2
Combined_12M,9,2.446953058242798,3.1985926628112793,0.8795405626296997
Combined_12M,7,2.6383607387542725,3.289597749710083,0.8738577365875244
Combined_12M,6,2.5186307430267334,3.2059895992279053,0.8794035911560059
Combined_12M,1,2.4021408557891846,3.1831464767456055,0.8800318837165833
Combined_12M,10,2.553800582885742,3.2528083324432373,0.8755191564559937
Combined_12M,8,2.458984136581421,3.1979832649230957,0.8796718120574951
Combined_12M,4,2.438450813293457,3.179779529571533,0.8808864951133728
Combined_12M,3,2.582531452178955,3.2468886375427246,0.8767803311347961
Combined_12M,2,2.5613439083099365,3.231422185897827,0.8786513209342957
Combined_12M,5,2.779524087905884,3.4159204959869385,0.8645914196968079
Combined_3M,9,2.6680023670196533,3.4659910202026367,0.8138495683670044
Combined_3M,7,2.6788113117218018,3.4692487716674805,0.8152292370796204
Combined_3M,6,2.598046064376831,3.4518353939056396,0.8151502013206482
Combined_3M,1,2.7497925758361816,3.5131564140319824,0.8117203116416931
Combined_3M,10,2.6399850845336914,3.461064577102661,0.8140090107917786
Combined_3M,8,2.730855941772461,3.504556655883789,0.8110145330429077
Combined_3M,4,2.593844413757324,3.4835472106933594,0.811099112033844
Combined_3M,3,2.701525926589966,3.6756114959716797,0.7878614664077759
Combined_3M,2,2.607048988342285,3.531940460205078,0.804691731929779
Combined_3M,5,2.5998284816741943,3.466521739959717,0.8130587339401245
Combined_9M,9,2.5894856452941895,3.516120672225952,0.8644989132881165
Combined_9M,7,2.5906341075897217,3.4106693267822266,0.8729215264320374
Combined_9M,6,2.5910696983337402,3.520270586013794,0.8643012046813965
Combined_9M,1,2.641852617263794,3.6228208541870117,0.8561642169952393
Combined_9M,10,2.6326422691345215,3.416992664337158,0.8725444078445435
Combined_9M,8,2.568540096282959,3.4470455646514893,0.8699973225593567
Combined_9M,4,2.6580536365509033,3.652665376663208,0.8536548018455505
Combined_9M,3,2.57187819480896,3.4430389404296875,0.8704019784927368
Combined_9M,2,2.628838062286377,3.6016080379486084,0.8578508496284485
Combined_9M,5,2.569523572921753,3.444640874862671,0.8702645897865295
Combined_6M,9,2.460937023162842,3.386399984359741,0.8733434081077576
Combined_6M,7,2.4855618476867676,3.329943895339966,0.8775848746299744
Combined_6M,6,2.459733486175537,3.3804945945739746,0.8737849593162537
Combined_6M,1,2.5268919467926025,3.354152202606201,0.8759013414382935
Combined_6M,10,2.458115816116333,3.385190725326538,0.8734887838363647
Combined_6M,8,2.487767457962036,3.3244972229003906,0.8779115080833435
Combined_6M,4,2.4655356407165527,3.390568971633911,0.8731183409690857
Combined_6M,3,2.4728100299835205,3.3669373989105225,0.8748867511749268
Combined_6M,2,2.498138666152954,3.3568456172943115,0.875675618648529
Combined_6M,5,2.5736982822418213,3.354912042617798,0.875881016254425
