dataset,fold,mae,rmse,r2
_12_27M,9,4.140242576599121,5.109133243560791,0.7495770454406738
_12_27M,7,3.9560208320617676,4.954405307769775,0.762564480304718
_12_27M,6,4.464554786682129,5.214990615844727,0.736865758895874
_12_27M,1,3.8710107803344727,5.09057092666626,0.7555546760559082
_12_27M,10,3.9877090454101562,4.997835159301758,0.7639784216880798
_12_27M,8,4.702520370483398,5.826231956481934,0.6814987659454346
_12_27M,4,3.905703544616699,5.031023979187012,0.7582536935806274
_12_27M,3,3.686023473739624,4.8528056144714355,0.7762925624847412
_12_27M,2,4.4140400886535645,5.745163917541504,0.6907521486282349
_12_27M,5,3.896303176879883,4.84768533706665,0.7710319757461548
_12_24M,9,4.611741542816162,11.178528785705566,-1.1301164627075195
_12_24M,7,3.3830316066741943,6.690481662750244,0.3655868470668793
_12_24M,6,3.1564958095550537,5.256662845611572,0.6664496660232544
_12_24M,1,3.524214029312134,7.333691120147705,0.19272123277187347
_12_24M,10,2.916099786758423,3.863112449645996,0.8440256118774414
_12_24M,8,2.7125213146209717,3.398423433303833,0.8796594738960266
_12_24M,4,3.0119731426239014,5.369321823120117,0.6383128762245178
_12_24M,3,2.9875612258911133,5.4481377601623535,0.6125394105911255
_12_24M,2,2.5070390701293945,3.7805328369140625,0.8432424664497375
_12_24M,5,3.9066271781921387,7.925313472747803,0.05563502758741379
_15_27M,9,3.2248082160949707,4.002449035644531,0.8214375376701355
_15_27M,7,3.1561031341552734,3.984027147293091,0.8227696418762207
_15_27M,6,3.062041759490967,3.8890023231506348,0.8339273929595947
_15_27M,1,2.9108762741088867,3.6185340881347656,0.8463492393493652
_15_27M,10,3.116697311401367,3.9219517707824707,0.8304298520088196
_15_27M,8,3.2107319831848145,4.236595153808594,0.7987068295478821
_15_27M,4,3.0000171661376953,3.8009142875671387,0.834980309009552
_15_27M,3,2.9932312965393066,3.7637808322906494,0.8385222554206848
_15_27M,2,2.981523036956787,3.709571123123169,0.838662326335907
_15_27M,5,3.0843470096588135,3.9016880989074707,0.8272825479507446
_15_24M,9,2.611894130706787,3.391540288925171,0.8670487403869629
