dataset,fold,mae,rmse,r2
_0_9M,9,2.989323854446411,5.15792989730835,0.4231698215007782
_0_9M,7,2.894166946411133,4.929370403289795,0.4775271415710449
_0_9M,6,2.7166290283203125,4.7451372146606445,0.49930107593536377
_0_9M,1,2.9309611320495605,4.928043842315674,0.4912321865558624
_0_9M,10,2.7838847637176514,4.594748020172119,0.5761846899986267
_0_9M,8,2.844923257827759,5.022249221801758,0.4142332673072815
_0_9M,4,2.68599009513855,4.4775261878967285,0.6041432619094849
_0_9M,3,3.0046234130859375,4.969875812530518,0.513299822807312
_0_9M,2,2.9118833541870117,4.939904689788818,0.5054369568824768
_0_9M,5,2.8025057315826416,4.676141738891602,0.5425631403923035
_0_3M,9,2.4925918579101562,3.564208507537842,0.7681118845939636
_0_3M,7,2.4821629524230957,3.346923351287842,0.7944992780685425
_0_3M,6,2.478264570236206,3.467979907989502,0.7791893482208252
_0_3M,1,2.58705735206604,3.9980320930480957,0.704529345035553
_0_3M,10,2.505915880203247,3.705470085144043,0.7496259808540344
_0_3M,8,2.571472406387329,3.9274532794952393,0.7126656174659729
_0_3M,4,2.475006103515625,3.4218251705169678,0.7864248156547546
_0_3M,3,2.5504958629608154,3.51784610748291,0.7753422260284424
_0_3M,2,2.5166218280792236,3.5545835494995117,0.7689347863197327
_0_3M,5,2.632812023162842,4.201994895935059,0.6584922075271606
_3_6M,9,2.7554328441619873,4.401825428009033,-0.12477333098649979
_3_6M,7,2.683985948562622,4.206149101257324,0.413532018661499
_3_6M,6,2.6247758865356445,3.80680775642395,0.5245758891105652
_3_6M,1,3.4943573474884033,7.289109706878662,-9.039407730102539
_3_6M,10,2.8257102966308594,4.77226448059082,-0.24092677235603333
_3_6M,8,2.5912036895751953,3.8854146003723145,0.5622719526290894
_3_6M,4,2.894995927810669,4.938055038452148,-0.8401728272438049
_3_6M,3,2.7466390132904053,4.465534210205078,-0.04131019115447998
_3_6M,2,2.996969223022461,5.254091262817383,-1.3226776123046875
_3_6M,5,2.8883473873138428,4.977029800415039,-0.9837796092033386
_0_6M,9,2.4394400119781494,3.4262728691101074,0.8359110355377197
_0_6M,7,2.32775616645813,3.2125980854034424,0.8556002974510193
_0_6M,6,2.3734562397003174,3.3631904125213623,0.841908872127533
_0_6M,1,2.8729114532470703,4.024960994720459,0.7705447673797607
_0_6M,10,2.49183988571167,3.545372486114502,0.8227916359901428
_0_6M,8,2.3465523719787598,3.1877942085266113,0.8577307462692261
_0_6M,4,2.525660514831543,3.4709551334381104,0.8310749530792236
_0_6M,3,2.444094181060791,3.520078659057617,0.8257032036781311
_0_6M,2,2.585602283477783,3.458404064178467,0.8321561813354492
_0_6M,5,2.3723878860473633,3.381976842880249,0.8403013348579407
_3_9M,9,2.356109142303467,3.371887683868408,0.8589820265769958
_3_9M,7,2.4799773693084717,3.3273932933807373,0.8626922369003296
_3_9M,6,2.4215500354766846,3.817640542984009,0.8162612915039062
_3_9M,1,2.3431079387664795,3.139730930328369,0.8760358095169067
_3_9M,10,2.4786200523376465,3.507221221923828,0.8462217450141907
_3_9M,8,2.6025335788726807,4.3743672370910645,0.7343941926956177
_3_9M,4,2.581061601638794,4.831028938293457,0.6741881370544434
_3_9M,3,2.5691897869110107,5.531738758087158,0.49275103211402893
_3_9M,2,2.629455804824829,6.374170303344727,0.2605637013912201
_3_9M,5,2.3945248126983643,3.3301901817321777,0.8623804450035095
_6_12M,9,2.7462096214294434,3.5641674995422363,0.8655329346656799
_6_12M,7,2.6660070419311523,3.597083330154419,0.8622723817825317
_6_12M,6,2.7663402557373047,3.541435480117798,0.8674393892288208
_6_12M,1,2.6489195823669434,3.3066189289093018,0.8834277987480164
_6_12M,10,2.844005584716797,3.5050241947174072,0.8702589869499207
_6_12M,8,2.6238229274749756,3.370821475982666,0.8798413872718811
_6_12M,4,2.650054931640625,3.312676191329956,0.8835424184799194
_6_12M,3,2.655444383621216,3.3737382888793945,0.8794011473655701
_6_12M,2,2.5972909927368164,3.313481092453003,0.8828388452529907
_6_12M,5,2.5981979370117188,3.284010887145996,0.8856622576713562
_6_9M,9,2.2070555686950684,3.0144660472869873,0.8834792971611023
_6_9M,7,2.1852264404296875,3.0050504207611084,0.8852841854095459
_6_9M,6,2.1896164417266846,2.9997336864471436,0.8850477933883667
_6_9M,1,2.2206549644470215,3.044491767883301,0.8825902342796326
_6_9M,10,2.218766212463379,3.1271066665649414,0.8758673667907715
_6_9M,8,2.1960642337799072,3.1074259281158447,0.8778011798858643
_6_9M,4,2.203033208847046,3.117645740509033,0.8773895502090454
_6_9M,3,2.239751100540161,3.2537806034088135,0.8670113682746887
_6_9M,2,2.1808412075042725,3.009664297103882,0.8844480514526367
_6_9M,5,2.170698881149292,3.0070159435272217,0.8848397731781006
_3_12M,9,2.4404890537261963,3.309882402420044,0.872744083404541
_3_12M,7,2.458392858505249,3.2589330673217773,0.876279890537262
_3_12M,6,2.480804681777954,3.3090949058532715,0.8710956573486328
_3_12M,1,2.5697789192199707,3.336902618408203,0.8712282776832581
_3_12M,10,2.446193218231201,3.297384738922119,0.873241662979126
_3_12M,8,2.489051103591919,3.278640031814575,0.8750030994415283
_3_12M,4,2.457021713256836,3.2681689262390137,0.8756601810455322
_3_12M,3,2.50484037399292,3.256910562515259,0.8770301938056946
_3_12M,2,2.523904323577881,3.3067331314086914,0.8735412955284119
_3_12M,5,2.486025810241699,3.3257789611816406,0.8703573942184448
_0_12M,9,2.3868980407714844,3.160134792327881,0.8991357684135437
_0_12M,7,2.3676669597625732,3.1823761463165283,0.8979731202125549
_0_12M,6,2.4300734996795654,3.375746011734009,0.8848634362220764
_0_12M,1,2.3598499298095703,3.200214147567749,0.8962593674659729
_0_12M,10,2.382497787475586,3.2030959129333496,0.8962376713752747
_0_12M,8,2.3743693828582764,3.268784761428833,0.8926042318344116
_0_12M,4,2.3326222896575928,3.160311222076416,0.899401843547821
_0_12M,3,2.346811532974243,3.2089197635650635,0.8961526155471802
_0_12M,2,2.4323580265045166,3.3210878372192383,0.8883653879165649
_0_12M,5,2.3388779163360596,3.169426202774048,0.8988713622093201
