dataset,fold,mae,rmse,r2
Combined_12M,9,2.7330853939056396,4.712980270385742,0.6419537663459778
Combined_12M,7,3.5832645893096924,4.620921611785889,0.746064305305481
Combined_12M,6,2.842081069946289,5.2339582443237305,0.48347043991088867
Combined_12M,1,3.429543972015381,5.106558799743652,0.6153079271316528
Combined_12M,10,2.682814836502075,3.7385504245758057,0.8344122767448425
Combined_12M,8,2.7067131996154785,4.289710998535156,0.7479254603385925
Combined_12M,4,2.6693835258483887,4.023034572601318,0.7998505234718323
Combined_12M,3,3.2761971950531006,4.822640895843506,0.6604296565055847
Combined_12M,2,2.804741859436035,3.509949207305908,0.8585134744644165
Combined_12M,5,4.043529987335205,5.125836372375488,0.687221348285675
Combined_3M,9,2.4094960689544678,3.3106026649475098,0.8628756999969482
Combined_3M,7,2.4183037281036377,3.599635124206543,0.8315386176109314
Combined_3M,6,2.400162696838379,3.360548257827759,0.8581932783126831
Combined_3M,1,2.3846595287323,3.3920345306396484,0.8561540842056274
Combined_3M,10,2.411214590072632,3.5210320949554443,0.8416188359260559
Combined_3M,8,2.3776514530181885,3.4116733074188232,0.8534018397331238
Combined_3M,4,2.466221332550049,3.8327181339263916,0.8012712597846985
Combined_3M,3,2.4133918285369873,3.365643262863159,0.8578600883483887
Combined_3M,2,2.3753154277801514,3.38724684715271,0.8563199639320374
Combined_3M,5,2.4187207221984863,3.390336513519287,0.8560434579849243
Combined_9M,9,2.266580104827881,3.003946304321289,0.8831916451454163
Combined_9M,7,2.2914230823516846,3.105597734451294,0.874782145023346
Combined_9M,6,2.228262424468994,2.9586265087127686,0.8867349624633789
Combined_9M,1,2.2873857021331787,3.103541851043701,0.8726149201393127
Combined_9M,10,2.291438102722168,3.0830490589141846,0.8762063384056091
Combined_9M,8,2.2819666862487793,3.079514741897583,0.8765029311180115
Combined_9M,4,2.2758257389068604,3.0629374980926514,0.8779140710830688
Combined_9M,3,2.2364044189453125,2.977266550064087,0.8852241039276123
Combined_9M,2,2.2727668285369873,3.0908520221710205,0.8733530044555664
Combined_9M,5,2.2955644130706787,3.1638786792755127,0.8681161403656006
Combined_6M,9,2.6134533882141113,3.4908809661865234,0.8545631170272827
Combined_6M,7,2.4797489643096924,3.4296653270721436,0.8583003282546997
Combined_6M,6,2.686483860015869,3.5819015502929688,0.8416794538497925
Combined_6M,1,2.806730031967163,3.788970470428467,0.8224670886993408
Combined_6M,10,2.6493093967437744,3.5468924045562744,0.8484897613525391
Combined_6M,8,2.678449869155884,3.5345866680145264,0.8511590361595154
Combined_6M,4,2.8803651332855225,3.6950783729553223,0.8367834687232971
Combined_6M,3,2.579315185546875,3.614365339279175,0.8425433039665222
Combined_6M,2,2.79156494140625,3.6638779640197754,0.837591826915741
Combined_6M,5,2.8276026248931885,3.676248550415039,0.8381557464599609
