dataset,fold,mae,rmse,r2
_12_27M,9,3.864661455154419,5.139220237731934,0.7528353929519653
_12_27M,7,3.8941118717193604,5.1292266845703125,0.7537956833839417
_12_27M,6,4.114066123962402,5.5723795890808105,0.7094149589538574
_12_27M,1,4.008917808532715,5.584814548492432,0.7081165909767151
_12_27M,10,3.808061361312866,5.017824649810791,0.7643742561340332
_12_27M,8,3.959890365600586,5.448951721191406,0.7221453189849854
_12_27M,4,4.17076301574707,5.107578277587891,0.7558695673942566
_12_27M,3,4.053407192230225,5.610522270202637,0.7054232954978943
_12_27M,2,4.043950080871582,5.02833366394043,0.7633862495422363
_12_27M,5,4.343387603759766,5.215793132781982,0.7454150915145874
_12_24M,9,2.3221821784973145,3.1215357780456543,0.898218035697937
_12_24M,7,2.185134172439575,3.0700061321258545,0.9022455811500549
_12_24M,6,2.0124659538269043,3.02097749710083,0.9053903818130493
_12_24M,1,2.077136993408203,2.9893529415130615,0.9099751114845276
_12_24M,10,2.269500255584717,3.1766810417175293,0.8942436575889587
_12_24M,8,2.3530240058898926,3.1278414726257324,0.8981068730354309
_12_24M,4,2.1359283924102783,2.9789655208587646,0.9095548987388611
_12_24M,3,2.376394033432007,3.108041524887085,0.9021974802017212
_12_24M,2,2.535799741744995,3.2594897747039795,0.8928818702697754
_12_24M,5,2.045243501663208,3.1416287422180176,0.8980439305305481
_15_27M,9,2.550069808959961,3.657769203186035,0.8539280295372009
_15_27M,7,2.7446727752685547,3.8839826583862305,0.8354097008705139
_15_27M,6,2.6221978664398193,3.79653263092041,0.8420079350471497
_15_27M,1,2.641953945159912,3.7212162017822266,0.8424720168113708
_15_27M,10,2.533787727355957,3.7727811336517334,0.844007670879364
_15_27M,8,2.792919158935547,3.946497678756714,0.8300909399986267
_15_27M,4,2.5213890075683594,3.7136807441711426,0.8493313789367676
_15_27M,3,2.6158220767974854,3.6939659118652344,0.8492608070373535
_15_27M,2,2.5289466381073,3.6977150440216064,0.8483670949935913
_15_27M,5,2.580744743347168,3.7583794593811035,0.8449456095695496
_15_24M,9,2.5062742233276367,3.1633141040802,0.8497915863990784
_15_24M,7,2.5016674995422363,3.1944985389709473,0.8488070964813232
_15_24M,6,2.5136778354644775,3.210242509841919,0.8470852375030518
_15_24M,1,2.918989419937134,3.8115649223327637,0.7776201367378235
_15_24M,10,2.546654462814331,3.2244763374328613,0.8456568121910095
_15_24M,8,2.543682098388672,3.2419028282165527,0.843312680721283
_15_24M,4,2.5805349349975586,3.311462163925171,0.8370429277420044
_15_24M,3,2.644505262374878,3.4536168575286865,0.8212063312530518
_15_24M,2,2.649946689605713,3.3539791107177734,0.8369897603988647
_15_24M,5,2.710649013519287,3.5314769744873047,0.8109130859375
_9_18M,9,2.7090821266174316,3.3479411602020264,0.8477216958999634
_9_18M,7,2.675795316696167,3.2886555194854736,0.852710485458374
_9_18M,6,2.8393378257751465,3.417097568511963,0.8387613296508789
_9_18M,1,2.9584882259368896,3.8190629482269287,0.8166623711585999
_9_18M,10,3.0590784549713135,3.7280209064483643,0.8138046264648438
_9_18M,8,2.6734399795532227,3.3503623008728027,0.8487956523895264
_9_18M,4,2.5724973678588867,3.185861825942993,0.8679190278053284
_9_18M,3,2.8118934631347656,3.404142141342163,0.8431436419487
_9_18M,2,2.5512804985046387,3.201641798019409,0.8633363842964172
_9_18M,5,3.0134987831115723,3.804537296295166,0.8105586767196655
_18_21M,9,2.11409854888916,2.943127393722534,0.8209385871887207
_18_21M,7,2.133246660232544,3.016404628753662,0.8193568587303162
_18_21M,6,2.130232572555542,2.9490108489990234,0.8158905506134033
_18_21M,1,2.1517131328582764,2.9552502632141113,0.8164181709289551
_18_21M,10,2.1515450477600098,2.970316171646118,0.8135368824005127
_18_21M,8,2.3112757205963135,3.0219240188598633,0.7946020364761353
_18_21M,4,2.264904022216797,2.9650020599365234,0.8050118088722229
_18_21M,3,2.3439714908599854,3.013362169265747,0.7944934368133545
_18_21M,2,2.266489267349243,3.01830792427063,0.7968659996986389
_18_21M,5,2.130629301071167,2.9163260459899902,0.8170725703239441
_21_30M,9,1.9578309059143066,2.5771090984344482,0.9284787178039551
_21_30M,7,1.9544934034347534,2.59824800491333,0.9275339841842651
_21_30M,6,1.9512059688568115,2.575862169265747,0.9287232160568237
_21_30M,1,2.375994920730591,3.17743182182312,0.8953620195388794
_21_30M,10,1.9946656227111816,2.596567392349243,0.9274784326553345
_21_30M,8,1.9706964492797852,2.583770513534546,0.9282946586608887
_21_30M,4,1.973093032836914,2.623378038406372,0.9262770414352417
_21_30M,3,2.0471925735473633,2.6490025520324707,0.9247656464576721
_21_30M,2,2.004201889038086,2.7008872032165527,0.9221423864364624
_21_30M,5,1.986654281616211,2.6112706661224365,0.9268831014633179
_9_15M,9,2.4484517574310303,3.019737958908081,0.8238096833229065
_9_15M,7,2.392260789871216,3.005585193634033,0.8244777321815491
_9_15M,6,2.3630354404449463,3.042412281036377,0.8201238512992859
_9_15M,1,2.3744330406188965,2.97629976272583,0.8290706872940063
_9_15M,10,2.413461923599243,3.0408518314361572,0.8210829496383667
_9_15M,8,2.59675669670105,3.157292604446411,0.8058425188064575
_9_15M,4,2.398683786392212,3.0283238887786865,0.8215680122375488
_9_15M,3,2.3471438884735107,3.093296766281128,0.8135700821876526
_9_15M,2,2.3319272994995117,3.095825433731079,0.8145750164985657
_9_15M,5,2.320577621459961,2.9692139625549316,0.8288438320159912
_27_30M,9,2.037785530090332,2.6235783100128174,0.9087084531784058
_27_30M,7,2.0179128646850586,2.632783889770508,0.9082852602005005
_27_30M,6,2.0000205039978027,2.592519998550415,0.9108861088752747
_27_30M,1,2.009263038635254,2.591123580932617,0.9108673334121704
_27_30M,10,2.0448801517486572,2.6728591918945312,0.9054665565490723
_27_30M,8,2.03537917137146,2.660374402999878,0.9064590930938721
_27_30M,4,2.010629415512085,2.580329179763794,0.9115327000617981
_27_30M,3,2.0207908153533936,2.6180758476257324,0.9090710282325745
_27_30M,2,1.9846587181091309,2.569627523422241,0.9121708869934082
_27_30M,5,1.9907255172729492,2.5726544857025146,0.9120270609855652
_9_21M,9,2.902360439300537,3.5365102291107178,0.841397762298584
_9_21M,7,2.8898916244506836,3.5199968814849854,0.8431392908096313
_9_21M,6,3.2737460136413574,3.9419384002685547,0.8000850081443787
_9_21M,1,3.1824254989624023,3.9316117763519287,0.7992998361587524
_9_21M,10,3.0052318572998047,3.6850178241729736,0.8277234435081482
_9_21M,8,2.857344150543213,3.5377087593078613,0.8424544930458069
_9_21M,4,2.8954882621765137,3.512580633163452,0.8437345027923584
_9_21M,3,3.310580015182495,3.9470081329345703,0.7978765964508057
_9_21M,2,3.053454637527466,3.6581320762634277,0.8281574845314026
