dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.713306498527527,2.646551761158714,2.78006123589634,0.107702558516227,3.7002628326416014,3.619126756981997,3.7813989083012056,0.13090550994494804,0.7854419052600861,0.7732815696389328,0.7976022408812393,0.019619570242307417
_12_18M,2.597226858139038,2.530727506114368,2.6637262101637083,0.10729051802208563,3.2663774728775024,3.1983584488670003,3.3343964968880044,0.10974236739534036,0.7811448335647583,0.7677029455978585,0.7945867215316581,0.021687235728680324
_12_21M,2.3961095333099367,2.276605036058448,2.515614030561425,0.19280938874899742,3.080231213569641,2.9377528110224422,3.22270961611684,0.2298756476691248,0.897487473487854,0.8846342878367095,0.9103406591389984,0.020737419309495356
_12_24M,2.2312809228897095,2.12678709281029,2.335774752969129,0.1685910737171324,3.099452042579651,3.0454237743303154,3.153480310828986,0.08716958454207037,0.9010857820510865,0.8974345530623411,0.9047370110398318,0.005890918297586076
_12_27M,4.026121687889099,3.927881508686096,4.1243618670921025,0.15850138980846729,5.285464477539063,5.13585771358106,5.435071241497066,0.24137659565024336,0.7380776405334473,0.7231698456831446,0.75298543538375,0.024052340110961853
_15_18M,2.5170875549316407,2.4762195199750843,2.557955589888197,0.06593677242760135,3.2338786363601684,3.2159946229394683,3.2517626497808685,0.028854191895117825,0.8238261938095093,0.8218936133431273,0.8257587742758913,0.003118038793529416
_15_21M,2.5789671182632445,2.5263487427762983,2.631585493750191,0.08489485373302147,3.226788067817688,3.1525773107171027,3.300998824918273,0.11973215271600146,0.8752099752426148,0.8693616002142118,0.8810583502710178,0.009435809030921108
_15_24M,2.611658143997192,2.531797562365613,2.6915187256287716,0.12884761899061045,3.349653434753418,3.2249680600260064,3.47433880948083,0.20116825257664112,0.831842565536499,0.8176643584725796,0.8460207726004185,0.022875218091568374
_15_27M,2.6132503747940063,2.555782427330968,2.6707183222570445,0.09271918695821234,3.7642520666122437,3.708121033551704,3.8203830996727834,0.09056219994363122,0.8439821183681488,0.8396082663228146,0.8483559704134831,0.007056803373388916
_18_21M,2.199810576438904,2.1459601212647996,2.2536610316130083,0.08688269968722882,2.9769031524658205,2.953462138518405,3.000344166413236,0.03781989527428994,0.8094186902046203,0.8028294700798684,0.8160079103293723,0.010631093672670821
_18_24M,2.554559898376465,2.5308840816817355,2.5782357150711945,0.038198727663257215,3.5301522970199586,3.477654604864529,3.5826499891753882,0.08470014240485273,0.8133004784584046,0.8080483145108615,0.8185526424059477,0.008473877917784325
_18_27M,2.6674044132232666,2.589693259182454,2.745115567264079,0.12537971753528832,3.4970505475997924,3.391039288856205,3.60306180634338,0.17103930369957965,0.8530128836631775,0.8437290782379813,0.8622966890883738,0.01497855637624905
_21_27M,2.2434473037719727,2.1292409618596118,2.3576536456843336,0.18426130799949483,2.8947522401809693,2.779985069385448,3.0095194109764907,0.18516615322826857,0.8941989958286285,0.8854331028244272,0.9029648888328298,0.014142952866638846
_21_30M,2.0216029047966004,1.9423987178126645,2.1008070917805366,0.12778858729137757,2.6693527460098267,2.5561982436414334,2.78250724837822,0.18256426274849022,0.923593920469284,0.9173225351517066,0.9298653057868614,0.010118296779634307
_24_27M,2.3080381631851195,2.268938954549678,2.347137371820561,0.06308293571332606,3.272485947608948,3.2446642475589864,3.3003076476589093,0.044887724763213746,0.8472136199474335,0.8448545932074872,0.8495726466873798,0.003806070183403923
_24_30M,2.283127784729004,2.170146875533959,2.396108693924049,0.18228418631275686,3.0108008861541746,2.9412109794973142,3.080390792811035,0.11227684040520017,0.8876216113567352,0.8836762958548545,0.8915669268586159,0.006365399527506853
_27_30M,2.015204572677612,2.002713840172592,2.0276953051826325,0.020152634877430728,2.611392641067505,2.588945139318451,2.6338401428165588,0.036216955769195903,0.9095474481582642,0.9080979627291282,0.9109969335874001,0.0023386098935185232
_6_15M,2.7290152072906495,2.656872595652884,2.801157818928415,0.1163953924124033,3.5153854131698608,3.424006914266138,3.6067639120735837,0.14743070699130786,0.8654263556003571,0.8583012069432533,0.8725515042574609,0.011495764501907113
_6_18M,2.4993752241134644,2.35711507575608,2.641635372470849,0.22952351483816139,3.247392439842224,3.0649388087550826,3.4298460709293654,0.2943719600017704,0.9154670774936676,0.9055004223229886,0.9254337326643467,0.016080270914714402
_9_15M,2.3986732244491575,2.349329625204004,2.448016823694311,0.07961130692104611,3.0428839683532716,3.0068393868765644,3.0789285498299788,0.058154578966280464,0.820296436548233,0.8158220279764368,0.8247708451200293,0.007219041974008814
_9_18M,2.7864392042160033,2.6749886947401746,2.897889713691832,0.17981502873969232,3.454732346534729,3.3057511674969353,3.6037135255725223,0.2403672725799793,0.8403413891792297,0.8277225998881024,0.8529601784703571,0.02035924258862447
_9_21M,3.0334124326705934,2.929976681101409,3.1368481842397777,0.16688396247446827,3.681526947021484,3.565305475337133,3.7977484187058352,0.18751253241801824,0.8264043271541596,0.8141843085385712,0.838624345769748,0.019715863201488153
_9_24M,2.8119394302368166,2.595665691074076,3.028213169399557,0.34893755807929466,3.9929684162139893,3.7439302500086296,4.242006582419349,0.40179991302066803,0.8485589683055877,0.8295612357233875,0.867556700887788,0.03065107415231877
