dataset,fold,mae,rmse,r2
_0_9M,9,2.3879261016845703,3.241230010986328,0.8623905777931213
_0_9M,7,2.357301950454712,3.290656328201294,0.8581489324569702
_0_9M,6,2.3606443405151367,3.206695556640625,0.8652274012565613
_0_9M,1,2.4802584648132324,3.505202054977417,0.8381107449531555
_0_9M,10,2.3732988834381104,3.250764846801758,0.8617536425590515
_0_9M,8,2.3571624755859375,3.2416505813598633,0.8622667789459229
_0_9M,4,2.324291944503784,3.169232130050659,0.8682809472084045
_0_9M,3,2.3341376781463623,3.2753005027770996,0.8593248128890991
_0_9M,2,2.407884359359741,3.4026989936828613,0.847707986831665
_0_9M,5,2.348536729812622,3.1782965660095215,0.8672727942466736
_0_3M,9,2.2823286056518555,2.940706968307495,0.8061252236366272
_0_3M,7,2.2237133979797363,2.968653917312622,0.8057816028594971
_0_3M,6,2.245515823364258,2.9643232822418213,0.8047464489936829
_0_3M,1,2.2529454231262207,3.020308017730713,0.7985664010047913
_0_3M,10,2.2783830165863037,2.942333936691284,0.8063551187515259
_0_3M,8,2.341531276702881,2.9707705974578857,0.7994789481163025
_0_3M,4,2.238523006439209,3.016491651535034,0.8003232479095459
_0_3M,3,2.2554361820220947,2.9530880451202393,0.8044885993003845
_0_3M,2,2.2914135456085205,2.9676520824432373,0.8010119199752808
_0_3M,5,2.240158796310425,3.021390199661255,0.8000455498695374
_3_6M,9,2.430241584777832,3.134039878845215,0.8506504893302917
_3_6M,7,2.4579296112060547,3.3356950283050537,0.8302031755447388
_3_6M,6,2.4254677295684814,3.129988431930542,0.8510413765907288
_3_6M,1,2.365699052810669,3.1185944080352783,0.852706789970398
_3_6M,10,2.4723713397979736,3.4229390621185303,0.8121801614761353
_3_6M,8,2.461764335632324,3.377316951751709,0.822765052318573
_3_6M,4,2.451493740081787,3.426759958267212,0.813193142414093
_3_6M,3,2.3930552005767822,3.1877331733703613,0.8439919948577881
_3_6M,2,2.495450973510742,3.1514456272125244,0.8483113050460815
_3_6M,5,2.4045612812042236,3.1160056591033936,0.852859377861023
_0_6M,9,2.56037974357605,3.582986831665039,0.7898299098014832
_0_6M,7,2.577629804611206,3.6007564067840576,0.7884153723716736
_0_6M,6,2.541109085083008,3.5035600662231445,0.7996407151222229
_0_6M,1,2.601623296737671,3.603703737258911,0.789537787437439
_0_6M,10,2.5948843955993652,3.6169521808624268,0.7872277498245239
_0_6M,8,2.5837278366088867,3.6178669929504395,0.7871059775352478
_0_6M,4,2.5894298553466797,3.5318920612335205,0.7946167588233948
_0_6M,3,2.538756847381592,3.494110584259033,0.7997485995292664
_0_6M,2,2.576714038848877,3.4887866973876953,0.8006596565246582
_0_6M,5,2.5985662937164307,3.661770820617676,0.7824224233627319
_3_9M,9,2.3266024589538574,3.080113649368286,0.8531665205955505
_3_9M,7,2.363403558731079,3.0753555297851562,0.8542975187301636
_3_9M,6,2.2843639850616455,3.097229242324829,0.8510163426399231
_3_9M,1,2.351637363433838,3.0839626789093018,0.8522077202796936
_3_9M,10,2.2915854454040527,3.1212806701660156,0.8488737344741821
_3_9M,8,2.29292368888855,3.1430680751800537,0.8466874361038208
_3_9M,4,2.331476926803589,3.2275028228759766,0.8383234143257141
_3_9M,3,2.3020741939544678,3.075010061264038,0.8533082008361816
_3_9M,2,2.33172607421875,3.078394889831543,0.8520958423614502
_3_9M,5,2.327221393585205,3.07006573677063,0.8540765643119812
_3_12M,9,2.316122055053711,3.118645191192627,0.8848108053207397
_3_12M,7,2.457453727722168,3.211902141571045,0.8780434727668762
_3_12M,6,2.3108320236206055,3.19008731842041,0.8793143033981323
_3_12M,1,2.4543073177337646,3.2715036869049072,0.8730000257492065
_3_12M,10,2.3310232162475586,3.128631114959717,0.8840346932411194
_3_12M,8,2.431840419769287,3.3522825241088867,0.8666630983352661
_3_12M,4,2.325110673904419,3.138597249984741,0.8834396004676819
_3_12M,3,2.423679828643799,3.184199810028076,0.8801014423370361
_3_12M,2,2.3213090896606445,3.1790289878845215,0.8801364898681641
_3_12M,5,2.3108174800872803,3.112654685974121,0.8852989673614502
_0_12M,9,2.606088638305664,3.3394558429718018,0.8660051226615906
_0_12M,7,2.4658288955688477,3.276461362838745,0.8711965680122375
_0_12M,6,2.624303102493286,3.5048987865448,0.8518017530441284
_0_12M,1,2.402021884918213,3.1556689739227295,0.8801977038383484
_0_12M,10,2.514887809753418,3.3385255336761475,0.8660323023796082
_0_12M,8,2.439781427383423,3.2638168334960938,0.871945321559906
_0_12M,4,2.4023327827453613,3.1574838161468506,0.880316436290741
_0_12M,3,2.31986665725708,3.139836311340332,0.8809571266174316
_0_12M,2,2.330775260925293,3.134746551513672,0.8812835216522217
_0_12M,5,2.3807523250579834,3.178276538848877,0.8784812688827515
