dataset,fold,mae,rmse,r2
Combined_12M,9,2.3849093914031982,3.330704689025879,0.8777473568916321
Combined_12M,7,2.407604694366455,3.273200273513794,0.8817065954208374
Combined_12M,6,2.388612985610962,3.3022358417510986,0.8796665668487549
Combined_12M,1,2.5040314197540283,3.358139991760254,0.8758397698402405
Combined_12M,10,2.3689680099487305,3.2993276119232178,0.8802973031997681
Combined_12M,8,2.384598731994629,3.299421787261963,0.8800511360168457
Combined_12M,4,2.4122071266174316,3.385265350341797,0.8736972808837891
Combined_12M,3,2.4200172424316406,3.3887224197387695,0.8733620643615723
Combined_12M,2,2.42641019821167,3.3830249309539795,0.873903214931488
Combined_12M,5,2.4119369983673096,3.3886492252349854,0.8733574151992798
Combined_9M,9,2.4196677207946777,3.2608225345611572,0.8676164150238037
Combined_9M,7,2.414381742477417,3.2047524452209473,0.8724616169929504
Combined_9M,6,2.4985995292663574,3.235943555831909,0.8700074553489685
Combined_9M,1,2.405910015106201,3.2984442710876465,0.864643394947052
Combined_9M,10,2.4322354793548584,3.2343873977661133,0.8698278665542603
Combined_9M,8,2.4611423015594482,3.2263307571411133,0.8705302476882935
Combined_9M,4,2.3531417846679688,3.1969845294952393,0.8730665445327759
Combined_9M,3,2.362258195877075,3.2283742427825928,0.8704641461372375
Combined_9M,2,2.3608601093292236,3.222593069076538,0.8713127374649048
Combined_9M,5,2.376131296157837,3.2009377479553223,0.8729047179222107
Combined_6M,9,2.2771553993225098,3.0139100551605225,0.8777876496315002
Combined_6M,7,2.2630867958068848,3.056511163711548,0.8739179968833923
Combined_6M,6,2.268569231033325,3.108503818511963,0.8696650266647339
Combined_6M,1,2.275648355484009,3.0936076641082764,0.8704090714454651
Combined_6M,10,2.3808140754699707,3.259075164794922,0.8570307493209839
Combined_6M,8,2.333388328552246,3.1793618202209473,0.8637231588363647
Combined_6M,4,2.270538091659546,3.01556658744812,0.8771814107894897
Combined_6M,3,2.2644221782684326,3.0614280700683594,0.8731513619422913
Combined_6M,2,2.2610888481140137,3.0443480014801025,0.8744436502456665
Combined_6M,5,2.27667498588562,3.0125787258148193,0.8774628043174744
