dataset,fold,mae,rmse,r2
_12_24M,9,2.1399943828582764,2.5352325439453125,0.9320905804634094
_12_24M,7,2.5222911834716797,2.868776321411133,0.9147860407829285
_12_24M,6,3.4243478775024414,3.986696481704712,0.8301620483398438
_12_24M,1,3.7493674755096436,4.4816765785217285,0.7845234274864197
_12_24M,10,2.0936546325683594,2.4825098514556885,0.9351792335510254
_12_24M,8,2.364603042602539,2.9114105701446533,0.9120657444000244
_12_24M,4,2.3654017448425293,2.667694091796875,0.9242334365844727
_12_24M,3,4.208212375640869,4.972501754760742,0.7284049987792969
_12_24M,2,2.976597785949707,3.510165214538574,0.8667446970939636
_12_24M,5,3.273099899291992,3.923074960708618,0.8307510018348694
_15_27M,9,2.8435654640197754,3.7910289764404297,0.8274832963943481
_15_27M,7,2.568819284439087,3.1878702640533447,0.8770503997802734
_15_27M,6,2.566239833831787,3.143678665161133,0.8825950622558594
_15_27M,1,2.7504451274871826,3.2868874073028564,0.8734533786773682
_15_27M,10,3.0549349784851074,3.8488779067993164,0.8222007751464844
_15_27M,8,2.3494515419006348,3.06783390045166,0.8874369263648987
_15_27M,4,2.2594127655029297,2.9779889583587646,0.8943184614181519
_15_27M,3,3.160172939300537,3.8462111949920654,0.8261964321136475
_15_27M,2,2.9539682865142822,3.4816086292266846,0.8580890893936157
_15_27M,5,2.441828966140747,2.961387872695923,0.8963926434516907
_15_24M,9,2.717092990875244,3.226017713546753,0.8654998540878296
_15_24M,7,2.6360132694244385,3.1503798961639404,0.8698235154151917
_15_24M,6,2.667248010635376,3.218073844909668,0.8632164597511292
_15_24M,1,2.7592966556549072,3.144721031188965,0.8642488121986389
_15_24M,10,2.6796319484710693,3.145205497741699,0.8703691959381104
_15_24M,8,2.945352792739868,3.661118268966675,0.8294055461883545
_15_24M,4,2.708387613296509,3.2559502124786377,0.8583734631538391
_15_24M,3,2.667325019836426,3.126779079437256,0.8697307705879211
_15_24M,2,2.732196569442749,3.3843088150024414,0.8422277569770813
_15_24M,5,3.0958592891693115,3.797489881515503,0.8134435415267944
_9_18M,9,4.389453411102295,5.220444202423096,0.658867359161377
_9_18M,7,3.1304166316986084,4.584863662719727,0.7329981923103333
_9_18M,6,3.1137707233428955,4.658816814422607,0.7247271537780762
_9_18M,1,6.976191520690918,8.390315055847168,0.09851913899183273
_9_18M,10,3.7430081367492676,4.717373371124268,0.7219690084457397
_9_18M,8,4.217571258544922,5.098570346832275,0.6752105951309204
_9_18M,4,4.06426477432251,5.059442043304443,0.6801406145095825
_9_18M,3,4.33254861831665,5.224621295928955,0.6589199900627136
_9_18M,2,5.457346439361572,6.176304340362549,0.5203033089637756
_9_18M,5,4.166018009185791,5.067248821258545,0.6792042851448059
_18_21M,9,2.778456211090088,3.9294092655181885,0.7675659656524658
