dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.69981529712677,2.5885451340205243,2.8110854602330155,0.17952405665008775,3.587864708900452,3.515678692964834,3.66005072483607,0.11646542120906284,0.7727473616600037,0.7618603761553823,0.7836343471646251,0.017565138289714982
_12_18M,2.8177845001220705,2.6910385034788598,2.9445304967652812,0.2044928743370416,3.692799997329712,3.5575336020490465,3.8280663926103777,0.21823974488140513,0.7627320170402527,0.7441282999733002,0.7813357341072052,0.03001536677393727
_12_21M,3.1698219060897825,2.7663067817446727,3.5733370304348924,0.6510341139064322,3.993221569061279,3.6183128301658343,4.368130307956724,0.6048803722504923,0.8190190374851227,0.7798274624505612,0.8582106125196842,0.0632319603054116
_12_24M,2.9117570400238035,2.4593792817977227,3.3641347982498844,0.7298694279568304,3.4339738368988035,2.890959838131278,3.976987835666329,0.8761025701332885,0.8658941209316253,0.8219965846193037,0.909791657243947,0.07082459102902285
_15_18M,3.233221745491028,3.042771353388807,3.4236721375932486,0.3072739899567149,4.102069282531739,3.9300512584237723,4.2740873066397045,0.27753507897088125,0.7434315204620361,0.7224997756431155,0.7643632652809567,0.03377142297409074
_15_21M,2.905885028839111,2.8372878817489338,2.9744821759292885,0.11067511520130233,4.467332792282105,4.418136609837651,4.516528974726558,0.07937346362737852,0.6903786599636078,0.6818306424168,0.6989266775104156,0.013791431085202841
_15_24M,2.76084041595459,2.6704412371141704,2.8512395947950093,0.14585066517582926,3.3110044240951537,3.165150072216864,3.4568587759734433,0.23532242784849614,0.854633891582489,0.8424261218530656,0.8668416613119124,0.019696100763181363
_15_27M,2.694883918762207,2.5050924800335004,2.884675357490914,0.3062108299913294,3.3593373775482176,3.137981016244493,3.580693738851942,0.3571378960647589,0.8645216464996338,0.8464333843761042,0.8826099086231635,0.029183728175769235
_18_21M,2.8947373628616333,2.7227133628735247,3.066761362849742,0.2775447204975517,3.892505574226379,3.730806687467354,4.054204460985405,0.2608861108531441,0.7674440145492554,0.7454932967441364,0.7893947323543743,0.035415441091728506
_18_24M,3.1081181526184083,2.9561675387911586,3.260068766445658,0.24515817936468606,4.560097694396973,4.325178283389338,4.795017105404607,0.3790206149843652,0.7007187902927399,0.6693519534455747,0.732085627139905,0.05060747317955946
_18_27M,3.4743951082229616,2.5722113726957256,4.376578843750198,1.4555895266454268,4.4476244926452635,3.3792622983260765,5.5159866869644505,1.7237030102367528,0.7193173170089722,0.5427197575208982,0.8959148764970462,0.28492373327009846
_18_30M,2.828537344932556,2.6944936595834994,2.962581030281613,0.21626701615610303,3.7387606620788576,3.6450412607499083,3.832480063407807,0.1512075352790264,0.8282821357250214,0.8202574136768116,0.8363068577732312,0.012947142480670675
_21_24M,2.438779926300049,2.283231564412532,2.594328288187566,0.2509628111595313,3.0955816507339478,2.9156236653547802,3.2755396361131153,0.2903454678231883,0.8533607125282288,0.8349200506924612,0.8718013743639963,0.0297522923275343
_21_27M,2.7980573415756225,2.6288769143138215,2.9672377688374234,0.2729568804427221,3.628589153289795,3.385352014181991,3.871826292397599,0.3924404954713657,0.8593673586845398,0.8395350198262206,0.8791996975428591,0.03199763373497568
_21_30M,3.393753671646118,2.99907533505917,3.788432008233066,0.6367767789496538,4.2720612525939945,3.841284312239966,4.702838192948024,0.6950185178557305,0.8518842875957489,0.8178912091671161,0.8858773660243816,0.05484466965062094
_24_27M,2.0864986419677733,2.0463477010647333,2.1266495828708134,0.06477980788388991,2.8688048124313354,2.8376850643047318,2.899924560557939,0.050208818515727296,-0.05423938781023028,-0.2728479158304188,0.16436914020995824,0.3527045226941507
_24_30M,2.8486702919006346,2.8111917394387733,2.886148844362496,0.06046815774775118,3.604850649833679,3.5275815841337184,3.68211971553364,0.12466644912503518,0.8121572256088256,0.8033846702708431,0.8209297809468081,0.014153701922394357
_27_30M,2.3606894254684447,2.261447872355081,2.4599309785818084,0.160117013454492,3.1610250234603883,3.040262802784996,3.2817872441357805,0.19483860848679457,0.8991686463356018,0.8911928685163796,0.907144424154824,0.012868175520506649
_6_15M,3.442642402648926,2.884041162039316,4.001243643258536,0.9012511347561792,4.220916748046875,3.6151817401653474,4.826651755928403,0.9772970833702405,0.7509827554225922,0.6639358474403558,0.8380296634048285,0.1404420880096727
_9_15M,2.9345695972442627,2.7492751435158023,3.119864050972723,0.29895536305031345,3.5686491250991823,3.4250545319162446,3.71224371828212,0.23167651742008719,0.7838051795959473,0.7670842449285094,0.8005261142633853,0.026977672528558254
_9_18M,4.359058952331543,3.6541472414159544,5.06397066324713,1.1373094672548139,5.4197999954223635,4.716106556355844,6.123493434488883,1.1353438989628128,0.6150859646499157,0.4965874386492506,0.7335844906505808,0.1911863477218292
_9_21M,2.848816430568695,2.447511980991932,3.250120880145458,0.6474673958279417,3.5218029022216797,3.077328645066357,3.9662771593770025,0.7171178642460271,0.7481907606124878,0.7025591429286252,0.7938223782963504,0.0736223699995016
