dataset,fold,mae,rmse,r2
_0_9M,9,2.406252384185791,3.233934164047241,0.8682318329811096
_0_9M,7,2.406796455383301,3.2363243103027344,0.8675757646560669
_0_9M,6,2.4430508613586426,3.1993703842163086,0.8709250688552856
_0_9M,1,2.488233804702759,3.239532470703125,0.8670178055763245
_0_9M,10,2.3948709964752197,3.219358444213867,0.8693562746047974
_0_9M,8,2.4585554599761963,3.2331230640411377,0.8681176900863647
_0_9M,4,2.461616277694702,3.236210584640503,0.8676204085350037
_0_9M,3,2.4403812885284424,3.2115745544433594,0.869367778301239
_0_9M,2,2.4482128620147705,3.3024041652679443,0.8617448210716248
_0_9M,5,2.405482530593872,3.188716173171997,0.8710798025131226
_0_3M,9,2.177448272705078,2.9523420333862305,0.83347487449646
_0_3M,7,2.155735969543457,2.9467742443084717,0.8343368768692017
_0_3M,6,2.2356882095336914,3.0053274631500244,0.8270552158355713
_0_3M,1,2.1641149520874023,2.971360683441162,0.831209659576416
_0_3M,10,2.1731252670288086,3.013050079345703,0.8269563913345337
_0_3M,8,2.1191165447235107,2.9007675647735596,0.8394962549209595
_0_3M,4,2.1153030395507812,2.9569244384765625,0.8331435322761536
_0_3M,3,2.134298324584961,2.8661301136016846,0.843563437461853
_0_3M,2,2.25388240814209,3.115999460220337,0.8147665858268738
_0_3M,5,2.2600526809692383,2.981198310852051,0.8303391933441162
_9_12M,9,2.4211184978485107,3.0470423698425293,0.8983979225158691
_9_12M,7,2.373739242553711,3.042642116546631,0.8983150124549866
_9_12M,6,2.392893075942993,3.0107998847961426,0.9010303616523743
_9_12M,1,2.3237080574035645,3.032503366470337,0.897786021232605
_9_12M,10,2.3254380226135254,3.0790765285491943,0.8954126834869385
_9_12M,8,2.4275522232055664,3.0384387969970703,0.8989333510398865
_9_12M,4,2.346386194229126,2.99059796333313,0.9014574289321899
_9_12M,3,2.506481409072876,3.1166815757751465,0.8942554593086243
_9_12M,2,2.208448886871338,2.9492712020874023,0.9041622281074524
_9_12M,5,2.283841609954834,3.0214836597442627,0.8994210958480835
_3_6M,9,2.338963031768799,3.1283721923828125,0.8496727347373962
_3_6M,7,2.356559991836548,3.1217586994171143,0.850292980670929
_3_6M,6,2.299989938735962,3.01065731048584,0.8607900738716125
_3_6M,1,2.4290454387664795,3.2494616508483887,0.8378151059150696
_3_6M,10,2.304438829421997,3.0211730003356934,0.8597987294197083
_3_6M,8,2.3047637939453125,3.054574966430664,0.8567094206809998
_3_6M,4,2.2436792850494385,2.933242082595825,0.8678582310676575
_3_6M,3,2.26885724067688,3.0033740997314453,0.8614600300788879
_3_6M,2,2.3408308029174805,3.009497880935669,0.8609073758125305
_3_6M,5,2.4692587852478027,3.28269624710083,0.8344882726669312
_0_6M,9,3.020069122314453,4.2036566734313965,0.7661948204040527
_0_6M,7,3.074455499649048,4.232621192932129,0.7627955079078674
_0_6M,6,3.060579538345337,4.238518238067627,0.7622154951095581
_0_6M,1,3.3819501399993896,5.014777660369873,0.6678466796875
_0_6M,10,3.1154062747955322,4.213993549346924,0.7653493285179138
_0_6M,8,3.015981674194336,4.182810306549072,0.7683272957801819
_0_6M,4,3.070016622543335,4.278511047363281,0.7580819725990295
_0_6M,3,2.9595136642456055,4.352860450744629,0.7497453093528748
_0_6M,2,3.001286745071411,4.5200958251953125,0.7299953103065491
_0_6M,5,2.9551970958709717,4.327385425567627,0.7521216869354248
_3_9M,9,2.153017997741699,3.0730979442596436,0.876295268535614
_3_9M,7,2.0258326530456543,2.982998847961426,0.8827490210533142
_3_9M,6,2.2194502353668213,3.0900869369506836,0.8746989369392395
_3_9M,1,2.0144360065460205,2.9386208057403564,0.884871780872345
_3_9M,10,2.1073381900787354,3.0364906787872314,0.8791723251342773
_3_9M,8,2.0506906509399414,2.989253520965576,0.8824988603591919
_3_9M,4,2.0898964405059814,3.019558906555176,0.8801915049552917
_3_9M,3,2.0037636756896973,2.958054542541504,0.8832702040672302
_3_9M,2,2.068084478378296,3.015390634536743,0.8791618943214417
_3_9M,5,2.2249011993408203,3.082685708999634,0.8754715323448181
_6_12M,9,2.459681272506714,3.375066041946411,0.8661702275276184
_6_12M,7,2.47735595703125,3.3601040840148926,0.8673906922340393
_6_12M,6,2.502138614654541,3.419092893600464,0.8626107573509216
_6_12M,1,2.5891480445861816,3.453084945678711,0.8598907589912415
_6_12M,10,2.4440484046936035,3.3696513175964355,0.8666017651557922
_6_12M,8,2.4620285034179688,3.30991268157959,0.8712659478187561
_6_12M,4,2.7844319343566895,3.7899117469787598,0.831270694732666
_6_12M,3,2.6621696949005127,3.6652987003326416,0.8422185182571411
_6_12M,2,2.6198720932006836,3.580683946609497,0.8493853211402893
_6_12M,5,2.531665086746216,3.4833288192749023,0.8574931025505066
_6_9M,9,2.564864158630371,3.5391321182250977,0.8178553581237793
_6_9M,7,2.505035161972046,3.2960739135742188,0.8428016901016235
_6_9M,6,2.452535629272461,3.377626895904541,0.8345674276351929
_6_9M,1,2.5575835704803467,3.5358710289001465,0.8188648223876953
_6_9M,10,2.561318874359131,3.515133857727051,0.8209589123725891
_6_9M,8,2.503671169281006,3.344372272491455,0.8384863138198853
_6_9M,4,2.5563974380493164,3.5438473224639893,0.8170430064201355
_6_9M,3,2.47651743888855,3.376530408859253,0.8343200087547302
_6_9M,2,2.5197489261627197,3.3701698780059814,0.8359054327011108
_6_9M,5,2.556089162826538,3.290525197982788,0.8430616855621338
_3_12M,9,2.4417333602905273,3.160668134689331,0.8592018485069275
_3_12M,7,2.550523042678833,3.4584848880767822,0.8307465314865112
_3_12M,6,2.5438878536224365,3.425734758377075,0.833447277545929
_3_12M,1,2.5124218463897705,3.4589834213256836,0.8295136094093323
_3_12M,10,2.396240234375,3.183837652206421,0.8566597104072571
_3_12M,8,2.497685194015503,3.2612063884735107,0.8490573763847351
_3_12M,4,2.5019664764404297,3.3719499111175537,0.8388112187385559
_3_12M,3,2.453843355178833,3.245089054107666,0.8496076464653015
_3_12M,2,2.571058511734009,3.5162510871887207,0.8255948424339294
_3_12M,5,2.4029648303985596,3.2236266136169434,0.8508419394493103
_0_12M,9,2.551553726196289,3.342339277267456,0.8564234972000122
_0_12M,7,2.5453197956085205,3.4544179439544678,0.8441178798675537
_0_12M,6,3.0854289531707764,4.056145191192627,0.7876407504081726
_0_12M,1,2.8396506309509277,3.5807344913482666,0.8369134664535522
_0_12M,10,2.4886255264282227,3.3139631748199463,0.8585303425788879
_0_12M,8,2.701045036315918,3.6804027557373047,0.8229232430458069
_0_12M,4,2.4270081520080566,3.296982765197754,0.8562911748886108
_0_12M,3,2.450244426727295,3.230221748352051,0.8642585277557373
_0_12M,2,2.6607046127319336,3.3879761695861816,0.8533995747566223
_0_12M,5,2.4381184577941895,3.2904341220855713,0.8595688343048096
