dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_0_12M,2.6187699317932127,2.488144836163574,2.7493950274228514,0.2107514396770225,3.4633617639541625,3.307799144855349,3.618924383052976,0.2509858138436024,0.8440067291259765,0.8295025484728662,0.8585109097790868,0.02340114615223333
_0_3M,2.1788765668869017,2.1456710432179413,2.212082090555862,0.05357402331252345,2.9709874391555786,2.9290828521246883,3.012892026186469,0.06760915276855388,0.8314342021942138,0.826606993136862,0.8362614112515656,0.007788252736237748
_0_6M,3.065445637702942,2.9895927331187013,3.1412985422871826,0.12238160491103452,4.356523036956787,4.200522798748315,4.512523275165259,0.2516918715651002,0.7482673406600953,0.7294042976776853,0.7671303836425052,0.030433765013301355
_0_9M,2.4353452920913696,2.4163336633777,2.454356920805039,0.030673494267679596,3.230054831504822,3.2109709346506636,3.24913872835898,0.030790092189215478,0.8681037247180938,0.866475265290321,0.8697321841458666,0.002627367790273669
_3_12M,2.48723247051239,2.449266656408096,2.525198284616684,0.06125430907760942,3.330583190917969,3.250021459385696,3.4111449224502417,0.12997885912703536,0.8423482000827789,0.834812295056092,0.8498841051094658,0.01215848169134829
_3_6M,2.33563871383667,2.2927128350073964,2.3785645926659438,0.06925691207393238,3.0814808130264284,3.0113698446731867,3.15159178137967,0.11311752497766789,0.8539792954921722,0.8472604140485921,0.8606981769357523,0.010840290148139453
_3_9M,2.0957411527633667,2.04590438058275,2.1455779249439835,0.08040699557227803,3.0186238527297973,2.9861473642946263,3.051100341164968,0.05239779278533573,0.8798381328582764,0.8776543437506665,0.8820219219658862,0.0035233405660784266
_6_12M,2.553253960609436,2.485082954054113,2.6214249671647596,0.10998757709239389,3.4806135177612303,3.3856097158893297,3.575617319633131,0.15327979606661957,0.8574297785758972,0.849523428740271,0.8653361284115234,0.01275615992789629
_6_9M,2.5253761529922487,2.5005808382652353,2.550171467719262,0.04000493359085652,3.418928289413452,3.3549133704085956,3.4829432084183085,0.10328211647272746,0.8303864657878876,0.8238514264173171,0.836921505158458,0.010543678066263086
_9_12M,2.3609607219696045,2.309317674840583,2.412603769098626,0.08332125216282003,3.0328537464141845,3.004466176297365,3.061241316531004,0.04580070347289881,0.898917156457901,0.8971326112474274,0.9007017016683747,0.002879197679919056
