dataset,fold,mae,rmse,r2
Combined_12M,9,4.994634628295898,5.900056838989258,0.48360127210617065
Combined_12M,7,6.65711784362793,7.493955612182617,0.12851577997207642
Combined_12M,6,4.551000595092773,5.4863152503967285,0.550133228302002
Combined_12M,1,8.019611358642578,8.915451049804688,-0.2253849357366562
Combined_12M,10,5.696450233459473,6.561781883239746,0.35014429688453674
Combined_12M,8,6.380670070648193,7.369142532348633,0.14636628329753876
Combined_12M,4,3.9344375133514404,4.848899841308594,0.6656076908111572
Combined_12M,3,3.955411672592163,4.972531795501709,0.6413323283195496
Combined_12M,2,4.487400531768799,5.466998100280762,0.5718733072280884
Combined_12M,5,6.297626972198486,7.193821907043457,0.23344464600086212
Combined_3M,9,2.31321120262146,3.1724607944488525,0.8812288045883179
Combined_3M,7,2.3310353755950928,3.2191872596740723,0.8781730532646179
Combined_3M,6,2.3507206439971924,3.1911749839782715,0.8804450631141663
Combined_3M,1,2.2937748432159424,3.233236312866211,0.8765997886657715
Combined_3M,10,2.287623882293701,3.183361291885376,0.8802199363708496
Combined_3M,8,2.2788138389587402,3.1980981826782227,0.8791289329528809
Combined_3M,4,2.2940359115600586,3.182523250579834,0.8807998895645142
Combined_3M,3,2.31498384475708,3.171532392501831,0.8812645673751831
Combined_3M,2,2.2856764793395996,3.2076282501220703,0.878639280796051
Combined_3M,5,2.2871885299682617,3.2207024097442627,0.8773680329322815
Combined_9M,9,3.263582229614258,5.557798385620117,0.045881181955337524
Combined_9M,7,2.780564069747925,3.9043474197387695,0.7095577716827393
Combined_9M,6,3.1068668365478516,3.8759329319000244,0.7779821753501892
Combined_9M,1,2.9502336978912354,4.3897929191589355,0.5827837586402893
Combined_9M,10,3.051377773284912,4.643555641174316,0.5233023166656494
Combined_9M,8,2.5834786891937256,3.2002596855163574,0.8550353646278381
Combined_9M,4,2.5598385334014893,3.2630908489227295,0.8440226912498474
Combined_9M,3,2.6536643505096436,3.4666409492492676,0.793552041053772
Combined_9M,2,2.8524279594421387,3.910545825958252,0.7049039602279663
Combined_9M,5,2.8338382244110107,3.858258008956909,0.7572116851806641
Combined_6M,9,2.8490524291992188,4.499600887298584,0.6942026615142822
Combined_6M,7,2.7349414825439453,4.310880661010742,0.7105752825737
Combined_6M,6,3.4414124488830566,5.243124961853027,0.5454652309417725
Combined_6M,1,2.808685064315796,4.38601016998291,0.711438000202179
Combined_6M,10,2.5430681705474854,3.5610976219177246,0.8335632681846619
Combined_6M,8,2.631115674972534,3.686300754547119,0.820863664150238
Combined_6M,4,2.8157949447631836,4.600748062133789,0.6455914378166199
Combined_6M,3,2.59208083152771,3.7112317085266113,0.8165048360824585
Combined_6M,2,2.664808750152588,3.9579050540924072,0.7893751263618469
Combined_6M,5,3.037980794906616,5.463565349578857,0.4663594663143158
