dataset,fold,mae,rmse,r2
_12_27M,9,2.9641287326812744,3.9164228439331055,0.5754191875457764
_12_27M,7,2.9062600135803223,3.8372867107391357,0.5920946002006531
_12_27M,6,3.1656394004821777,4.276204586029053,0.47950783371925354
_12_27M,1,3.128619909286499,3.9218053817749023,0.5620062947273254
_12_27M,10,2.960707664489746,3.920933723449707,0.5764387249946594
_12_27M,8,2.951812744140625,3.927109956741333,0.5711209177970886
_12_27M,4,2.9192066192626953,3.8740880489349365,0.5867542028427124
_12_27M,3,2.8918297290802,3.9219186305999756,0.571061909198761
_12_27M,2,2.881075859069824,3.8986475467681885,0.5785616040229797
_12_27M,5,2.92219614982605,3.93918514251709,0.5657327771186829
_12_24M,9,2.332995891571045,3.02604341506958,0.9016223549842834
_12_24M,7,2.6760406494140625,3.305004596710205,0.8816025853157043
_12_24M,6,2.2429637908935547,2.9441349506378174,0.9061157703399658
_12_24M,1,2.174285650253296,2.82547926902771,0.9142916202545166
_12_24M,10,2.382272958755493,3.0733509063720703,0.8987856507301331
_12_24M,8,2.400045394897461,3.0872802734375,0.8975270390510559
_12_24M,4,2.2586209774017334,2.9611339569091797,0.9050472974777222
_12_24M,3,2.2098124027252197,2.8663482666015625,0.9124544858932495
_12_24M,2,2.5490713119506836,3.22017502784729,0.888799786567688
_12_24M,5,2.2742011547088623,2.9681081771850586,0.90483158826828
_15_27M,9,2.6495792865753174,3.186452627182007,0.913292646408081
_15_27M,7,2.4481682777404785,3.0817744731903076,0.9183934330940247
_15_27M,6,2.3342747688293457,3.125054121017456,0.9156806468963623
_15_27M,1,2.756653070449829,3.3138747215270996,0.9056947827339172
_15_27M,10,2.513580083847046,3.1713969707489014,0.9139290452003479
_15_27M,8,2.393918037414551,3.1925227642059326,0.9128400087356567
_15_27M,4,2.342406988143921,3.1232128143310547,0.9161951541900635
_15_27M,3,2.4645943641662598,3.4619102478027344,0.8971534371376038
_15_27M,2,2.811443328857422,3.4000742435455322,0.90120929479599
_15_27M,5,2.477163553237915,3.110738515853882,0.9164460301399231
_15_24M,9,3.1058781147003174,4.176851749420166,0.8306720852851868
_15_24M,7,3.075218677520752,4.419827938079834,0.8103988170623779
_15_24M,6,3.0384740829467773,4.2844462394714355,0.8218361735343933
_15_24M,1,3.113844871520996,4.600104331970215,0.7946164608001709
_15_24M,10,3.0313570499420166,4.300878047943115,0.8204668760299683
_15_24M,8,3.617743730545044,5.111035346984863,0.7464591264724731
_15_24M,4,3.0864298343658447,4.487220764160156,0.8045727014541626
_15_24M,3,3.094454288482666,4.23596715927124,0.8258451819419861
_15_24M,2,3.1634583473205566,4.646331310272217,0.7904678583145142
_15_24M,5,3.0066604614257812,4.29972505569458,0.8205631375312805
_9_18M,9,2.656710147857666,3.2242846488952637,0.8804048299789429
_9_18M,7,3.1593480110168457,3.7270450592041016,0.841445803642273
_9_18M,6,3.160564661026001,3.7722930908203125,0.8361865282058716
_9_18M,1,2.8226499557495117,3.45876145362854,0.8615186214447021
_9_18M,10,2.71724271774292,3.340095281600952,0.8699919581413269
_9_18M,8,2.81520414352417,3.401454448699951,0.8670507669448853
_9_18M,4,2.8887453079223633,3.4779810905456543,0.8623988628387451
_9_18M,3,2.7569127082824707,3.3416519165039062,0.8730465173721313
_9_18M,2,2.9878647327423096,3.6259982585906982,0.8431602120399475
_9_18M,5,2.5312180519104004,3.1308517456054688,0.8856421709060669
