dataset,mae_mean,mae_IC_95_low,mae_IC_95_high,mae_std,rmse_mean,rmse_IC_95_low,rmse_IC_95_high,rmse_std,r2_mean,r2_IC_95_low,r2_IC_95_high,r2_std
_12_15M,2.7707459211349486,2.621078322737158,2.920413519532739,0.24147474635937996,3.705406165122986,3.634082917708057,3.776729412537915,0.11507342446474057,0.8220307290554046,0.8147019436264098,0.8293595144843995,0.011824313488917337
_12_18M,2.4743836879730225,2.4153373496685204,2.5334300262775247,0.0952657737423833,3.1094698667526246,3.0548346921098033,3.164105041395446,0.08814877154713859,0.8364961922168732,0.8300820351820317,0.8429103492517147,0.010348645663311846
_12_21M,3.3377681016921996,3.0877834931320765,3.587752710252323,0.403326909712048,4.370085048675537,4.188454793450708,4.551715303900366,0.29304351964701975,0.7681257367134094,0.7486332873603027,0.7876181860665162,0.031449253638414956
_12_24M,2.350031018257141,2.251846615559427,2.4482154209548552,0.15841139960610073,3.0277058839797975,2.934970750748053,3.120441017211542,0.14961951027116563,0.9011078178882599,0.8948841671913133,0.9073314685852065,0.010041281410023327
_12_27M,2.9691476821899414,2.908269972346095,3.030025392033788,0.09822052134765746,3.9433602571487425,3.8685060339998425,4.018214480297642,0.12077032532297188,0.5658698052167892,0.5462526733759611,0.5854869370576173,0.03165041723307581
_15_18M,2.558832621574402,2.4244518630856526,2.6932133800631513,0.2168108523089053,3.379973816871643,3.20268824088252,3.557259392860766,0.28603378388800366,0.8314730584621429,0.8130400785350637,0.8499060383892222,0.02973989828251778
_15_21M,2.3863447189331053,2.336109648024199,2.4365797898420114,0.08104961351643274,3.2025479555130003,3.142661484577692,3.2624344264483085,0.09662124958420842,0.8979913771152497,0.8942614422798532,0.9017213119506462,0.006017902859111409
_15_24M,3.133351945877075,3.0241794135732043,3.242524478180946,0.176139724494154,4.456238794326782,4.2842991947828475,4.628178393870717,0.27740854823269406,0.8065898418426514,0.7911173434622213,0.8220623402230814,0.024963436722155886
_15_27M,2.5191781759262084,2.415925981722154,2.622430370130263,0.16658780974226964,3.2167011499404907,3.135803690428236,3.2975986094527454,0.13052052498978534,0.9110834479331971,0.9066230313999735,0.9155438644664207,0.007196467121458599
_15_30M,2.5668851375579833,2.419661600765937,2.7141086743500296,0.23753148033084936,3.4729766845703125,3.2764574898323833,3.6694958793082417,0.3170654384255268,0.859230375289917,0.8413526644921954,0.8771080860876386,0.028844023199278663
_18_21M,2.4699178457260134,2.4240842316411237,2.515751459810903,0.07394827240072684,3.2567949056625367,3.184841066864163,3.3287487444609103,0.11609082499768009,0.8656171083450317,0.8599789432046855,0.8712552734853779,0.009096654932478071
_18_24M,2.725972366333008,2.640135707323138,2.811809025342878,0.13848946388285818,3.593110966682434,3.4726179070645515,3.7136040263003163,0.19440434216069724,0.8381835699081421,0.8261921532994276,0.8501749865168566,0.019347035130362254
_18_27M,2.8900854349136353,2.6506388073795226,3.129532062447748,0.38632485768050207,3.6087430000305174,3.4018548954431047,3.81563110461793,0.3337947098425277,0.8731455206871033,0.8602770320003614,0.8860140093738451,0.02076210933378235
_18_30M,2.7646913528442383,2.6351490235546375,2.894233682133839,0.20900449691769435,3.5609885454177856,3.4464973618740387,3.6754797289615326,0.18472087347277005,0.8505843460559845,0.8399324235266158,0.8612362685853533,0.017185886047177034
_21_24M,2.7949233531951903,2.601923536838572,2.9879231695518085,0.31138724881690466,3.947583770751953,3.7880489947272817,4.107118546776625,0.2573945195116244,0.8038128077983856,0.7884771633691762,0.819148452227595,0.024742635603456346
_21_27M,2.7014719009399415,2.6119701024802646,2.7909736993996184,0.14440282541526955,3.738608145713806,3.597956928189981,3.8792593632376313,0.22692765461789605,0.816692453622818,0.8023994435513602,0.8309854636942757,0.02306044206404728
_21_30M,2.242144227027893,2.1549083416574804,2.329380112398306,0.1407469854448297,2.7308934211730955,2.626289780745822,2.835497061600369,0.16876824249768027,0.914343798160553,0.9079021478690669,0.9207854484520391,0.010393003475195752
